residue,ANDN920101,BEGF750101,BULH740102,BUNA790101,BUNA790102,CHOC760102,COHE430101,DAYM780101,DESM900102,FAUJ880107,FINA910101,FINA910103,JUKT750101,KANM800103,LEVM760106,LEWP710101,NAKH900103,NAKH900104,NAKH900105,NAKH900106,NAKH900108,NAKH900109,NAKH900110,NAKH920101,NAKH920102,NAKH920103,NAKH920104,NAKH920105,NAKH920106,NAKH920107,NAKH920108,OOBM770103,OOBM850104,RACS820101,RACS820102,RACS820103,RACS820104,RACS820105,RACS820106,RACS820107,RACS820108,RACS820109,RACS820110,RACS820111,RACS820112,RACS820113,RACS820114,RADA880106,RICJ880101,RICJ880102,RICJ880103,RICJ880104,RICJ880105,RICJ880106,RICJ880107,RICJ880108,RICJ880109,RICJ880110,RICJ880111,RICJ880112,RICJ880113,RICJ880114,RICJ880115,RICJ880117,SNEP660102,SNEP660103,SNEP660104,SUEM840101,VASM830101,VASM830102,VASM830103,WARP780101,WERD780102,WERD780103,WERD780104,WOLS870101,WOLS870102,WOLS870103,AURR980101,AURR980102,AURR980103,AURR980104,AURR980105,AURR980106,AURR980107,AURR980108,AURR980109,AURR980110,AURR980111,AURR980113,AURR980114,AURR980115,AURR980117,AURR980118,AURR980119,CEDJ970101,CEDJ970104,CEDJ970105,FUKS010101,FUKS010102,FUKS010103,FUKS010104,FUKS010106,FUKS010107,FUKS010108,FUKS010110,GUYH850104,GUYH850105
L,4.37,0.44,0.649,8.411,4.373,71.0,0.67,3.9,0.39,10.6,1.0,1.0,2.4,1.14,6.0,0.26,2.3,-0.71,2.3,-0.71,-0.71,3.17,-0.34,4.76,4.68,4.45,4.5,0.87,5.39,4.24,1.14,-0.405,1.79,1.71,1.24,0.0,0.93,0.93,0.97,0.5,1.42,0.0,1.05,0.94,1.52,15.42,22.18,177.7,1.0,1.0,0.4,0.7,0.8,1.5,1.3,1.4,1.3,1.0,0.2,1.3,1.6,2.1,0.9,1.1,-0.254,-0.067,-0.025,0.977,0.236,0.383,0.236,5.41,-0.55,-0.06,-0.26,2.18,0.53,-1.14,0.94,0.9,0.87,1.08,1.05,1.31,1.6,1.43,1.43,0.97,1.41,0.88,1.37,1.24,0.95,1.02,1.08,4.0,4.4,4.7,2.87,5.24,5.42,6.0,2.3,2.64,2.86,3.63,0.7,1.0
K,4.5,0.35,0.594,8.38,4.498,44.0,0.68,7.0,0.98,13.1,1.7,1.5,4.5,0.48,4.9,0.55,7.55,0.25,7.68,0.3,0.14,6.26,-0.2,8.53,7.25,8.04,8.05,4.17,7.4,6.41,5.58,-0.455,-1.6,1.5,1.05,1.23,1.31,1.14,1.16,0.92,0.89,0.0,1.18,0.97,1.5,19.95,18.56,109.5,1.6,1.6,2.3,0.7,0.8,0.4,0.4,1.1,0.6,0.5,0.5,0.6,1.6,1.7,0.8,0.9,0.022,-0.153,0.47,0.76,0.01,0.689,0.15,7.08,-0.01,0.13,-0.11,1.96,-1.63,0.57,0.69,1.02,0.96,1.2,1.25,0.81,0.69,0.61,0.44,0.67,0.66,0.65,0.42,0.71,0.64,0.71,0.76,7.3,6.6,8.8,4.27,5.41,9.6,6.99,4.93,6.03,6.0,5.15,0.1,0.17
M,4.29,0.73,0.632,8.368,4.295,49.0,0.66,6.0,0.23,11.4,1.7,0.7,3.3,1.29,6.0,0.08,2.63,-1.16,2.6,-1.17,-1.13,4.8,-0.43,7.82,9.34,7.05,6.07,0.08,7.76,6.04,0.94,-0.371,4.04,1.79,1.49,2.62,0.94,1.01,1.33,1.26,1.43,0.0,0.83,0.73,1.36,20.12,18.19,182.9,1.0,1.0,0.4,2.2,2.0,3.3,0.5,0.9,0.8,1.1,0.7,1.6,1.7,0.8,0.3,0.7,-0.409,-0.246,-0.184,0.97,0.184,0.445,0.206,5.37,-0.45,0.14,-0.63,3.08,0.39,-0.07,1.41,1.04,1.11,1.1,0.94,2.3,2.07,1.7,1.34,1.73,1.76,1.16,1.43,1.88,0.92,1.07,1.31,5.1,7.1,6.5,16.56,12.93,5.86,10.66,3.51,2.58,2.67,7.77,0.68,0.33
F,4.35,0.44,0.655,8.236,4.346,47.0,0.7,6.1,1.01,16.7,1.7,1.0,3.7,0.77,5.0,0.49,7.51,0.66,8.38,0.99,-0.13,5.66,-0.04,4.43,3.51,7.41,5.2,4.33,5.18,5.87,4.68,-0.515,-4.75,1.96,0.87,2.48,1.57,0.96,0.97,1.38,0.81,1.24,0.77,1.38,1.18,18.92,21.09,142.1,0.3,0.3,1.6,0.8,0.7,1.0,0.5,0.6,1.0,0.5,0.6,0.7,0.9,1.0,0.3,2.1,0.136,-0.208,0.348,0.817,0.1,0.785,0.074,7.0,0.05,0.28,0.09,0.92,-2.09,-1.4,0.87,0.8,1.03,1.13,1.41,0.77,0.92,0.75,0.65,0.7,0.73,0.46,0.57,0.5,0.82,0.84,0.79,6.0,5.3,5.1,3.83,5.36,8.95,5.16,5.55,5.62,5.0,5.46,0.21,0.18
P,3.97,0.35,0.592,8.391,3.972,23.0,0.64,8.4,1.08,0.0,1.0,0.8,4.8,0.53,4.2,0.58,5.66,-0.37,5.29,-0.48,-0.12,8.51,0.48,6.8,7.72,6.38,7.09,8.14,6.32,8.2,6.17,-0.534,-0.56,1.54,0.66,1.63,1.13,0.7,3.09,1.89,0.46,6.49,2.39,0.78,1.4,38.14,37.16,52.6,1.6,1.6,1.8,0.3,0.9,0.6,0.4,0.6,0.5,0.5,0.5,0.1,0.2,0.2,3.9,0.6,0.37,-0.073,-0.017,0.591,0.051,0.39,0.049,7.99,-0.16,0.36,0.27,2.23,-5.36,0.3,1.18,1.25,1.26,1.14,0.98,0.55,0.65,0.56,0.37,0.32,0.3,0.32,0.2,0.33,2.74,1.08,0.97,7.8,7.1,6.3,8.29,7.95,9.4,5.81,7.48,8.87,5.62,7.69,-0.33,-0.22
S,4.7,0.73,0.743,8.094,4.702,32.0,0.74,1.3,1.06,13.2,1.0,1.0,0.8,1.17,7.6,0.43,2.51,1.02,2.89,1.35,0.26,2.22,0.77,0.8,0.47,1.68,2.1,2.21,1.06,2.31,2.2,-0.839,-17.84,0.83,1.23,0.0,0.98,1.96,1.58,1.53,1.27,0.0,1.22,1.12,1.33,23.36,19.78,271.6,1.1,1.1,0.3,2.1,1.7,1.4,3.1,1.4,1.5,1.1,2.1,0.4,0.4,0.0,0.0,2.7,-0.011,0.493,0.05,1.107,0.166,0.16,0.463,8.07,-0.33,-0.12,-0.61,-4.75,3.65,0.85,0.91,0.9,1.06,0.68,0.94,1.26,1.1,1.68,1.1,0.68,0.68,1.57,1.0,1.0,0.58,1.06,0.91,1.4,1.2,0.7,0.67,0.54,1.18,0.56,1.28,2.6,2.01,0.95,-0.27,0.05
T,4.63,0.6,0.646,8.415,4.63,43.0,0.67,2.0,1.0,10.2,1.0,1.2,1.4,1.13,6.0,0.14,2.3,0.08,2.33,0.1,0.04,1.88,-0.19,2.7,2.15,2.69,2.99,0.2,2.11,2.1,0.47,-0.54,4.22,1.59,0.99,0.0,1.03,1.87,1.33,2.71,1.27,0.0,0.4,1.08,1.06,23.07,22.63,188.1,1.2,1.2,1.1,0.7,0.7,0.7,1.5,0.9,1.0,2.4,1.9,1.1,1.8,3.4,1.3,1.0,-0.078,0.32,0.056,0.85,0.223,0.31,0.233,7.49,-0.18,-0.25,-0.49,2.41,1.74,1.11,1.15,1.01,1.43,0.96,0.83,0.83,1.36,0.66,0.89,0.46,0.83,0.76,1.02,0.89,1.65,1.4,0.88,2.1,2.1,2.1,1.74,2.8,1.49,2.27,2.2,1.99,1.98,2.47,0.13,0.37
W,4.6,0.44,0.743,8.183,4.604,60.0,0.71,3.4,0.89,13.9,1.0,1.0,2.3,0.74,7.1,0.46,4.08,0.53,3.51,0.2,1.29,3.28,0.07,2.54,1.01,3.42,3.32,3.42,2.75,4.55,3.13,-0.656,9.25,1.34,0.68,1.9,1.31,1.68,0.86,1.79,0.91,1.9,1.09,1.65,1.09,26.49,26.36,239.9,1.9,1.9,0.8,1.8,0.4,1.2,0.6,0.2,0.8,1.3,0.8,1.1,0.3,1.2,0.8,0.5,-0.138,0.381,0.22,1.02,0.066,0.06,0.737,6.9,-0.42,0.19,-0.61,-1.39,2.32,0.01,1.04,1.12,0.94,0.8,0.82,0.99,0.73,0.65,0.93,0.91,1.04,1.1,1.02,0.73,0.93,1.15,0.64,3.6,3.1,2.4,2.75,2.26,3.26,2.16,3.55,6.15,3.96,2.96,0.4,0.48
Y,3.95,0.73,0.809,8.195,4.224,18.0,0.9,4.5,1.44,16.1,0.6,0.8,3.1,1.23,7.0,0.22,9.12,1.44,8.78,1.31,1.77,6.47,0.39,3.48,1.8,4.4,4.32,15.25,4.51,4.95,13.73,-0.762,-10.87,0.67,1.09,2.32,1.26,1.61,0.45,1.31,1.12,0.0,0.83,1.74,0.81,16.66,20.28,182.2,0.9,0.9,0.2,0.9,0.7,0.4,1.1,0.9,1.2,1.3,1.6,1.4,0.4,0.7,0.7,0.7,0.149,0.001,-0.309,1.14,0.173,0.111,0.581,8.72,-0.19,0.02,0.06,-4.44,-1.68,-1.03,1.07,0.88,0.95,0.8,0.78,1.06,0.64,1.18,1.47,1.09,1.25,1.15,1.58,0.9,0.64,1.14,0.97,4.6,5.2,3.7,3.3,2.72,1.76,2.36,9.74,7.73,8.95,6.56,-0.66,-0.8
V,3.95,0.82,0.777,8.436,4.184,18.0,0.86,6.6,1.33,17.2,0.6,0.8,4.2,1.1,6.4,0.08,5.12,-0.6,4.66,-0.79,-0.19,7.55,0.36,5.44,4.57,7.0,6.19,14.34,5.27,6.07,12.43,-0.728,-3.97,0.89,0.88,1.62,1.11,1.56,0.64,0.95,0.93,0.0,0.88,1.7,1.01,17.06,21.87,157.2,0.7,0.7,0.1,1.1,0.6,1.1,1.5,0.8,1.2,0.4,1.4,1.3,0.7,0.7,0.2,1.0,0.245,-0.155,-0.212,0.95,0.285,0.356,0.301,8.88,-0.46,-0.08,-0.11,-2.69,-2.53,-1.29,0.9,0.87,0.62,0.58,0.67,0.76,0.7,1.14,1.18,0.81,1.03,0.94,1.08,0.51,0.53,0.74,0.77,6.7,6.8,5.3,4.05,3.57,3.1,4.1,10.69,9.46,10.24,7.47,-0.62,-0.65
