residue,ARGP820102,BIOV880101,BIOV880102,CHAM830103,CHAM830104,CHAM830105,CHAM830106,FAUJ880101,FAUJ880109,FAUJ880110,GEIM800101,GEIM800105,GEIM800106,GEIM800107,GEIM800109,GEIM800111,HOPA770101,KYTJ820101,NISK800101,NISK860101,PONP800107,QIAN880101,QIAN880102,QIAN880103,QIAN880104,QIAN880105,QIAN880106,QIAN880107,QIAN880108,QIAN880109,QIAN880110,QIAN880111,QIAN880112,QIAN880113,QIAN880114,QIAN880115,QIAN880116,QIAN880117,QIAN880118,QIAN880119,QIAN880120,QIAN880121,QIAN880122,QIAN880123,QIAN880124,QIAN880125,QIAN880126,QIAN880127,QIAN880128,QIAN880129,QIAN880130,QIAN880131,QIAN880132,QIAN880133,QIAN880134,QIAN880135,QIAN880136,QIAN880137,QIAN880138,QIAN880139,VELV850101,WOLR810101,MONM990101,NADH010101,KOEP990101,KOEP990102,TSAJ990101,COSI940101,WILM950101,WILM950103,WILM950104,KUHL950101,GUOD860101,JURD980101,BASU050101,BASU050102,PUNT030101,PUNT030102,GEOR030109,ZHOH040101,ZHOH040102,JACR890101,BLAS910101,CASG920101,KARS160101,KARS160102,KARS160104,KARS160105,KARS160106,KARS160107,KARS160109,KARS160110,KARS160112,KARS160113,KARS160118,KARS160119,KARS160120,KARS160122
L,0.72,-73.0,-117.0,1.0,1.0,1.0,3.0,1.56,2.0,3.0,1.07,1.02,1.11,0.9,1.6,0.83,2.1,-3.5,-0.57,-2.76,2.7,-0.03,-0.13,-0.23,0.26,-0.15,0.01,0.15,0.19,0.12,0.41,0.13,-0.27,-0.28,0.21,0.01,0.02,-0.11,0.07,-0.04,-0.12,-0.33,-0.67,-0.58,-0.47,-0.17,-0.04,-0.08,0.04,0.14,-0.29,0.09,-0.08,-0.01,0.01,0.11,-0.13,0.24,0.47,0.48,0.07606,-9.38,1.6,-139.0,-0.02,1.67,146.9,0.0761,0.31,-0.04,0.16,1.19,0.0,-3.68,0.0325,0.0126,0.26,0.03,0.968,2.16,2.37,-1.22,0.251,-1.1,6.0,5.0,4.0,5.86,4.0,8.0,12.207,-4.255,-1.043,12.0,6.5,27.831,0.0,1.849
K,0.97,-70.0,-60.0,1.0,0.0,0.0,1.0,1.31,1.0,2.0,0.78,1.05,0.91,0.93,1.3,1.25,1.7,-0.8,-0.67,-2.84,2.43,-0.19,0.01,-0.1,-0.17,-0.26,-0.35,-0.47,-0.23,-0.28,-0.49,-0.28,-0.05,0.07,0.41,0.44,0.25,-0.12,0.11,-0.12,-0.31,-0.28,0.03,0.27,0.34,0.41,0.43,-0.11,-0.23,-0.23,0.22,0.24,0.4,0.63,0.33,0.32,0.13,-0.09,-0.29,-0.35,0.08292,-5.06,0.7,-34.0,0.15,1.45,94.2,0.0829,-0.62,1.59,1.93,1.0,-2.0,-0.5,-0.0433,-0.0282,0.05,0.16,1.003,1.66,1.82,-0.4,0.359,-0.7,3.0,2.0,2.0,1.67,2.0,3.0,5.0,1.0,2.0,6.0,7.33,20.0,0.0,6.0
M,0.11,-106.0,-139.0,1.0,1.0,1.0,3.0,1.56,1.0,4.0,1.49,0.57,0.37,0.41,0.4,1.05,6.2,-3.5,-0.75,-3.64,3.3,-0.02,0.21,0.51,0.28,0.44,0.2,0.26,0.21,0.13,-0.06,-0.23,-0.25,-0.19,-0.06,0.09,-0.1,-0.39,-0.52,-0.34,-0.62,-0.75,-0.35,-0.28,-0.05,0.1,-0.04,-0.02,-0.2,-0.41,-0.22,-0.12,-0.12,-0.09,0.07,0.06,0.09,0.18,0.28,0.36,0.0058,-10.2,1.6,-131.0,-0.33,0.91,138.8,0.0058,-0.1,1.18,1.3,1.45,14.0,-3.2,-0.0484,-0.0295,0.15,0.3,0.9,1.89,2.52,-2.1,0.043,-1.3,6.0,5.0,5.0,6.0,4.0,8.0,11.53,-3.425,-0.538,12.0,6.67,28.731,0.0,1.822
F,0.84,-38.0,-54.0,2.0,0.0,0.0,1.0,3.03,1.0,2.0,0.77,1.2,1.14,1.05,0.6,1.08,1.5,-0.7,-0.36,-1.2,2.6,-0.04,-0.34,-0.07,-0.2,-0.1,-0.37,-0.54,-0.33,-0.21,-0.44,-0.25,-0.16,-0.33,0.33,0.35,0.22,0.0,0.03,0.49,0.17,0.08,-0.15,0.47,0.27,0.36,0.5,-0.06,-0.02,-0.26,0.1,0.16,-0.1,0.29,0.13,0.21,-0.02,-0.27,-0.3,-0.04,0.09408,-4.88,0.4,-7.0,0.39,-0.7,119.6,0.0941,0.65,2.31,0.19,1.05,7.0,-0.7,0.0589,0.0239,0.02,-0.08,1.189,2.18,2.45,-0.34,0.45,-0.4,4.0,3.0,3.0,3.25,1.0,4.0,9.928,-3.928,3.0,6.0,5.4,23.819,-4.227,6.0
P,0.49,-13.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.94,0.86,0.91,2.0,1.45,1.1,-0.4,-0.07,-1.62,3.13,-0.02,-0.37,-0.09,-0.67,-0.73,-0.88,-0.71,-0.46,-0.39,-0.42,-0.15,-0.4,-0.1,0.23,0.13,0.19,0.46,0.37,-0.45,-0.72,-0.56,0.14,0.08,0.45,0.38,0.17,-0.14,0.28,-0.21,0.17,0.09,1.14,1.24,0.85,0.36,0.14,-0.12,0.14,-0.02,0.00499,2.39,1.3,-11.0,1.24,0.76,63.8,0.005,0.21,-1.85,-1.06,0.68,-2.0,-0.64,-0.0464,-0.0589,0.01,0.08,0.978,1.17,0.7,0.09,0.501,-0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,7.0,0.0,0.0
S,0.77,145.0,163.0,1.0,1.0,1.5,5.0,3.21,1.0,0.0,1.18,1.15,1.13,1.15,0.0,0.68,1.9,-0.9,0.9,5.2,6.25,-0.06,-0.01,-0.02,0.25,0.2,0.07,-0.1,0.15,0.02,0.14,0.21,0.32,0.36,-0.1,-0.15,-0.19,-0.1,0.15,0.34,0.45,0.22,0.09,-0.22,-0.08,-0.01,-0.32,0.19,0.16,0.15,-0.15,-0.44,-0.46,-0.37,-0.44,-0.17,-0.2,-0.09,-0.18,-0.06,0.05481,-5.88,0.7,59.0,0.21,-0.14,226.4,0.0548,2.29,2.61,3.59,0.7,109.0,-0.46,0.2362,0.4114,-0.15,-0.28,0.852,6.46,5.64,-0.01,0.878,1.6,11.0,12.0,8.0,11.1,9.0,14.0,13.511,-6.324,-2.576,24.0,5.667,29.778,0.211,2.044
T,0.31,50.0,47.0,1.0,1.0,1.0,3.0,2.99,1.0,1.0,1.33,0.81,1.07,1.01,0.96,0.96,2.8,-3.2,0.11,1.28,3.57,-0.06,0.1,-0.23,-0.26,-0.14,-0.09,-0.05,0.27,0.32,0.51,0.37,0.28,0.29,0.24,0.22,-0.16,-0.04,-0.32,-0.34,-0.16,-0.04,0.02,0.09,-0.06,-0.09,0.19,-0.07,-0.19,0.21,0.17,0.42,0.18,0.05,-0.21,-0.31,-0.56,-0.2,-0.22,-0.45,0.02415,-10.27,1.6,-73.0,-0.11,1.34,157.5,0.0242,-2.24,7.17,-3.0,0.99,-26.0,-3.2,0.0549,0.0874,-0.02,0.06,1.05,2.51,3.06,-1.48,0.165,0.4,7.0,6.0,6.0,6.71,6.0,9.0,12.876,-3.721,-1.185,15.0,4.7,24.243,-1.734,1.605
W,0.39,53.0,22.0,1.0,1.0,1.0,5.0,2.94,1.0,2.0,0.71,1.39,1.37,1.21,1.8,0.98,2.1,-1.3,0.59,2.15,3.03,-0.14,-0.29,-0.38,-0.3,-0.04,-0.31,-0.35,-0.19,-0.1,-0.08,0.16,0.11,0.0,-0.1,0.15,0.05,0.18,0.29,0.42,0.77,0.53,0.34,-0.11,0.06,-0.08,0.35,0.33,0.22,0.09,-0.02,-0.19,-0.05,-0.41,-0.49,-0.35,0.1,-0.25,0.07,-0.2,0.05159,-6.11,0.6,-11.0,0.05,-0.49,194.6,0.0516,1.89,2.37,-2.58,1.0,56.0,-1.3,0.3167,0.3113,-0.09,-0.03,0.945,5.01,4.46,-0.08,0.88,0.5,9.0,9.0,7.0,8.88,6.0,13.0,12.868,-4.793,-2.054,18.0,6.22,28.252,-0.96,1.599
Y,1.45,151.0,100.0,2.0,1.0,0.0,2.0,4.19,0.0,0.0,1.05,1.29,1.17,1.29,0.85,0.58,0.8,4.5,1.19,5.58,7.69,-0.07,-0.03,-0.22,0.0,-0.08,-0.03,0.0,-0.33,0.0,-0.15,0.31,-0.03,-0.01,-0.42,-0.27,-0.08,0.16,0.57,0.95,1.1,0.94,0.47,-0.04,-0.25,-0.48,-0.2,0.26,-0.06,0.29,-0.34,-0.54,-0.74,-1.17,-0.65,-0.51,-0.09,-0.07,0.42,0.09,0.0,2.15,0.6,107.0,-0.26,-0.77,163.0,0.0,3.48,3.02,7.26,0.47,91.0,4.5,0.4172,0.3805,-0.28,-0.29,0.946,4.5,4.59,0.37,0.943,1.4,5.0,4.0,4.0,3.25,3.0,6.0,10.851,-6.085,-1.517,12.0,6.0,24.841,-1.641,3.373
V,1.08,123.0,117.0,2.0,0.0,0.0,1.0,3.67,0.0,0.0,0.81,1.56,1.31,1.58,0.8,0.62,0.9,4.2,1.24,4.45,7.14,-0.03,0.02,-0.01,-0.01,0.12,0.13,0.31,0.24,0.17,-0.01,0.0,0.06,-0.13,-0.07,-0.09,-0.15,0.29,0.48,0.76,0.69,0.67,0.58,0.06,0.11,-0.18,0.0,0.04,0.05,-0.1,-0.33,-0.45,-0.86,-1.32,-0.99,-0.7,-0.11,-0.06,0.29,0.18,0.00569,1.99,0.5,100.0,-0.06,-0.7,138.2,0.0057,1.59,0.52,2.06,0.51,62.0,4.2,0.4084,0.2947,-0.17,-0.24,0.999,3.77,3.67,0.32,0.825,0.7,4.0,3.0,3.0,3.25,1.0,4.0,9.928,-3.928,3.0,6.0,6.0,24.0,0.0,6.0
