index,algorithm,params,calinski,siluetas
87,Agglomerative,complete-euclidean-2,80.6889102386008,0.8724614951219216
115,Agglomerative,complete-l1-2,80.6889102386008,0.8724614951219216
143,Agglomerative,complete-l2-2,80.6889102386008,0.8724614951219216
171,Agglomerative,complete-manhattan-2,80.6889102386008,0.8724614951219216
227,Agglomerative,average-euclidean-2,80.6889102386008,0.8724614951219216
255,Agglomerative,average-l1-2,80.6889102386008,0.8724614951219216
283,Agglomerative,average-l2-2,80.6889102386008,0.8724614951219216
311,Agglomerative,average-manhattan-2,80.6889102386008,0.8724614951219216
367,Agglomerative,single-euclidean-2,80.6889102386008,0.8724614951219216
395,Agglomerative,single-l1-2,80.6889102386008,0.8724614951219216
423,Agglomerative,single-l2-2,80.6889102386008,0.8724614951219216
451,Agglomerative,single-manhattan-2,80.6889102386008,0.8724614951219216
