properties_values,label
MANP780101,8
MAXF760101,8
MAXF760102,8
MAXF760103,8
MAXF760104,8
MAXF760105,8
MAXF760106,8
MCMT640101,8
MEEJ800101,8
MEEJ800102,8
MEEJ810101,8
MEEJ810102,8
MEIH800101,8
MEIH800102,8
MEIH800103,24
MIYS850101,8
NAGK730101,8
NAGK730102,8
NAGK730103,8
NAKH900101,8
NAKH900102,8
NAKH900103,8
NAKH900104,8
NAKH900105,8
NAKH900106,8
NAKH900107,8
NAKH900108,8
NAKH900109,8
NAKH900110,8
NAKH900111,8
NAKH900112,8
NAKH900113,15
NAKH920101,15
NAKH920102,15
NAKH920103,15
NAKH920104,15
NAKH920105,15
NAKH920106,15
NAKH920107,15
NAKH920108,15
NISK800101,15
NISK860101,15
NOZY710101,15
OOBM770101,15
OOBM770102,15
OOBM770103,15
OOBM770104,15
OOBM770105,15
OOBM850101,15
OOBM850102,15
OOBM850103,15
OOBM850104,15
OOBM850105,15
PALJ810101,15
PALJ810102,15
PALJ810103,15
PALJ810104,15
PALJ810105,15
PALJ810106,15
PALJ810107,15
PALJ810108,15
PALJ810109,15
PALJ810110,15
PALJ810111,15
PALJ810112,15
PALJ810113,15
PALJ810114,15
PALJ810115,15
PALJ810116,15
PARJ860101,15
PLIV810101,15
PONP800101,15
PONP800102,15
PONP800103,15
PONP800104,15
PONP800105,15
PONP800106,15
PONP800107,15
PONP800108,15
PRAM820101,15
PRAM820102,15
PRAM820103,15
PRAM900101,15
PRAM900102,15
PRAM900103,15
PRAM900104,15
PTIO830101,15
PTIO830102,15
QIAN880101,0
QIAN880102,0
QIAN880103,0
QIAN880104,0
QIAN880105,0
QIAN880106,0
QIAN880107,0
QIAN880108,0
QIAN880109,0
QIAN880110,0
QIAN880111,0
QIAN880112,0
QIAN880113,0
QIAN880114,0
QIAN880115,0
QIAN880116,0
QIAN880117,0
QIAN880118,0
QIAN880119,0
QIAN880120,0
QIAN880121,0
QIAN880122,0
QIAN880123,0
QIAN880124,0
QIAN880125,0
QIAN880126,0
QIAN880127,0
QIAN880128,0
QIAN880129,0
QIAN880130,0
QIAN880131,0
QIAN880132,0
QIAN880133,0
QIAN880134,0
QIAN880135,0
QIAN880136,0
QIAN880137,0
QIAN880138,0
QIAN880139,0
RACS770101,0
RACS770102,0
RACS770103,0
RACS820101,0
RACS820102,0
RACS820103,0
RACS820104,0
RACS820105,0
RACS820106,0
RACS820107,0
RACS820108,0
RACS820109,0
RACS820110,0
RACS820111,0
RACS820112,0
RACS820113,22
RACS820114,22
RADA880101,0
RADA880102,0
RADA880103,0
RADA880104,0
RADA880105,0
RADA880106,19
RADA880107,25
RADA880108,25
RICJ880101,25
RICJ880102,25
RICJ880103,25
RICJ880104,25
RICJ880105,25
RICJ880106,25
RICJ880107,25
RICJ880108,25
RICJ880109,25
RICJ880110,25
RICJ880111,25
RICJ880112,25
RICJ880113,25
RICJ880114,25
RICJ880115,25
RICJ880116,25
RICJ880117,25
ROBB760101,25
ROBB760102,25
ROBB760103,25
ROBB760104,25
ROBB760105,25
ROBB760106,25
ROBB760107,25
ROBB760108,25
ROBB760109,25
ROBB760110,25
ROBB760111,25
