residue,BHAR880101,BROC820101,BROC820102,CHAM830101,CHAM830102,CHOC760103,CHOC760104,CIDH920101,CIDH920102,CIDH920104,DAWD720101,EISD840101,FAUJ880104,FAUJ880105,FAUJ880106,FINA770101,GEIM800102,GEIM800103,GEIM800104,GEIM800108,GEIM800110,GOLD730101,KHAG800101,KRIW790102,LEVM760105,LEVM780101,LEVM780102,LEVM780103,MEEJ800101,MEEJ810101,MEEJ810102,PONP800108,PRAM820103,PTIO830101,PTIO830102,RADA880108,ROBB760101,ROBB760106,ROBB760107,ROBB760109,ROBB760110,ROBB760111,ROBB760112,ROBB760113,ROSG850101,ROSM880101,ROSM880102,SWER830101,WERD780101,ZASB820101,MITS020101,PONP930101,SUYM030101,GEOR030101,GEOR030102,GEOR030103,GEOR030104,GEOR030105,GEOR030106,GEOR030107,GEOR030108,HARY940101,PONJ960101,COWR900101,CORJ870104,CORJ870106,CORJ870107,CORJ870108,KARS160114,KARS160115,KARS160116,KARS160121
L,0.493,-0.3,1.8,0.87,-0.105,0.07,0.01,-0.99,-0.4,-1.2,6.0,-0.69,6.11,1.52,3.53,0.95,0.93,1.13,1.32,0.94,0.81,0.59,20.0,0.39,1.75,1.27,0.8,0.98,-4.8,-2.9,-2.0,5.45,0.527,1.0,1.0,-0.73,1.0,0.8,2.4,-0.4,-2.0,3.4,-0.5,0.2,119.2,6.39,2.12,-0.91,0.35,-0.181,1.25,-0.42,-0.073,1.047,1.092,0.916,1.111,0.861,0.999,1.2,1.124,149.4,156.4,-0.96,-0.83,-1.34,-2.31,3.88,21.167,15.0,24.0,10.5
K,0.507,-4.1,-3.5,1.34,0.225,0.22,0.08,-0.98,-0.93,-0.83,3.0,-0.26,3.97,1.52,2.7,0.75,1.01,1.01,0.81,1.23,1.13,0.0,44.4,0.27,1.08,0.82,0.95,1.32,1.2,-3.2,-2.9,5.53,0.692,0.75,0.9,-0.5,-3.9,-2.4,1.3,1.8,2.1,1.5,2.5,3.2,85.6,4.35,0.1,-0.55,0.49,-0.203,0.0,-0.52,-0.177,0.947,0.932,0.956,0.984,1.097,0.911,0.986,0.886,94.2,102.0,-0.64,-0.55,-6.21,-1.85,4.08,13.33,8.0,20.0,8.667
M,0.497,-7.1,-7.5,0.84,-0.245,0.18,0.03,-0.8,-1.31,-1.19,5.0,-0.62,5.97,1.52,3.31,1.15,1.2,1.67,1.64,0.97,1.4,0.0,0.0,0.37,1.77,1.44,0.75,0.99,-16.9,0.7,1.1,5.1,0.669,1.0,0.7,-0.77,7.8,-8.1,3.1,-1.8,-4.2,-4.3,-4.4,-5.2,113.9,7.35,1.78,-1.22,0.38,-0.411,1.27,-0.79,-0.128,1.051,1.054,1.139,0.992,0.736,1.053,1.115,1.199,140.8,154.6,-0.37,-0.73,-4.56,-2.35,4.04,21.0,14.0,26.0,10.667
F,0.444,0.8,1.1,1.08,0.166,0.23,0.08,-0.7,-0.59,-0.62,5.0,-0.18,4.11,1.73,3.17,0.75,1.17,0.55,0.85,1.04,0.88,0.45,31.0,0.26,1.24,0.82,1.21,1.04,2.7,-1.7,-0.6,5.81,0.713,0.75,1.7,-0.27,-2.6,1.7,0.0,-0.7,0.6,1.2,1.7,0.0,106.5,3.86,-0.42,-0.28,0.38,-0.17,0.0,-0.08,-0.163,1.017,1.023,1.018,0.992,0.822,0.988,1.11,0.832,120.0,126.0,-0.26,-0.71,-4.83,-1.97,4.02,12.4,8.0,14.0,9.0
P,0.544,-1.2,-2.3,1.52,0.104,0.36,0.18,-1.0,-0.84,-0.57,0.5,0.16,2.06,1.0,1.0,0.55,0.83,0.59,0.6,1.51,1.3,0.0,64.6,0.28,0.58,0.56,0.92,1.64,0.0,-0.2,0.2,6.16,0.67,0.6,0.3,-0.41,-8.6,-3.9,-3.4,-1.2,5.7,5.9,4.9,5.6,62.9,0.0,0.0,-0.67,0.41,-0.19,0.0,0.0,0.331,0.835,0.845,0.892,0.743,1.022,0.785,0.917,0.698,63.8,67.5,0.0,-0.4,-5.82,-1.35,3.39,3.5,1.0,6.0,3.5
S,0.305,16.3,17.8,0.76,0.158,0.27,0.04,1.38,2.25,1.51,7.0,0.37,7.68,1.52,5.9,1.1,1.32,1.86,1.18,0.67,0.62,3.0,70.5,0.15,2.21,0.99,1.14,0.76,14.9,17.1,15.1,6.98,0.632,1.1,2.2,0.88,1.2,0.3,-3.4,-0.8,3.3,6.5,1.2,2.9,224.6,-2.86,-2.86,0.5,0.86,0.275,6.93,1.76,0.564,0.895,0.879,0.971,0.96,1.017,0.939,0.841,0.981,197.1,209.8,1.46,-0.13,1.8,-0.11,0.79,27.5,18.0,36.0,12.75
T,0.323,-2.1,2.0,1.07,0.138,0.17,0.02,1.07,0.43,-0.25,6.0,-0.4,5.23,1.52,5.66,1.0,1.09,1.21,1.03,0.9,0.85,0.0,75.7,0.23,1.78,1.22,1.08,0.68,-3.5,-0.7,-2.2,5.8,0.594,0.85,0.8,0.49,1.2,-3.0,0.8,3.0,-2.6,-0.8,1.6,-0.9,155.8,3.82,1.09,-0.64,0.7,0.0,1.45,0.22,0.195,1.014,0.949,1.109,1.034,0.973,1.054,0.992,1.012,159.3,163.2,-2.28,-0.18,6.54,0.81,-1.65,23.1,18.0,31.0,10.4
W,0.42,5.9,3.8,1.07,0.094,0.15,0.03,1.49,1.53,0.66,7.0,0.02,4.73,1.52,6.72,1.1,0.88,1.08,0.77,0.92,0.41,2.85,0.0,0.25,2.13,0.72,1.25,1.05,6.1,7.4,6.7,6.73,0.495,1.1,2.8,0.33,-4.5,3.3,4.8,3.1,3.8,1.3,-0.6,3.2,177.7,0.98,0.98,1.67,0.64,0.0,5.06,1.37,0.322,1.0,0.902,1.157,1.12,0.836,1.09,0.866,1.075,231.7,237.2,0.51,0.69,7.61,2.17,-4.73,27.78,20.0,38.0,12.222
Y,0.462,6.6,11.0,0.66,0.23,0.6,0.19,0.76,1.39,2.06,5.5,0.73,4.92,1.9,3.49,1.05,1.05,1.27,1.12,0.65,0.67,2.95,18.9,0.12,1.56,0.97,1.45,0.51,13.9,8.5,7.0,7.51,0.564,1.1,4.0,1.31,0.6,7.7,-0.1,-0.5,-7.0,-0.5,-3.3,-4.5,158.0,-3.02,-3.02,1.25,0.79,-0.086,0.0,3.14,0.06,0.922,0.928,0.986,0.852,1.189,0.95,0.817,0.912,164.9,162.6,1.81,1.1,10.93,3.83,-7.92,15.6,12.0,18.0,9.6
V,0.386,3.5,2.1,0.63,0.513,0.54,0.18,1.26,1.09,1.21,5.0,0.54,4.11,1.9,3.17,0.95,1.13,0.64,0.74,0.6,0.58,1.7,29.5,0.22,1.29,0.91,1.49,0.47,2.7,5.9,4.6,7.62,0.529,0.95,4.0,1.09,1.4,7.1,2.7,-3.5,-6.2,-4.6,-3.5,-6.3,141.0,-2.18,-2.18,0.91,0.72,-0.125,0.0,2.53,-0.052,0.955,0.923,0.959,1.001,1.14,0.957,0.9,0.908,139.1,138.4,1.34,1.15,8.2,3.31,-6.94,10.5,6.0,12.0,9.0
