p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11
-0.31068262,-0.6612247,0.6474824,-0.207306,-0.8944764,0.04931734,-0.8491299,1.1279906,2.2059476,0.22205576,1.1161038,-0.15838414
0.18404965,-1.1059372,-0.06508352,-0.96832603,0.7885678,-0.5201194,0.34448376,-0.9147018,-1.0013721,-0.20391598,3.0142062,0.956116
0.64571804,0.07225632,-0.701044,-1.7137107,-0.43412095,0.25257725,0.3402105,0.077871524,1.1906747,0.039011482,1.7391981,1.7678347
-0.35210094,-1.280369,-0.4018855,1.9102762,0.34582913,1.8204459,-0.23051521,-0.0051038624,1.430984,1.6324427,2.9546626,0.5320299
1.2643926,-0.064980164,-0.667803,1.1075629,1.009829,2.1058311,-2.5978887,1.0110084,1.0179285,-0.25408763,2.689043,-0.34717178
1.0755159,1.0942662,-1.4673212,1.9135964,-0.6198431,-1.7708536,1.1050173,-0.56230325,0.9898006,-1.472309,1.0181042,0.8068279
1.1267179,1.3764911,1.8526388,1.6950597,-0.8537764,-0.30653474,-0.03764821,0.57154596,-1.784145,1.0833167,2.7553613,1.4135116
-0.70904064,-1.1492673,-0.8310898,0.31770632,-1.3090359,-0.3899777,1.0264472,0.3251918,0.10902102,-0.16494244,1.4043057,-0.36492738
-0.83509237,-1.3091937,-0.5023587,-0.054321483,-1.1856581,-0.42316085,1.01943,0.11832707,0.17069788,-0.31263226,1.4870169,-0.49280298
0.29320788,-1.1615323,-1.6388868,1.6831996,-2.5833647,-0.84705406,1.1126325,0.47460058,-0.112885825,0.519731,1.6543638,0.6538965
1.1682571,0.4236477,-1.2257787,0.7695952,-1.0676564,-0.2757153,-0.4226813,-0.31848034,-0.2449399,1.45292,2.6206567,0.10504806
0.5807558,-0.0061048307,-1.8234015,0.21371652,-1.8605871,-0.48867172,0.44194382,2.010389,-0.29967302,1.0456,2.5896463,0.063688606
0.7843674,0.34828338,-0.77418333,1.1070095,-0.8602279,0.12644917,0.50040644,0.35855567,-0.7346042,0.7324881,2.0493412,0.04987466
0.67902106,-0.12921731,-1.594508,0.60169405,-0.9391927,0.16952682,0.55396,0.47100425,-0.23641892,-0.24693768,1.0275697,1.620303
