p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7
-1.3740373,-0.12192742,-1.0542498,-1.9257936,1.1927934,-1.8614484,1.3527085,0.37270746
-0.38750193,1.0333084,0.2800484,0.9373108,0.012154563,-0.083656736,1.7172235,-0.68231773
-0.46189272,0.18597429,-0.4160017,1.1107414,2.0375986,-1.7417821,1.3217756,1.8381239
0.5363621,1.3666809,-0.54951733,-0.22875074,-0.31147736,-1.7182428,1.866473,1.2729038
0.69283414,-0.24699135,-0.5058493,0.52911437,0.19664511,-1.271096,1.6231878,2.2359471
-0.93162745,-0.56741375,0.67147756,0.52483976,-0.80970997,-1.543134,1.8448218,-1.1988453
1.4141711,0.711563,0.4077874,2.3757982,-0.520033,0.2760468,2.2155426,-0.77080697
0.38458836,1.8278564,-0.32012692,0.4160838,-0.43584433,-0.16279529,2.687036,-1.4347984
-0.24708697,0.285081,1.1102039,1.1676074,2.1742454,-3.8203602,1.588626,-1.7739828
-1.3578688,-0.23182283,0.48377872,0.7161805,1.7498609,-2.6595445,1.5060074,-1.6266851
0.3226756,-1.8287755,0.52985656,-1.4821845,0.47435442,-0.9572643,1.9261352,2.0815768
-2.8572512,-0.42239615,0.38392854,-0.6863542,0.6356779,1.0845591,2.0916674,1.6161839
0.51999,1.371279,0.85118985,-0.3507746,1.0847573,1.3702022,1.8383425,0.3660427
0.7506198,1.5191967,0.86097807,-0.27883384,0.93003625,1.2371715,1.7771854,0.420272
-0.03013791,1.9762807,-0.76638377,-2.0996444,-0.35657072,-0.1492015,3.116632,-0.728637
-1.1252065,-0.31809965,0.64407825,-1.0368782,3.2707655,0.60943055,1.7435757,0.49853548
-2.600506,2.0020578,-1.0422314,-0.18439855,0.43454534,-0.43811965,2.69188,-0.424921
-1.0968187,-0.49962837,-0.5585251,-1.0450231,0.24744692,-0.3925935,1.4722009,0.56776357
-1.4027137,-0.348322,0.9408221,-1.1165979,0.79911035,0.53456587,1.7427204,-0.4175973
-0.66255105,1.6110593,1.1362138,-1.0596017,1.4217151,0.8539688,1.9846596,0.57446504
-0.53832656,0.7627551,0.8763848,-1.7006654,-1.7604467,-1.2693566,2.8805187,-1.7807299
-2.2052205,1.176575,1.5248243,-0.720689,2.3789158,-0.32594383,1.5286645,-0.4086863
1.1083088,0.62973636,-0.5226496,2.0544736,0.33375698,0.48648298,0.95881283,0.87479526
-0.54937327,-0.698053,2.912197,2.6931772,-0.39547852,-0.7045603,1.6363893,-0.038248077
-0.56037074,-0.2688995,2.0829022,2.0504827,0.43617725,0.40724337,2.0294907,-0.7893009
-0.69688076,-0.42073616,2.3124356,2.122656,0.67317384,0.13080506,1.8530248,-0.61814016
0.9341739,0.34508923,1.1900902,1.873807,0.41947448,1.358973,2.2127597,-0.94417846
0.7428806,1.9452779,0.27990824,2.1143038,-0.06362055,1.9658164,3.4496212,-0.025396865
-1.5815113,-0.30971852,2.0509095,0.8531813,-1.4600091,-2.0325677,2.321147,-0.55068666
-1.6956468,-0.21179305,1.7430205,0.84033775,-0.8639781,-2.7260056,2.2694101,-0.88040996
-0.5387842,1.2106695,1.0097839,-0.025476083,0.81455994,0.81359035,1.7817181,0.6723043
-0.36422917,1.3740379,0.9810263,-0.17011718,0.71216536,0.8604298,1.7444855,0.8326684
-1.8331532,-2.0465217,-0.47266465,0.42413092,0.3770527,0.48977882,3.124569,-1.0815327
-0.25507993,0.23103854,0.7435163,0.4491917,1.0815843,0.22162199,0.68754303,0.26149824
-1.8502156,2.439714,-0.9186757,-1.2914863,2.218392,-0.068965256,2.0986922,-1.4851524
-0.9124982,2.1720572,-2.1537929,-1.6949809,3.7197807,1.0518978,3.2612686,-0.34761754
-0.32660374,2.0441446,-0.79726785,-2.365953,2.95855,0.2390064,2.8749568,0.97292763
-0.6615096,1.359252,-0.42268193,-1.5902299,1.8397866,-0.013296012,2.5898213,0.7317263
0.58341354,1.1689742,1.9187876,-1.1002443,-0.2809459,1.8063122,2.6166573,-0.8924166
-0.38524628,0.60186476,-0.047235772,-1.7594291,0.98381287,-1.2861581,1.4618198,1.9179392
-0.3819462,0.4570247,0.17291626,-1.5052823,0.92453104,-1.0461702,1.211169,1.3923733
-0.33044645,0.508234,0.32341337,-1.3587846,0.62888914,-0.83666205,1.309207,1.5052502
-0.26052064,0.25572106,0.27657843,-1.4413786,0.8009026,-0.68657434,1.2447861,1.3893486
-0.71179265,0.36812773,-0.012850037,-0.8782441,1.4339422,-0.050688468,1.2970356,1.7470262
-1.1213967,0.21826164,0.5675151,-0.47204074,1.1090689,0.36994925,0.94690025,1.494999
-1.2808071,-0.054357056,0.75307596,-0.60793525,1.1066334,0.19992445,0.96191216,1.599529
-0.28928432,0.17759007,0.28731838,-1.0156288,0.7487234,-0.25354496,1.07097,0.8792811
-0.5810199,0.10644855,0.4220235,-0.9277551,0.85699105,-0.02032832,1.1962731,0.56364334
-0.59059983,-0.008222207,0.50195575,-0.8024107,0.7944796,0.08811853,1.1379521,0.64803207
-0.6288961,-0.113140576,0.44526103,-0.9233301,0.88239205,0.24276026,1.2386082,0.6430908
-0.2923798,-1.1430186,-0.04051099,-2.131311,1.5815722,-0.21911167,1.9495304,1.12017
-0.64136136,1.3158233,-0.2733275,2.22448,1.0129839,0.7700395,2.2957377,0.07178796
0.3463171,-0.21270134,-0.3392705,1.3689924,-0.41511837,-0.45297834,1.5648324,-0.3622116
-1.11966,-0.23810916,0.91925,-0.26867774,0.19962035,0.92803365,2.269859,-1.3702455
-0.49478754,0.7499174,0.28920925,1.965917,0.9096749,0.6945549,1.9138113,0.032383803
-0.9697854,1.1766793,0.92028606,-1.2468172,-0.81420285,1.6274538,2.599996,-0.62493396
-2.3930295,-1.8051246,2.1326525,-0.37893173,-0.32509908,-0.26105276,1.952788,0.36312693
-0.48828748,0.3762841,1.3787855,-1.4058577,3.2988963,0.4658332,1.6634754,-1.2872019
0.4418923,0.12267422,1.0046206,0.5021217,2.5719202,2.172013,2.4312613,-0.10551812
-2.0573664,-0.4652532,-0.07734451,-0.21739458,2.751997,-0.05117457,1.7839378,1.0613295
-1.5279934,-1.5516636,-0.07461259,0.516171,1.8383014,-0.11868373,2.0394323,1.0121106
0.825635,2.0468047,-0.76239455,-0.1449853,-0.4929102,-2.3035054,1.8657287,0.13533802
0.60896134,0.87837934,-0.5692374,0.6126459,0.6243604,-1.4503886,1.7897611,-1.3392843
0.7202549,2.392285,-0.4074991,1.2424566,-0.7157196,-0.92416185,2.6228385,-0.289796
0.30084205,1.8800026,-0.10332838,0.865888,-0.5873026,-0.73387235,2.4566348,-0.54273665
0.13069353,2.5965211,0.24493456,2.0845935,-0.90960765,-1.0568434,2.7306535,-0.54326564
-0.030068496,2.6401346,-1.0930492,1.0092032,0.24363278,-1.8448927,2.6347885,-0.06121213
0.6646087,2.0931761,-0.22392674,0.7631507,-0.57020706,-0.6158228,3.1329763,-0.49667916
-0.0014296428,2.3728728,0.28783134,1.3630209,0.07505785,-2.5713255,1.2522508,-0.009536009
-1.8540378,0.05209388,0.055576853,0.5524069,1.6045201,-0.75906837,1.5694988,-0.7435513
-1.1333145,-0.8709046,1.6451232,1.7668959,-0.47265914,0.53342974,1.9818594,1.0554976
0.114559226,-1.3815565,1.1760621,1.6117294,-0.6072157,1.0131872,2.5432692,0.41531613
-2.5815885,-1.4839864,-0.2933532,2.73877,0.6835614,-0.33346918,2.163265,2.960481
-1.2741925,0.1842005,0.4437313,-0.48254955,0.54177576,1.2784389,1.9761058,0.41555184
-0.0053001386,-0.86998886,-0.07715659,-1.266248,0.7728783,-0.31989777,1.2702004,0.8905283
-1.7420132,-1.87231,-0.41639575,-0.00886963,0.6320714,0.77054864,3.1546125,-1.1425478
0.37768167,0.93948746,-1.8285735,0.5546214,0.42316407,-1.0644577,2.0998735,-1.3059204
0.4384225,1.8679724,-0.37704232,0.38572845,-0.5391632,-0.24678183,2.718508,-1.4378957
0.93421215,0.6052966,0.40354928,0.2281446,0.71808505,-0.09487992,1.4576238,-0.07276781
0.7828169,0.6597582,0.5351144,1.1787094,0.5281184,0.64057,1.8164673,2.2217937
-1.3249218,1.8477664,-0.80749214,1.0227919,0.9734319,-2.9860096,1.9381456,-0.29368645
-0.17627937,1.7425983,-0.31600726,0.016294125,-0.4600153,-3.9980989,2.3147602,-0.73221284
-1.4555837,1.1998466,-0.2819781,1.3167268,0.9426193,-2.2526922,2.1775494,-0.7632397
-0.19822061,1.0270274,0.34670982,-0.07543592,-0.6787028,-3.3351808,2.5172174,-1.2247566
-2.2390583,1.8850747,-0.47249177,-0.7067912,0.5448144,-1.3020955,1.7249774,0.5810818
-2.0816078,1.9307594,-0.0935731,-0.761941,0.68677944,-1.2840545,1.5374961,0.67024136
-1.8060639,1.5977348,0.17857827,-0.6650809,0.71023685,-1.1002932,1.3137859,0.84552056
0.9835101,-0.59950095,2.8035877,-0.01183404,-0.36622858,-1.3860477,2.1970298,-0.93030256
-0.648077,1.3697991,1.0826634,-0.2404839,0.5408493,0.62270945,1.7177051,0.8597605
-2.130173,0.7500302,2.6613448,0.46666625,1.4732049,0.16301699,1.4760734,1.2325985
-2.229691,0.6952788,2.4893568,0.4535931,1.6021699,0.022260817,1.4097749,1.3616847
-3.6830804,-0.38640133,-0.1017352,-2.7434947,0.9344149,-0.5974938,3.0868273,-0.27806094
-0.35733703,0.9782433,1.4649687,3.317778,1.4594862,0.999774,2.3541646,-0.1957691
-1.756387,-0.89805967,1.0425972,-2.7760408,0.5312961,0.016400557,2.0428486,0.86016446
-0.96552336,0.4196279,-0.57453114,-1.9273189,1.612094,1.5533841,2.4648194,0.9609313
-0.7480686,1.6761075,0.93538404,-1.1722662,1.2528554,0.60243374,1.8232827,0.51785487
-2.2374809,-0.13192895,0.6017862,1.9417901,-0.5111875,-1.6156919,1.9995072,1.5183605
-1.9767503,-1.3107529,0.8057825,1.5310434,1.6544095,-1.0200263,2.1948693,-0.42741126
-2.3519776,-1.4206202,0.41172174,1.5190841,0.59205776,-1.1768116,2.7430422,-0.47393838
-1.6329951,-1.0545816,1.62004,1.9824843,1.812732,-0.3916158,2.0378997,-1.1020888
-1.5595174,0.22781712,-0.24182218,0.014876615,1.780067,0.04882704,1.6504285,0.5461341
-2.859616,0.8805693,-0.19763336,-1.1324435,2.3954365,0.31912455,1.2177831,0.11353934
2.3314576,0.77902764,-1.0138284,-1.2432778,0.8753834,-0.9255232,2.2242143,2.3455017
2.8932254,0.94251555,-1.3516476,-1.5762042,0.57097024,-0.7942378,2.552755,2.031156
2.6859467,0.53307444,-0.32318178,-1.1433778,0.9545935,-0.18386544,2.533579,1.9360824
1.2229277,1.6124345,-1.512803,-1.4320042,0.009202749,-1.0687586,2.824847,1.530609
1.517965,1.8464712,-1.7096128,-1.5481508,0.03686125,-0.75638855,3.0517385,1.3008412
1.8653878,0.91017604,-1.3589709,-0.9963378,0.50980836,0.45025468,3.3942425,1.6194323
0.34060994,0.37455863,-2.145404,0.2468756,0.14537123,-0.8408056,2.4040208,-0.8398018
-1.0045042,1.1919484,-0.68952155,-1.9813426,0.88647425,-2.5595431,1.5081313,-2.0628984
-0.8700632,0.61094373,1.1460416,-1.4661901,1.8719772,-1.5336317,1.2757441,-0.87045354
-0.8071225,0.42255133,1.1085706,-1.6164907,1.9556704,-1.6807715,1.2813628,-0.7622512
-1.3346359,-2.1221213,-0.6411748,-1.2082587,1.1166453,-1.6420736,1.7480152,0.5058605
0.21818033,1.0785547,-0.41102418,-0.21759467,-0.18777864,-1.7493086,1.6130524,1.6065677
0.28378728,-0.3988532,-0.3528404,0.58416116,1.0198735,-1.4163666,1.6657552,0.39044434
0.3843365,0.9223797,0.5136337,1.2820153,-0.19914694,-0.108718164,2.091674,0.6308886
0.8849441,0.8318581,-0.69064796,0.34035698,0.37738377,-1.7898637,2.0967171,2.0760043
0.9604341,1.1786616,0.5663045,1.9342866,-0.26562697,-1.6359169e-05,2.629115,0.94069564
0.9923533,1.5247109,-1.2186701,1.1788871,0.6463091,0.6000293,2.3631907,2.6680593
0.5426417,0.24283253,0.6293476,-1.2332147,1.3008181,0.12200738,1.5679996,-1.3002502
1.2734791,1.0222114,0.39155284,-1.9818358,0.43441245,0.16455108,2.7086036,0.10385482
1.4987025,0.8951882,0.21999311,-2.0937498,0.5913802,0.088827774,2.433898,0.19963717
1.6830436,0.31983325,0.23868087,-0.55417174,-0.022502359,0.064567685,2.3000462,-0.397842
1.5967983,0.41549122,0.26145124,-0.8443303,-0.1692858,0.11095062,2.3890197,-0.6716174
-1.1032257,0.25773215,0.068516284,-0.37666336,0.53806895,-1.3212206,1.2946302,0.065838166
-1.54542,-0.14101005,0.889161,1.0502945,0.8267701,-1.2631394,1.2105348,0.34984598
-2.4819074,-0.18356515,0.51573545,1.4078654,1.4147626,-0.9416468,2.0874786,-1.1383426
-1.3324618,1.2018002,0.36116508,-0.9927883,-0.6227499,1.4239774,2.8458626,-0.64302796
0.32708007,1.0485036,-0.3447861,-0.17246656,-0.12648794,-1.8085045,1.5901695,1.5097523
0.42825714,1.2661535,-0.5405814,1.7076216,0.01445508,-1.1654781,2.2164183,1.5141356
-0.3649239,1.1411376,0.5875253,1.019216,0.3641982,-2.0339854,1.1488204,1.7753171
0.3490699,0.057853516,-0.047503974,0.7924506,-1.5592674,-2.4668782,2.2203102,-0.76999193
0.2222513,0.04932333,0.12551232,0.84000593,-1.5214287,-2.5115414,2.430558,-1.0426584
-0.07973264,1.0940036,-0.31374323,0.7775803,-1.0685213,-0.92701054,2.1516435,0.089095324
0.38863897,1.2302278,-1.2191496,1.323239,-1.0504651,-0.89002055,2.4148333,0.542283
0.30776903,0.6972441,0.2829244,0.84784156,-1.4987983,-0.4396822,2.62456,0.14107488
0.9039254,0.91330767,-0.6779206,1.8211821,-1.4187161,-0.43607983,2.8234093,0.67763317
-0.6800551,0.7317622,-0.054425485,1.4189438,-1.2836396,-1.1857557,2.279595,0.36676115
0.63232255,0.897887,-0.86381406,1.1735749,-0.7167114,-0.59198505,1.9532688,0.6141222
0.92569214,0.64280814,0.5559705,1.2258223,0.2977139,-2.5251758,1.7028667,-1.4984134
1.0561078,1.1601367,-0.8220053,1.5698211,0.21578445,-1.8917546,1.8733927,-0.396377
-0.18429276,0.82409525,1.6096379,1.161017,-1.1898316,-0.44188428,2.6155715,1.6422275
-0.2159315,0.9987829,0.47897872,1.1468217,-1.3213751,-0.8652042,2.4551487,0.76761043
-2.2371078,-0.73494136,-1.0883495,2.3749354,-0.04122842,-1.4029634,2.2815447,-0.070531294
0.33320165,0.305584,0.22770457,0.1426618,-0.7149178,-1.4960172,1.7133486,-0.5615934
0.24162126,0.54808927,0.21467385,0.8035279,-0.8172301,-1.6675352,2.1174006,-0.66002315
0.0006235242,0.34206954,0.29162845,0.31095433,-0.745602,-1.4254423,1.8727804,-0.46112797
0.27373713,0.36022976,0.3708092,0.5948445,-0.88136137,-1.8133394,2.2236357,-0.7054559
0.18555385,0.5160922,0.21528438,0.51274335,-0.76786447,-1.5027798,1.9015764,-0.5758102
0.46280482,0.23074922,0.35373387,0.24256963,-0.75724405,-1.8127278,1.9679068,-0.62531507
0.57671034,0.23008193,0.16145918,0.30082846,-0.682745,-1.6510438,2.1324096,-0.5693683
0.36839256,0.40643525,0.10915649,0.23696244,-0.7850951,-1.4617207,2.0369923,-0.54979163
-2.489231,-0.48682004,2.762633,-0.4030828,-0.11813812,-0.98709106,2.106455,-0.4950588
-2.826624,0.36401096,2.7822816,-0.51155007,-1.2547195,-0.24628547,2.44386,-0.36696133
