p_0,p_1
1.3731757,1.7102633
1.9745935,2.035179
1.9822495,2.0388045
1.9770131,1.9717017
1.9905027,1.9204283
1.9482629,2.023811
1.9613433,2.0616806
1.8484149,1.7948002
1.7982392,1.8294533
1.9818993,1.891875
2.0021522,2.022571
2.0309885,1.9992431
1.9469131,1.9302449
1.8753326,1.8813891
2.0548644,2.0797424
2.0455022,1.9947662
1.977186,2.067581
1.9281722,1.800672
1.977019,2.1150675
1.9257479,1.9737074
1.8544691,1.7816725
1.8741765,1.8072366
2.027401,2.0273662
1.8530023,1.9872391
2.0027184,1.9622526
1.9705664,2.010969
1.8353534,1.824377
1.8981751,1.9987234
1.9694095,1.9531701
2.0159903,1.9600512
1.9948663,1.855313
1.8694192,1.9055724
2.033532,2.0180893
1.9039868,1.6523043
2.0749247,2.0001922
2.0763056,1.8983232
1.8036127,1.8343294
2.0292838,1.9768701
2.1128576,1.9522992
1.7887847,1.8057646
0.3910041,1.5964518
0.20129411,1.8013961
-1.3365704,1.3602353
-2.7130492,1.4785787
-2.6639044,1.5522403
-2.7442145,1.379831
-2.6949718,1.4813944
-2.4823387,1.3749098
-2.5797763,1.4166552
-2.6080034,1.2533705
-2.5221884,1.3922441
-2.813083,1.2459549
-2.6739852,1.3793625
-2.5559952,1.2685909
-2.5104685,1.2262983
-2.3006685,1.6420871
-2.129958,1.3526696
-0.33630675,1.4698929
-0.66088516,1.4540669
-0.1792868,1.3931568
-0.5071708,1.5756757
-0.52572066,1.3232638
-2.0277092,1.8560076
0.3558062,1.7115719
0.5648992,2.137681
-2.3251483,1.3018099
-2.440044,1.3180643
-2.3637903,1.5889059
-2.492236,1.6150864
-2.3190503,1.5332645
-2.124653,1.4019974
-2.4838996,1.534907
-2.257513,1.4235196
-2.373717,1.5302387
-2.1229217,1.4383627
-2.0457962,2.222524
-2.3113625,1.4795271
-2.1190286,1.5309771
-2.2341962,1.3851252
-2.0978475,1.4683596
-1.8966852,0.9865781
-2.0105257,1.095929
0.69647044,1.661069
0.10488391,1.4409057
0.19543317,1.4333924
0.06169824,1.4693615
0.1784148,1.8123883
1.0079436,1.7618263
0.8954665,1.9609404
0.47843587,1.4813976
0.75576097,2.1368554
0.766495,2.0624464
0.68158734,2.1280494
1.2188021,1.6502627
1.1802894,1.8294879
0.575623,1.3118441
1.0403316,2.0780025
-1.8231707,2.0487633
1.0388025,1.907473
1.3650199,2.1401048
0.39837536,1.6107346
-0.56934947,1.3157032
-1.9211973,0.80137026
-2.092278,1.2080176
-2.2189815,1.281268
-2.206006,1.1556242
-2.0428925,2.2169006
-1.1479785,1.1654727
1.184568,1.7826273
0.18777315,1.040875
-1.140743,1.3348061
-0.65753955,1.6668469
-1.2542694,1.4749618
-1.4577935,1.3941796
-1.2645247,1.2882129
-0.8791552,1.4166193
-1.3484477,1.2919589
0.9407028,0.98755926
-0.8938722,1.4623562
-2.257422,1.6769668
-2.4652085,1.5002183
-2.2815194,1.5519522
1.8076864,2.164989
0.09923817,1.056941
-0.51859057,1.1120114
-2.00928,1.2139692
-1.6645992,1.5426595
0.7116531,2.032004
-2.2156043,1.8380748
-2.1462915,2.208979
-2.2028742,2.026693
-0.19166104,1.2999804
1.6026853,2.0698943
-2.370433,1.4012065
-2.2620187,1.3735638
-2.1956902,1.2444309
-0.6119409,1.7255224
-0.67228067,1.7391455
-0.5549108,1.3836545
-0.58379215,1.3971443
1.2265176,1.623214
0.63878536,1.2161998
0.33514893,1.0804356
0.34332195,1.3068477
-0.50973356,1.1614453
-0.7003693,1.181376
-2.9244833,1.323213
-2.631226,1.0853974
-2.5953481,1.100178
-2.6032152,1.1233327
-2.6983895,1.4776759
-2.9225528,1.293567
-2.8030143,1.2807653
-2.725142,1.2523971
-2.8350787,1.2690957
-2.8637097,1.2874378
-2.6947396,1.243077
-3.0337458,1.9215055
-2.8751645,1.2900215
-2.7108994,1.3930074
-2.8886948,1.2679096
-2.9966657,1.5495396
-2.305607,0.8817052
-2.1936953,0.90022606
-2.3915682,0.91325486
-3.08319,1.8255328
2.6413856,3.121131
0.3371122,1.6372262
-0.97360426,2.0303009
-0.2378922,1.9710892
-0.3146245,2.0105286
-0.27004707,2.1095665
-0.390586,1.374558
-0.19774015,1.2707502
-0.45682532,1.8248985
-0.23294367,1.6726933
-0.25828198,1.6683378
-0.49469575,1.5768458
0.79018956,1.0140141
1.5319467,1.9022207
-0.14073768,1.7457408
2.7226262,3.4063776
2.8915055,3.4663277
-3.8535786,2.066875
-3.9663396,2.1456785
-3.4683363,2.09548
-3.3955312,2.040557
0.43151623,1.8843068
-1.3393447,1.5227975
2.4291332,2.643689
2.9049082,3.0949907
2.8619227,3.0468757
3.1093006,3.5289283
2.888517,3.152634
2.7314577,3.0967622
2.7121606,2.9365056
-1.3712773,1.8223062
1.6528474,2.1255753
1.5346491,2.0862334
-2.5092912,1.2137448
-3.2775335,1.6568586
-3.1344578,1.6091307
-2.365173,0.99167067
-2.409303,1.068036
-2.767556,1.4697812
-2.6295364,1.3917779
-2.6580927,1.3640629
-2.7272766,1.3367164
-2.8612344,1.5856708
-2.59723,1.3177099
-2.6563656,1.3946923
-2.660159,1.3948331
-2.8870714,1.52332
-2.6615396,1.3377821
-2.9648924,1.5489062
-3.3379703,1.8797923
0.3338773,1.4178687
0.106135204,1.256382
-2.1294649,1.1226804
-3.7439244,2.1623034
-2.6122549,1.4285
-1.5384952,0.97563565
-3.169736,1.8433013
-2.964738,1.6797997
-2.4633737,1.2101022
-1.2148607,1.171665
0.7780491,1.5042154
2.2165308,2.849499
2.9638493,3.4972918
1.9081026,1.86785
1.1033303,1.8046554
2.391119,2.6536827
2.569814,2.781749
2.1788263,2.7584682
2.4869757,2.6503491
1.6413852,2.1337435
1.419351,2.8250582
1.8490046,2.1871521
2.0263038,2.2530887
1.9569309,2.275539
4.268737,4.565731
0.83376837,1.8266673
2.2156534,2.3908021
1.9681233,2.3304384
0.7803523,3.351441
1.4522296,1.965589
1.4172838,2.0283291
1.1780577,1.8042525
1.297832,2.2185686
0.57936686,2.0250132
0.65708035,2.2237825
1.3463007,2.168205
1.7563024,2.2745447
2.2084255,2.523561
2.075539,2.370313
-0.72127515,0.96216
0.70480645,1.5192146
0.5363214,3.2330868
0.7033095,1.8832756
0.6363192,1.5431433
0.6844862,1.347292
-0.8033745,1.6353302
0.5790283,1.3578153
-1.5335337,1.4463042
-2.1610646,1.6864384
-2.1729586,1.6958681
-2.0020788,1.6181532
-2.849729,1.6263863
-2.756718,1.6987523
2.0234516,2.2715986
0.85424083,2.0661411
2.0885272,2.0537193
1.8123697,2.126051
0.6669943,1.4269838
0.7223554,1.4761214
0.65895283,1.3458505
0.937861,1.6060358
0.53299206,1.3281529
0.7938499,1.5580462
0.74796015,1.5202595
0.8142928,1.4735115
-0.80358857,0.9336223
-2.4862576,2.2323594
-1.8692993,2.061671
-3.3310854,2.128443
-3.0991473,2.063075
0.6478541,1.3624369
0.6684536,1.3518506
2.3827841,2.6144762
1.78317,2.6562881
3.7378232,4.405371
1.8179435,2.0332975
1.8937974,2.128865
1.851687,2.3586993
1.5127304,2.0937006
2.8216608,3.1150875
2.032954,2.0934284
2.1309423,2.3570287
0.8715874,0.9130817
2.0634875,2.4445899
2.0545135,2.265055
1.3717333,1.0717154
1.5180832,1.5194963
1.349791,1.4489274
3.226012,3.5424328
2.1318233,1.9066046
1.7927378,1.9293008
1.6429375,1.8475428
1.2557281,1.2969049
2.2815113,2.430651
