p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22
1.3875308,2.355015,0.015686542,-0.90705705,-0.09204354,0.103088245,0.81827825,1.057223,0.44755915,-0.3644889,0.5125459,0.2546894,1.5802627,0.4622578,-0.9168759,-0.4206407,0.254097,-0.26103604,0.7395523,-0.37779793,0.095584035,0.1446225,-0.17751615
-0.063004725,-0.13171265,0.31108925,0.5209652,-0.47260582,-0.003652727,0.20836323,0.45834857,0.028957559,1.4997618,0.9107496,-0.15051998,0.26461196,1.2006525,-1.2721027,0.40580335,-0.07589232,-0.4008081,-0.015451713,0.6392356,0.34481293,0.34722364,-0.13628204
-0.03887628,0.08085253,0.20852658,0.40550026,-0.45986176,-0.04860587,0.28855628,0.6227414,0.06027193,1.4504901,0.8512785,-0.22316676,0.10573185,1.2497344,-1.2187983,0.4804273,-0.24000782,-0.3921941,0.002584651,0.59396166,0.23146948,0.29085344,-0.18259157
-0.02086574,-0.09452984,0.77303433,0.7313204,0.61036813,-0.28496853,0.9297577,-0.064564504,1.0882314,0.9232686,-1.1625274,0.0565491,1.2238696,0.7161213,-1.27451,0.11840002,-0.4819,-0.9188586,-1.5907947,2.295923,1.4609817,-1.257396,0.30175278
0.51904255,0.49293515,-0.66330665,-0.023503985,0.01914869,-0.4533679,-0.21789888,0.78772295,-0.49350962,-0.21398993,0.79952496,-0.46379572,0.5953482,-0.84381783,-0.58845943,0.5560542,-0.5602978,-0.93553275,0.21770926,0.6550244,-0.15862289,-0.3685126,0.13720475
0.23103155,0.3755881,0.3037426,-0.21857631,0.09608619,-0.16000769,-0.14363249,0.5761904,-0.16506384,0.36555925,0.29088387,0.110945836,0.11270791,0.2854879,-0.731689,0.15802129,0.3499949,0.21471757,-0.47371748,-0.2780966,-0.17131403,-0.5225894,0.42234623
0.2397277,0.30632553,0.24361005,-0.09556713,0.037263013,-0.13488089,-0.11994743,0.44707647,-0.14197822,0.3420619,0.2251722,0.07593993,0.18339793,0.26616532,-0.5968164,0.21459958,0.22620648,0.09190388,-0.2890409,-0.18590048,-0.12078076,-0.27052936,0.30067423
0.14688253,-0.42367843,0.49073786,0.48646784,-0.0138868475,-0.46675354,1.3572464,1.5503381,-0.67155224,0.2089706,-0.17197612,-0.34776875,0.3742195,-0.86789566,-2.9685564,0.66002125,-0.09413515,0.66174215,0.107996345,0.88870555,0.27303946,0.2744253,0.5434275
0.6643187,-0.6167246,0.08395204,0.52051383,-0.62908363,1.1328237,0.20028,1.3825638,0.32530636,0.48823178,0.24357359,-0.498613,1.5507736,0.60173005,0.23088354,0.5850081,-0.03458322,-0.48695508,0.11665405,-0.18314633,0.79113203,0.47721758,0.69709
0.13306811,0.09109431,0.49401468,-0.12965359,-0.010324532,0.4839257,0.3721459,0.95347655,-0.5414348,0.33148795,0.4913278,-0.29376638,0.6518262,-0.09471085,-1.3876333,0.90390706,-0.18908152,-0.36318475,-0.48029935,-0.008015785,0.44684032,-0.05564606,0.64325976
