algorithm,params,calinski,siluetas
k-means,2,29.890358597707856,0.07006919
k-means,3,26.89054079601385,0.054054525
k-means,4,25.592222876771004,0.05530167
k-means,5,23.422647186106644,0.05126636
k-means,6,22.972964360775748,0.06678959
k-means,7,21.455703486666817,0.06780932
k-means,8,20.89570193675976,0.06341618
k-means,9,20.189679614612725,0.07346164
k-means,10,19.439505389486882,0.06622316
k-means,11,18.46609487535622,0.06988019
k-means,12,17.876739710516567,0.069225095
k-means,13,17.483129084613225,0.07180879
k-means,14,17.115799271502528,0.08130468
k-means,15,16.57103049087242,0.07199353
k-means,16,16.23407867742178,0.07751501
k-means,17,16.468401136443017,0.07713742
k-means,18,15.986962235981174,0.08204844
k-means,19,15.608959705755371,0.07049148
k-means,20,15.669379883955589,0.08905262
k-means,21,15.259972193918964,0.098693036
k-means,22,15.198510745787296,0.0987316
k-means,23,15.039393978245576,0.094190195
k-means,24,14.731770139602823,0.11127707
k-means,25,15.19329483947684,0.10570048
k-means,26,14.457905655039951,0.10709329
k-means,27,14.29713607352996,0.09564765
k-means,28,14.26535494960935,0.116063766
k-means,29,14.12421748529311,0.10545294
Birch,2,18.889779648631855,0.06735325
Birch,3,19.491394933661617,0.049938917
Birch,4,19.008375301830892,0.05629388
Birch,5,18.25606394535841,0.04865194
Birch,6,17.546739774594037,0.038295664
Birch,7,17.01929869727084,0.046490632
Birch,8,16.673376571342068,0.030029655
Birch,9,16.34102718982754,0.034209274
Birch,10,16.06899219325605,0.04105228
Birch,11,15.936487329634108,0.048822165
Birch,12,15.819585147444965,0.050690517
Birch,13,15.634241400991566,0.057245098
Birch,14,15.3941700103336,0.062396128
Birch,15,15.220289154010059,0.06944709
Birch,16,15.007564265554585,0.07461596
Birch,17,14.87512276350233,0.067024395
Birch,18,14.717276866242242,0.07207016
Birch,19,14.541218557005854,0.07614775
Birch,20,14.392791037166283,0.0824519
Birch,21,14.254784339875867,0.08493417
Birch,22,14.133549339783343,0.08654797
Birch,23,14.019982188751161,0.0849257
Birch,24,13.912736942361885,0.08208517
Birch,25,13.801746827605601,0.085628234
Birch,26,13.711269935823237,0.088116676
Birch,27,13.6566114483703,0.086584
Birch,28,13.583786326349419,0.088335425
Birch,29,13.50249861175291,0.09320661
DBScan,,ERROR,ERROR
Affinity,,11.295605230012988,0.21611553
Mean Shift,,ERROR,ERROR
Agglomerative,ward-euclidean-2,21.3951066539852,0.09121093
Agglomerative,ward-euclidean-3,20.59752249831373,0.043172803
Agglomerative,ward-euclidean-4,19.53013253347566,0.04052849
Agglomerative,ward-euclidean-5,18.989971246459604,0.029249642
Agglomerative,ward-euclidean-6,18.481661224032646,0.032997772
Agglomerative,ward-euclidean-7,17.97203056189077,0.04097881
