p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26
0.38100296,-0.15246797,0.7489717,-0.6097804,0.3530455,-0.26263374,0.7003727,0.73315865,0.13414821,-0.5974132,-0.6441802,-0.3542047,-0.07214985,-0.01400064,-0.15282342,0.02759542,0.61861527,-0.83064294,-0.60419846,0.57682157,1.924143,-0.011527055,0.8964548,-0.7013398,0.2959187,-0.9628499,-0.079147585
0.340647,-0.06586531,0.79047096,-0.62229604,0.3857007,-0.3171203,0.69889355,0.60216224,0.22093032,-0.4318731,-0.7236415,-0.33401865,-0.16855153,-0.12202018,-0.18583658,0.15532169,0.5867802,-0.85019374,-0.7423005,0.53122383,2.048712,0.018123226,1.0654733,-0.9197468,0.3780885,-0.8729855,-0.1821485
0.06855791,-0.10422566,0.7908677,-0.6601861,0.07483747,-0.40311727,0.96418047,1.1646044,0.25828493,-0.9794703,-1.7031857,-0.20022038,0.10904098,-0.95842755,-0.4829124,-0.026059024,0.9689917,-1.5449312,-1.4120437,0.322632,2.6231923,0.39193675,0.52262604,-0.46114388,0.17089166,-0.6069846,0.07009413
0.78833085,-0.3091001,0.62762594,0.25860962,0.087459944,1.4456857,0.19943829,-0.9653349,-0.53320134,-0.6089628,1.2230629,-0.7203765,0.052505884,-0.15571633,-0.08746852,-0.25261235,0.89054394,-0.82571775,-0.52536416,0.9102248,0.7223743,0.09676861,0.5023332,-0.512108,0.6721787,-0.3196371,0.28762358
0.8119438,-0.5150371,0.51397794,0.09619846,0.07929906,1.5776545,0.33803797,-1.0627438,-0.7313967,-0.8273314,1.2938807,-0.70513254,-0.057953738,-0.0983171,0.016247304,-0.3847515,0.9851344,-0.9358552,-0.46818903,0.9141713,0.93804175,0.24171004,0.5188148,-0.5264862,0.75103176,-0.27936593,0.3203575
0.0720092,-0.8302184,0.012822792,-0.3106342,-0.4470308,-0.17686215,1.2442728,-0.50806546,-1.708785,0.62177205,0.14628854,0.40231523,1.0110271,-0.58016855,0.0062428163,-0.83648235,0.029829528,-0.1352835,-0.89351505,-0.42914492,1.2305982,-0.5624641,0.7742604,1.8251625,1.7852365,-0.46760467,0.8784584
1.0109397,-0.12569427,0.041820794,0.099616654,0.6596672,-0.20271881,0.6484475,0.49688876,-1.323612,0.68897927,0.20162359,0.20503415,-0.16721421,0.4002945,0.98659045,0.4807566,0.36387557,-0.9080881,-1.2423629,-0.6405588,-0.002309686,0.011695562,1.128489,0.45348117,-1.078276,0.7053328,-0.15244946
0.76144665,0.144568,-0.19356267,-0.28840443,0.8210807,0.61745334,-0.24510227,-0.08229936,-0.97357655,0.16706415,-0.40669435,-0.15871976,0.69018614,-0.17892994,0.7235972,0.2034126,0.8559535,-0.22239293,-0.7491732,-0.80426586,0.39735958,0.2987453,1.6960163,0.47658315,-0.4353741,-0.48266816,-0.050000127
0.45160902,-0.39010587,-0.7386289,0.00853574,0.030518686,0.2336432,0.1893739,0.11662429,-0.23009162,-0.5427496,0.4430807,-0.022928527,0.855711,0.5403634,1.1034064,-1.1790283,-0.07705997,-0.33503327,0.39017698,-0.058302775,1.9836199,-0.24790946,1.3403239,-0.21561462,0.8468656,0.065616235,1.3023955
0.26981726,-0.048685808,-0.44506034,0.41035345,0.12647848,0.527998,0.24998596,-0.059735548,-0.3632886,-0.3649279,0.401509,-0.55741054,1.0819308,0.41843036,0.9560623,-0.87662256,-0.7475691,-0.50035596,0.4583514,-0.17736645,1.9479991,-0.23253527,1.4709476,0.13385533,0.8406439,0.15203615,1.1591606
