algorithm,params,calinski,siluetas
k-means,2,369.58714975438386,0.37614122
k-means,3,411.45047776105406,0.3921965
k-means,4,411.36907354649185,0.36145175
k-means,5,424.2606669497177,0.36065656
k-means,6,407.5023747755188,0.36953503
k-means,7,398.476139178697,0.36469507
k-means,8,408.0460606907238,0.3789107
k-means,9,416.5637366822489,0.36189446
k-means,10,428.9866639881854,0.37700045
k-means,11,422.62976821255114,0.3691728
k-means,12,416.7687095171157,0.36826554
k-means,13,408.9057154650211,0.36498192
k-means,14,411.37090935766065,0.369025
k-means,15,404.59183037204156,0.3608028
k-means,16,397.56018666188453,0.3564576
k-means,17,395.3369203779817,0.36971432
k-means,18,394.0538243989983,0.35056153
k-means,19,398.93418590447004,0.35139507
k-means,20,384.36252121065246,0.35277733
k-means,21,383.11742049475424,0.33332098
k-means,22,388.39617244951813,0.34416032
k-means,23,388.5459446772882,0.3529839
k-means,24,384.14395385067127,0.3389482
k-means,25,384.1011368674427,0.34547752
k-means,26,380.9107783596611,0.33207265
k-means,27,375.9013497839348,0.3368878
k-means,28,375.26406917407354,0.33547172
k-means,29,384.1443206418157,0.33712617
Birch,2,359.8741165808717,0.36906645
Birch,3,321.9747325215876,0.30914548
Birch,4,330.5052638481786,0.31480774
Birch,5,341.4736227793404,0.2906504
Birch,6,329.80803194824705,0.28639776
Birch,7,340.3364806806372,0.30128554
Birch,8,340.85614360785866,0.3103332
Birch,9,331.6637783652596,0.30960503
Birch,10,337.14368906854304,0.28719726
Birch,11,332.148482419245,0.2829032
Birch,12,333.1962704847491,0.27260125
Birch,13,337.7192515770901,0.2802843
Birch,14,324.7616182194706,0.2796111
Birch,15,322.78701869004897,0.27612504
Birch,16,318.8277990051707,0.27784136
Birch,17,323.49557160236765,0.28251788
Birch,18,317.8325619412386,0.2830919
Birch,19,309.80179299928875,0.28454936
Birch,20,301.8769679582325,0.28392622
Birch,21,301.28381646184096,0.28675908
Birch,22,296.3838137283896,0.28293648
Birch,23,289.3185924143608,0.27815807
Birch,24,298.607978355703,0.28247952
Birch,25,298.06499392553155,0.28380114
Birch,26,299.4658819541088,0.2827257
Birch,27,304.0308654497802,0.27372625
Birch,28,299.93025890321456,0.27024734
Birch,29,298.2535925711082,0.27216226
DBScan,,23.004966447664668,-0.2326355
Affinity,,383.8965264549926,0.33631912
Mean Shift,,184.84978457018426,0.28125632
Agglomerative,ward-euclidean-2,368.07786900692383,0.37619165
Agglomerative,ward-euclidean-3,345.325012064855,0.3139292
Agglomerative,ward-euclidean-4,359.254144850775,0.3084392
Agglomerative,ward-euclidean-5,361.6885387418968,0.32461718
Agglomerative,ward-euclidean-6,353.5614849288445,0.3244722
Agglomerative,ward-euclidean-7,357.53725563996136,0.33959368
Agglomerative,ward-euclidean-8,373.29644183404076,0.35059792
Agglomerative,ward-euclidean-9,366.8650644571396,0.3337109
Agglomerative,ward-euclidean-10,370.05103265987276,0.3320753
Agglomerative,ward-euclidean-11,368.78899973626915,0.33267352
Agglomerative,ward-euclidean-12,367.81545483662455,0.34103033
Agglomerative,ward-euclidean-13,370.9644689016879,0.34033063
