p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19
0.18403684,1.8753104,0.46876493,0.9099649,1.4689102,-1.3221014,-0.34897724,2.4147005,-0.26645878,-0.009905514,0.2366229,-0.25728157,1.7776285,-0.09723618,1.7300739,-0.7440785,0.47545207,0.8348845,-0.979119,-0.754183
-0.022110313,-0.4190941,1.5182142,0.4676178,-0.60446084,0.015703816,-1.3555636,1.2363495,-0.3078762,0.19376564,0.20566145,-0.48469412,0.3942049,-0.8258938,0.4852616,-0.44275704,0.25892252,-0.32179463,-0.7088889,-0.39340672
-0.039618496,-0.5451346,1.7585653,0.46905005,-0.6409147,0.11789712,-1.6539122,1.6039948,-0.6024551,0.3808214,0.25284627,-0.7308659,0.5897425,-0.9891857,0.4350985,-0.44151098,0.51323557,-0.3436766,-0.63772,-0.3958706
1.1089433,-1.3096358,1.0938628,0.90539336,-1.1988543,-0.28142387,0.6434069,1.1272867,0.28502187,0.37047774,-0.83056384,0.6393784,-0.551101,0.14857012,2.4483066,0.46434608,0.99474484,-0.8077063,0.10349022,0.05141332
0.1390763,-0.1825299,1.3709273,-0.27962628,-0.87716484,0.7224958,0.09171594,-0.5603735,-1.1697097,-0.16132225,0.6380274,-0.29212585,0.48954317,0.9873083,1.0589501,0.24598111,1.9016787,0.18561785,0.28841558,0.46965516
0.47714898,0.524793,0.35335302,0.30197462,-0.63559675,0.4073643,0.9988913,0.15493605,-1.3879412,0.6436483,0.9263915,0.65761214,0.31840733,1.158178,1.0684996,-0.34127223,1.3122216,-0.54670787,-0.2914688,0.43081543
-0.23888,-0.5764673,0.37051997,0.7883243,-0.22613361,-0.5912714,0.36061066,1.1465893,-1.2613521,0.090996884,1.7920305,-0.39598554,-1.5911167,0.040307693,1.8026303,0.5868617,-0.07471939,-1.4944335,-0.3153258,-0.5465305
-0.34066215,-0.49928027,0.4221435,0.7215767,-0.44870377,-0.36198562,0.3529812,0.8150843,-0.82119447,-0.13929828,1.4367352,0.588991,-1.4674227,0.2569381,1.7725617,0.46100435,0.072721645,-1.7006257,-0.21440697,-0.9331715
0.23210876,-1.1140066,0.45744807,0.93940616,0.37101102,-1.2096028,0.09310968,1.1351132,-1.1848178,-0.003154817,0.39986193,-1.4870766,-0.2767921,-1.0147291,0.43031257,0.20638353,1.4702947,-0.09356559,-0.69683284,0.20737158
-0.87686396,0.026619863,0.22947274,0.9235891,0.37898058,-0.20614803,0.7945557,-0.20848867,-1.136194,1.00976,1.1863223,-0.6873366,-0.6751625,-0.49338764,0.37768695,-0.030536385,0.74179226,0.46195012,-0.9856,-0.17946248
-0.41772538,0.10676505,0.12803635,0.9540435,0.3368661,-0.28166407,0.29366863,0.05879207,-1.3660716,1.219097,1.276972,-1.0312994,-0.4796412,-1.2179443,0.32927296,-0.0142810745,0.559842,0.188501,-1.1283412,-0.16653143
0.1545171,-0.95297784,0.38220158,0.9948394,0.322031,-1.1517807,0.10854101,0.9948905,-1.1584927,-0.00638192,0.37691098,-1.4520209,-0.31950265,-1.039135,0.45798653,0.27587423,1.5645849,-0.14523019,-0.68125784,0.39321545
-0.34622282,-0.41210687,-0.1978333,1.0113912,0.32303485,-0.0446991,0.24651612,1.5059144,-2.0062535,0.072252646,0.095972575,0.030351736,-0.112085976,-0.3059053,0.9941596,-1.2274532,0.14285564,-0.337713,0.26978892,-0.63778186
0.15109967,-0.49705872,-0.79784966,1.2769988,0.027614398,-0.20474648,0.49132997,1.4078988,-2.0769563,0.14378922,0.21159694,0.16990066,-0.20906022,-0.18613426,1.2801408,-1.2636383,0.26132202,-0.20516679,-0.2581533,-0.44945356
-0.038907345,0.06736966,-0.19870444,0.97305655,0.41041133,0.05892131,-0.4878573,0.5822363,-1.5554501,0.22189993,0.3175493,-0.36408067,-0.2611052,0.61988056,0.5211341,0.08789559,0.52202415,-0.5998559,0.07181617,-0.2730503
0.22989279,0.08020988,-0.46610865,0.9328169,0.16513224,-0.14977495,-0.28812075,0.6320509,-1.4355559,0.24690837,0.41690737,-0.100111015,-0.36079782,0.7153666,0.6332078,-0.21972595,0.5412293,-0.27489024,-0.3231553,-0.23786615
-1.167082,-0.035389706,-0.38333645,1.7193958,0.17374897,-1.3467066,0.24504623,1.2272891,-2.1655416,-0.37095454,0.6386982,-0.6160003,-0.5410391,-0.23859595,0.214113,-0.16619116,-0.30920577,-0.0263463,-0.5146636,-0.29839134
-0.61412704,0.001140138,-0.9698997,1.9206547,0.115151994,-1.5840774,0.53569865,1.0645939,-2.17841,-0.27467847,0.8809319,-0.6665389,-0.67491126,-0.039633412,0.2982041,-0.020372612,-0.12512474,0.24180155,-0.8360644,-0.19928873
-0.22484966,0.007573741,0.04634832,0.4905784,0.13696443,-0.06383672,-0.34810197,0.30394793,-1.4815127,-0.20384488,0.19805779,-0.33079457,-0.11581533,0.5520106,0.3087848,0.033627354,0.35656667,-0.5872213,-0.19132018,-0.40707546
-0.09477083,-0.049413107,-0.24116372,0.6243886,0.110846,-0.27627438,-0.30307108,0.27851775,-1.5768667,-0.22782363,0.26467082,-0.12978682,-0.31519273,0.56692344,0.46091017,-0.042623565,0.50217927,-0.3932003,-0.3365992,-0.27668816
-0.51279664,1.2288587,0.84433573,1.6102759,-0.46644744,0.018837446,0.67179894,0.93251497,-0.056182064,0.19588001,0.9419042,0.6994156,0.06562671,0.32485253,3.4542413,-1.348521,0.8627319,0.7082487,-0.74035275,0.35958382
-0.2378522,1.2858286,0.9440195,1.5282825,-0.11435413,-0.001439813,0.44093513,0.78757244,-0.21875809,0.036677685,-0.005757386,0.77927107,-0.056285612,0.57172275,3.4987655,-1.0676235,0.76558393,1.1276032,-1.0114415,-0.26460662
-0.19830082,0.80318516,0.85231286,1.4914882,-0.06814386,0.24980387,0.5589441,0.8573788,-0.35780028,0.058708854,0.2843001,0.61743206,-0.23238172,0.25556833,3.106403,-1.1206366,1.132085,1.3599995,-0.5562012,0.18358122
-0.55945235,1.239647,0.6840045,1.6399274,-0.37438557,0.14771967,0.39020154,0.8865748,-0.15607592,0.113651924,1.1078112,0.69688815,0.0066967974,0.2459712,3.3416395,-1.4855732,1.1149063,0.8431801,-0.8569972,0.4331126
-0.045521803,-0.02059761,-0.32196355,2.3870106,0.31086266,-0.13619654,1.384066,-0.5219278,-0.07371554,0.67366683,2.150858,0.110901,0.4826587,0.09972038,2.240674,-0.8760419,-0.026743622,0.4182589,-0.82569724,-0.31125033
-0.17342292,-0.08523618,0.07816726,0.51075125,-0.37179866,0.02692513,-0.04824076,0.8184842,-1.5598437,1.4314082,0.5143004,0.542343,0.3632807,0.33303368,0.17247285,0.63879675,0.3301338,-0.31760672,-0.50331515,-0.038771663
-0.29010943,-0.10248999,0.20089777,0.38795006,-0.5599594,-0.24420586,-0.11630609,0.69876325,-1.5835704,1.4541308,0.7201875,0.5956726,0.5516572,0.57526857,0.10643784,0.75883716,0.2137354,-0.4032024,-0.51771814,0.14198086
-0.061799657,-0.009056659,-0.03226506,0.38437372,-0.018690784,-0.27291614,-0.0567719,0.94302255,-1.7373956,1.657006,0.9353987,0.75921243,0.39001963,-0.15905593,0.37582782,0.88562053,0.44610438,-0.66496164,-0.659343,-0.04130063
-0.3979173,-0.07827549,0.10346675,0.50898874,-0.55350703,-0.014583291,-0.09137764,0.68857306,-1.4402944,1.4163079,0.68723756,0.43716106,0.22072954,0.5450507,0.12281387,0.6627792,0.26890323,-0.30325615,-0.6246605,-0.12952888
