p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25
0.8155961,1.3903805,0.4141714,-0.103156894,0.40654582,0.08193159,-1.6139154,0.2542394,-1.633286,1.3324234,0.5101993,0.79464346,-0.26849627,1.0460745,-0.7890212,1.1405921,-1.6270039,-0.46552786,-0.81674725,-0.7489217,-1.409282,-0.8357242,-1.4475273,0.29470977,0.8401374,-1.1410471
0.015240108,1.0067136,-0.08134391,-0.56853336,-0.49768707,-0.51468056,-0.039596893,0.6195041,0.5726806,-0.3015073,0.24380176,-0.02203338,-0.11415354,-0.2505447,0.77957594,0.1401224,0.6443829,-0.40068904,0.70882636,-0.67372525,-0.196263,-0.09457229,0.064620025,0.52217615,0.6436998,0.12382936
-0.1732356,0.3315204,-0.051969346,0.4913514,-0.29387242,-0.4259823,-0.46242452,0.279311,-0.15470505,0.46420458,0.2353884,-0.26907197,-0.2278603,0.1069154,-0.034618076,-0.26608002,-0.13435563,0.30520794,0.41345644,-0.25828692,-0.3976615,-0.30093354,0.42043668,0.61197734,0.18110833,0.23675731
-0.11987294,0.20344386,-0.042342298,0.36650947,-0.1605338,-0.38502985,-0.24545035,0.18865187,-0.048386216,0.4855357,0.20462129,-0.21316965,-0.21686684,0.070292115,-0.039169807,-0.11275105,-0.075985245,0.17728496,0.39396694,-0.24607284,-0.33802193,-0.18029042,0.29976305,0.4648973,0.25112563,0.15857956
-1.0882578,-0.15008332,-0.7585928,0.2605954,1.2385001,-0.43349516,-0.5055294,0.5905074,0.4253157,0.77430606,2.6318822,0.7454052,-0.9805063,0.18872721,0.9234568,0.22031419,0.32905385,-0.35179242,0.016948901,0.036066327,-0.44743896,0.5987795,0.30073875,1.140777,0.3455506,1.0192815
-0.0037420008,-0.24242139,0.43655244,0.047994666,1.0293088,-0.34614417,0.9944889,0.36637998,0.09451362,-0.39050707,1.4699316,-0.45782027,-1.0572611,-0.22169255,-0.25527358,-0.1569903,-0.25070688,-0.55851,0.949975,-0.85827047,-0.7571048,-0.988854,0.45627108,0.14094846,0.32693127,-0.13576041
-0.15759256,0.15208656,-0.14231662,0.014270071,0.36059344,-0.25129533,-0.22013251,0.4796092,0.023605444,0.93566555,0.96762025,0.06790556,-0.3112757,-0.15381938,-0.0072754226,0.25524914,-0.27667347,-0.6720663,0.87333304,-0.55683726,-0.46337536,-0.0992988,0.4923845,0.08107274,0.52471215,0.2707159
-0.40035063,0.69467825,0.36933467,0.89152616,0.043114644,-0.2762901,-0.7814175,0.1327591,-0.7089473,1.090888,0.7395778,-0.20393743,-0.049076516,-0.008271969,-0.12678151,1.5046842,0.5230595,-0.53436524,0.59522974,-0.2173376,-1.1177619,0.39795655,0.5458236,0.21598618,0.48428887,-0.3345905
-0.20557642,0.45706362,0.5710155,0.7864944,0.20737644,0.36754048,-0.17098545,-0.2302247,-0.6195703,0.44132045,0.8315645,-0.10030576,-0.2114579,-0.6688353,0.02461991,1.8213607,0.48397526,-0.3727579,0.7835698,-0.5959742,-1.2314262,0.66512614,0.18510544,0.6167856,0.583245,-0.36444473
-1.1057754,-0.64959514,0.41540337,0.026648661,1.2644801,-1.5481076,-0.63453025,1.2260545,-0.25475854,1.5697669,-0.33824775,0.20318869,-1.4595441,-0.48144868,0.036443032,0.523337,-0.79420316,0.100214384,0.48206544,-1.2080511,-0.43366498,-0.82283735,-0.7746642,0.6102789,0.42345816,0.60339916
