p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13
-0.16449592,-1.2961545,0.18759267,0.8129965,-0.14575529,-0.8371266,0.9329232,0.47926387,1.1135297,-1.4240586,1.6426057,0.34362945,0.013379743,0.08816671
0.026935294,-0.7714457,0.5008119,1.4493598,-0.4113182,-1.016223,1.3303219,-0.46241736,1.3060057,-1.9200735,0.47941235,1.184812,-0.24373548,0.6571627
0.9490466,0.5848965,-1.0401205,1.3572266,0.092298985,-0.8602761,0.7479651,0.4513948,0.4982191,-1.3280405,0.18092385,0.96386313,-1.1106725,-1.9289006
0.9125091,0.4526496,-1.0357599,1.431395,-0.14885625,-0.7119033,0.93582994,0.73057044,0.6229462,-1.4439894,0.34104,1.3572065,-1.0127765,-1.7463363
0.27828324,0.13630004,-0.97538006,1.7316377,0.7343954,-0.48895743,0.7670165,0.07145178,0.22734596,-0.12323912,0.46734217,0.2354273,-0.6416993,-0.75111544
0.41107026,0.10085836,-0.759353,1.6095334,0.55515975,-0.49049488,0.7562153,0.43219027,0.11486755,-0.2407316,0.5249777,0.46567878,-0.7335716,-0.46209157
0.19130057,0.54536074,-0.87920284,0.9621418,-0.3272313,0.097146325,1.8404797,2.0274634,1.2618353,-1.9958506,0.910044,0.5526848,-1.3195692,-0.8307845
0.08279105,0.25562546,-0.717328,1.1658485,-0.4039531,0.17847449,1.8379155,2.3483284,1.2566597,-2.0785403,1.1589179,0.6929745,-1.2962528,-0.6834329
0.18855488,0.3360302,-0.7020408,1.4279982,0.61049277,-0.16685544,0.54177463,0.028109208,0.278959,-0.3804824,0.4075137,0.20125638,-0.36714253,-0.24477793
0.19567673,0.18503074,-0.72609675,1.6350051,0.4169704,-0.08588299,0.72812647,0.21388863,0.34513983,-0.21357515,0.60737306,0.2732818,-0.36711687,-0.06942416
2.1244895,-2.2795978,-1.3910459,0.84294647,-0.21684742,0.74065757,1.7924247,0.19643192,-0.782906,-2.0237951,1.5310284,-0.48313278,-2.1928668,1.0517104
1.9536538,-2.4327407,-1.5836824,1.1483878,-0.175915,0.562166,1.7341684,-0.49651995,-1.2827839,-1.6153686,0.9072678,0.0036535857,-2.0938094,1.2791549
1.8205765,-2.674381,-1.0224551,1.052252,-0.44926512,0.29525524,1.5942919,-0.36452237,-1.2585922,-1.853875,0.89725435,-0.241141,-2.1396172,0.34019202
2.023872,-2.532833,-1.4258285,0.896172,-0.2946333,0.56515324,1.8270342,0.21610978,-0.59514207,-2.0068066,1.5051419,-0.49892342,-2.1230698,0.94093853
2.4610023,-2.3636968,-0.6085804,1.4274333,0.6551063,0.47198194,1.3411846,0.37403184,1.4549445,-0.88143075,1.3271122,1.5514892,-1.0533082,0.071654476
0.36583504,0.7008433,-0.4246426,0.780737,0.6365424,-0.034237787,-0.47145686,1.4347061,0.362316,-1.277138,1.3306124,1.0882423,0.42232063,0.3346126
0.16814572,0.8833461,-0.30138284,0.6606535,0.6889277,0.24539848,-0.34938565,1.581797,0.21312062,-1.2051961,1.6429265,1.2625809,0.2866808,0.49811274
0.44945496,0.43688557,-0.05736743,0.80241734,0.8195126,-0.31169286,-0.67598134,1.3656275,0.0028689671,-1.6988305,1.6677707,1.2020081,0.73522186,0.110168345
0.18513508,1.1094109,-0.2644874,0.8247052,0.6590715,0.22839895,-0.34790638,1.5406748,0.27319333,-1.1065077,1.4647609,1.1845363,0.28553247,0.48129818
0.63217217,-0.10836483,-0.7062694,1.7118422,0.08913826,-0.022686856,-0.17620559,2.773298,-0.05890084,-1.3417729,0.8328592,1.477516,0.9679642,0.5926465
0.5936263,-0.1480528,-0.45847207,0.28683457,0.36419162,-0.4778746,0.18561764,0.031710427,0.17111667,-1.1225454,0.7192649,0.06966482,-0.035461616,1.0899502
1.07122,-0.15089554,-1.2375013,0.8032588,-0.47652864,-0.45730868,0.14402421,-0.080488324,0.5905464,-2.1190214,1.1856518,1.2001361,-0.86714834,-0.9682734
-0.15938492,-1.2774826,0.26714772,0.8785785,-0.08212594,-0.88384527,0.94935244,0.61192095,0.9496114,-1.287294,1.6474485,0.409145,-0.20261322,0.2100648
0.8627035,-1.2544963,-0.2698129,0.67610323,0.14231823,-0.3360045,0.6693249,-0.11768837,1.173147,-1.453817,1.5556105,1.0503153,-0.8281438,-0.15900274
-0.19350472,-0.9387182,-0.27047202,1.6141633,0.7192889,-0.08470861,1.5141234,1.3526723,0.7860293,-0.5207769,-0.17122303,-0.33921856,0.6397564,-0.43065336
0.9865256,1.0530728,1.2224934,1.2192645,0.9137237,-0.54417235,2.0320532,-1.1932678,0.94034314,-0.78930295,-0.24793495,0.7254066,0.12720652,1.8666466
0.2710284,1.2051953,-0.029888872,1.8456153,-0.112416916,-0.9396918,0.5070836,-0.10475786,-0.82107794,-1.0630728,-0.02198328,1.1328639,0.47953418,1.4862946
0.98842627,1.5861851,0.9308002,2.1591482,0.47369194,-0.55581504,0.50331396,-0.47837627,-0.345296,-1.0601982,0.67202103,-1.2955154,2.9419615,-0.8553149
0.90534586,0.61423993,-0.0158822,2.755765,-0.24430527,-0.4963807,0.5229515,1.5004003,-0.22469042,-0.43803796,0.07123193,-0.15534563,2.9201496,0.76170385
0.81515115,0.11282597,-1.3218642,1.2148371,1.059237,-0.3061638,-0.7638348,1.4260099,-0.5684311,-0.8346405,2.676884,1.3711244,-0.15261318,-1.1117455
0.18086196,0.5328024,1.2170255,0.79687065,2.806597,-0.6517078,0.7928176,-0.22895914,-1.4606284,-0.43882075,0.5765198,0.5323454,-1.1364399,1.2464094
-1.0297933,0.9257115,-0.70766294,0.47315928,0.43101352,-0.58914846,0.8630711,0.46883494,-0.64329445,-1.4986943,0.5732956,-0.24284092,0.4228832,0.17197189
-1.1032052,0.59517115,-0.9600151,0.111074634,0.080756955,-0.96465707,1.4522403,-0.07627886,-0.093372606,-1.2420058,0.87178075,-0.52224505,0.82534003,-0.02727076
1.7896359,2.4181938,-1.0853711,0.7856703,1.2919898,-0.9897713,0.28263995,-0.66692424,0.41226336,-1.6529082,-0.56699055,1.0889686,0.7893973,0.55361235
1.1398541,2.4408886,0.26595074,1.3688985,1.2110265,-0.86853415,0.2911522,-0.53514725,-1.1581421,-0.9767671,-0.014132791,0.5591896,0.10014137,-0.43489185
-0.5455195,-0.11635017,-1.3599994,0.37320516,0.3400024,-1.32791,2.1463275,0.53222996,-0.80337656,-2.3798773,-0.9958022,-0.15803206,-1.4521332,1.2000583
-0.3776137,-0.115699805,-0.8699852,1.4155482,1.2738805,-0.79757816,-0.60382533,-0.63251907,0.9472363,-0.9227352,0.8177499,0.07846435,0.959341,0.07973165
