p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10
-1.5214343,1.9804935,0.8552144,2.1456063,0.017549016,1.7474353,0.23679848,1.2849352,0.6684148,-0.38119915,-0.009596055
-0.13504034,0.6134357,0.15397869,1.2197968,0.10787664,1.555227,0.08871882,-0.103345565,-0.23221743,-0.21734785,0.5842701
0.005531803,0.73249125,0.42107502,1.314642,0.016143817,1.7332684,-0.45556492,0.0863932,-0.23472685,-0.37566134,0.4892712
-1.6318853,0.71341676,1.121143,-0.49042022,-0.8855436,0.9182176,-0.79157597,2.027493,-3.641437,-1.694181,1.2833415
-0.8834502,-0.06498083,1.1235896,-0.43666932,-1.1164843,1.071915,-0.7554905,1.7278633,-4.1329684,-1.3029337,1.3857837
-1.0192308,0.13030641,1.0791181,-0.29451585,-0.6362714,0.8167195,-0.852953,2.480261,-3.632,-1.3637749,1.4175453
-1.5082,0.66697836,1.2526906,-0.33521277,-0.97961485,0.9682224,-0.660963,2.3114457,-3.626298,-1.7953669,1.301736
-0.37331644,0.6221279,0.90723413,0.3169753,-1.427222,0.6794402,1.0408494,1.8196334,-3.2080436,-2.1137538,-0.34395006
-1.1562667,0.045650896,-1.1308042,1.1798346,0.13279568,0.27522507,0.41702467,-0.101114035,-1.7049013,-1.8668718,-0.055325307
-1.1668242,-0.063379414,-1.3020989,1.4331225,-0.17570503,0.40589297,0.18094002,-0.29331863,-1.5241253,-1.823717,-0.087576605
-1.3471553,0.24984165,-1.2868993,1.3667176,0.20252296,0.235661,0.6278997,0.26420468,-1.936691,-1.732245,0.25592595
-1.2738636,-0.124881856,-1.2442626,1.1964979,-0.0944446,0.572378,0.4813664,-0.3098218,-1.560092,-1.7089206,0.040989846
-1.134171,-0.98756397,-1.7740334,0.6626113,0.14918756,-0.0056000967,0.5665262,0.37843782,-2.8837047,-1.5850444,2.1268175
-0.17817846,0.51099056,0.11105651,1.0636793,0.18160973,0.7440281,-0.49320933,-0.49322563,-0.67358136,-0.80388963,0.50508195
-1.4801477,1.906765,-1.1819019,1.4418262,-0.35978243,1.6587992,-0.5701763,0.90253747,-0.4566029,-1.0756341,-0.2298163
-0.2920998,0.7574447,0.30790004,1.0689087,-0.10270875,1.1412343,1.3433031,2.263695,-1.2853287,0.28311405,-0.040380727
-0.6168837,1.0794506,0.12209306,0.29537475,-0.08652853,1.2961916,0.77007437,2.0967772,-1.6524166,-0.9636533,-0.32958242
-0.18471994,0.7464215,0.45237747,0.37379315,0.3461695,-0.51607585,1.2715751,-0.017475437,-1.7992119,1.8936036,0.41417846
0.93353975,0.7281216,1.2909759,2.227593,-0.6087283,0.453814,1.7775855,0.3956792,0.013416277,-0.31007364,1.4167234
1.3724908,1.2070531,0.5963312,1.2253712,1.6537379,0.39989626,0.65088636,0.5012696,-0.9617165,-1.7292762,0.41988403
0.49928343,3.0671186,2.257589,1.9559085,2.2181697,-1.1052524,-0.15040086,-0.08186528,0.5084737,-0.38267604,0.9245283
0.9181983,0.5508898,1.405361,0.9908841,1.9042475,-0.9443827,0.3775905,0.49649775,-0.89862865,0.29060853,3.4640195
-1.2368013,0.96762013,-0.8695638,1.517786,-1.0905641,0.36256415,-0.73569775,0.44380534,-2.2094615,-2.194262,-0.48212144
-1.7918578,-0.63068986,0.07014485,2.6816556,1.3431796,1.4594126,0.38110635,-1.6173116,-0.14055124,-0.54416573,0.6755135
-1.3735721,1.7582736,0.22418655,0.47022894,1.0711063,0.39083192,-0.303291,-0.4153687,0.052665032,0.44519508,0.5624436
-1.4559994,1.8033706,0.6563212,0.33911654,0.98656905,0.63576293,-0.08854667,0.06452384,-0.01683323,0.54293215,0.5801441
0.9662841,2.3683758,0.65882295,2.1347828,1.0197145,0.77990043,-0.4531371,-1.6720735,-0.44508618,-1.8485461,0.22910427
-0.8079611,1.6288272,0.29122627,2.2464402,1.2747445,-0.48345402,0.75981164,-1.9923495,0.062061768,-0.55304587,0.27377892
-0.033912964,-0.6835829,-0.11095198,1.3888098,0.48282966,1.4386873,-1.5560111,0.0059369258,-2.9491544,0.58255744,0.12026571
-1.2151622,-0.15481246,-0.6236399,-0.049185198,1.2780012,0.5978256,0.9618902,-0.30025575,-1.1179919,0.3859671,1.2784665
-0.37575874,0.69209844,0.4673169,1.5215373,-0.13204305,0.2359113,0.845675,-1.4439749,-0.13417087,-1.2986426,1.1584401
-1.2803257,1.5558991,0.17592987,1.1130393,1.7326777,0.33265024,-0.56054837,-0.3684163,-0.54987293,1.6025156,0.38097167
0.23537627,-0.24775085,-0.35757995,2.5667212,-1.2529951,-0.86166584,0.85589033,-0.08901289,-3.22121,1.334965,-1.4843056
-0.2696168,0.50479496,-0.45766988,2.61535,1.3543681,-0.8718276,-1.1473408,-0.7679972,-1.1947887,1.5017644,0.30165264
-0.9000253,0.019166937,-0.32431376,0.8080759,-0.32596612,1.8688418,-0.3134176,0.7560358,-0.004157144,-1.6064409,0.89829314
-0.042871285,0.30906427,2.5527675,2.2365236,0.66664237,-1.9090323,0.3849169,-0.43330735,-0.8817994,-0.32758033,0.73149455
-0.052643154,-0.020372812,1.8790457,2.592611,1.0850786,-1.4387677,0.08866167,-0.96123594,-0.8184179,0.31971863,0.8161462
-0.28436664,-0.29710275,2.0123744,2.5296957,1.1753966,-1.5521065,0.11575966,-1.055618,-0.8880603,0.45331958,0.95068616
-1.2003549,0.30515,0.7369653,2.1070287,-0.25122884,1.071653,-1.7328163,0.13288504,-0.39006317,0.9109286,1.4144154
1.2686555,1.1320738,-0.10742341,4.008803,1.0014771,-0.20128118,0.984326,-0.40688896,-0.3888256,1.0342126,-0.5621987
-1.8134128,-0.05435915,0.4731253,1.5144699,-0.374586,-1.0112584,2.4075975,-1.0641978,-2.0644886,1.5166595,1.0382699
-2.261203,-1.060459,0.07750526,1.944181,-0.18144348,-0.9383623,0.75808316,-0.10280546,-2.9195228,1.4653647,0.41711664
-0.36411366,0.9844129,-0.011679775,1.6562709,0.92145085,0.6237303,-1.1688474,-0.86728436,-0.92103064,0.19393177,-0.07984152
-0.4302618,1.0676757,0.09162191,1.6200743,0.8380959,0.6744787,-1.07715,-0.8928148,-0.872183,0.10740511,-0.23535569
-0.4606431,2.1796095,0.3127147,-0.05384129,1.6121006,0.103532955,1.859509,-1.320397,-1.7707546,1.3746202,0.8343062
0.5378255,0.19380581,-0.18356489,0.7306164,-0.12534863,0.33724985,0.06562722,0.11836007,-0.7842248,0.33400658,0.16882724
0.59422207,1.9122982,-1.5453519,1.2525833,1.0678036,1.1896862,0.96558917,0.53685164,-0.45161197,1.4686393,1.5394382
-0.5877446,2.3907406,-3.0410535,1.6949575,0.8326302,1.2119114,1.1231655,0.10487196,-0.8019978,2.1194181,2.010199
-1.501007,2.1982589,-2.7026143,2.356668,0.9351491,0.692388,-0.73925656,-0.25011355,-0.94351554,1.6326566,0.9707243
-0.676805,1.5848864,-1.4373899,1.5872256,1.4400768,1.1465236,-0.32882947,-0.019322341,-0.86425984,0.7842962,1.0669715
0.2964089,1.4268284,1.2121427,1.4734251,0.706439,1.4479724,-1.2693758,0.029788844,-1.2200524,0.48689952,-1.0550468
-2.3303823,0.3544605,-0.60955215,0.3082368,1.2249551,0.35481545,1.8053241,0.24078995,-0.74823374,-0.48431686,0.4271301
-1.9015887,0.1329028,-0.48204395,0.5083844,0.990063,0.09958411,1.5491672,-0.057744086,-0.8386668,-0.73927283,-0.12759893
-1.9674255,0.18327862,-0.40264574,0.75186837,1.0577995,0.3310415,1.4482921,-0.0335936,-0.51665133,-0.45928562,0.015423095
-1.7655327,0.09314656,-0.4201467,0.61211425,1.1726424,0.32361603,1.437652,-0.2187017,-0.652654,-0.44973955,0.049410485
-1.7197293,0.27624872,-0.71989536,0.5255918,0.93168145,0.5168816,0.90027684,0.019776797,-0.796762,-0.49751702,0.13089985
-1.4474578,0.18204814,-1.2291671,0.5539969,0.9011441,0.2630399,0.025342878,-0.6698081,-0.6708738,-0.55125743,0.02381178
-1.4537157,0.2680411,-1.2178885,0.62023145,0.83678055,0.062484298,0.5133314,-0.82325536,-0.7140971,-0.62655455,-0.07704738
-0.8476961,0.39486173,-0.47663847,0.59011984,1.0858909,0.097101286,0.52984387,-0.115261726,-0.49900573,-0.28363532,-0.057195157
-0.72174287,0.092655174,-0.5840925,0.8086645,1.0247288,0.19922619,0.23830126,-0.46404296,-0.97215885,-0.4944063,-0.38240525
-0.6732152,0.20388982,-0.68494743,0.7424038,1.0317316,0.29647306,0.06567403,-0.63977736,-0.7418379,-0.36258852,-0.16985168
-0.6242027,0.22947845,-0.65980005,0.7285489,1.1895337,0.4285623,0.14186096,-0.58730805,-0.79125136,-0.26906115,-0.1192086
-0.5364957,0.89451855,-1.3475264,1.0282687,-1.0985737,0.87103164,0.8311525,-1.0830017,-1.9955168,-1.1785904,0.5812528
-0.6426776,-0.23767564,-0.5589056,1.2801524,0.46944204,1.6684885,-0.6439812,-0.38516417,-1.2949039,-1.6442227,2.1237137
0.4056446,0.13135737,1.5381894,1.1715668,0.12692222,0.5297757,0.6135124,-0.032499198,-0.651659,-0.3777839,0.117534414
1.3185438,1.4762979,0.54418415,1.0425828,0.03510906,0.21348807,-0.18112002,-0.91464865,-1.279637,-0.9860995,0.46630752
-0.44628745,0.10205322,-0.16476262,0.98460746,0.43958464,1.037403,-0.41619208,-0.29517046,-1.0246284,-1.4467694,1.6184951
0.59493196,-0.7494759,0.45692387,2.2952065,1.1228331,1.6658384,-0.88503826,0.11172233,-1.4207932,0.2197244,-0.73685074
-2.1537738,-0.61971784,0.014781723,0.6693768,0.46445647,-0.9320876,0.86700606,-1.6228317,-2.2614005,0.027969003,0.7523385
-0.024365323,2.4653063,-0.24842614,1.1497477,0.4140551,-0.30653533,-1.2050819,-0.9360913,-0.56655675,-1.9374255,0.78742325
0.7186928,0.7830683,-0.6847704,3.999568,0.84919834,-0.40799785,0.4895463,-0.46063697,-0.57730824,-0.018284956,-0.9911443
0.60441357,1.3525827,-1.2132345,0.8305738,0.6968617,0.46828124,-1.4785087,-0.74030787,-2.8312151,-0.16075715,0.5488326
-0.01367602,0.7503079,-0.30781412,0.6330471,0.2936367,0.7940953,-1.003586,-0.6005723,-2.8487966,-0.26189804,0.8780855
-0.83020586,0.5503774,0.15065858,1.0266213,0.9254842,0.72918606,2.2452183,2.0403507,-0.21558623,-1.8642058,0.7690488
-0.35988468,0.47595066,0.108646564,0.60915244,1.0356244,0.723085,0.4418556,0.51657534,-0.70715636,-1.1657399,2.169596
0.43138573,0.08767497,0.5682843,2.0516262,1.3969959,1.804069,0.47174978,2.0439003,-0.54680836,-0.92700636,0.97781837
0.30945313,0.34551713,0.549194,1.4020172,1.4373065,1.0156691,0.46109062,0.95076257,-0.61276793,-1.4298953,1.0840796
0.39225847,-0.21004626,0.9965406,2.0672846,1.3659191,1.7321981,0.5872627,1.7558274,-0.61697435,-0.6388704,1.6123366
0.37209156,1.2697922,-0.17492904,1.8358889,1.6760266,2.5223966,0.348128,2.4216619,-0.52827317,-1.3047003,0.79750013
0.51840204,0.22523251,0.7944741,2.1496565,1.3284872,1.5166173,0.744391,1.3348229,-0.85614,-1.0085735,1.1274477
-1.1267751,1.342515,-0.5300395,1.5080334,1.4141986,0.8310364,0.8355801,2.464717,0.76504433,-0.6043558,0.7579158
0.11433173,0.20030878,-0.5371901,0.6242412,0.43230146,-0.49270797,0.33530155,-0.22083896,-2.0010028,0.06828699,1.5753393
0.3326037,0.5435325,1.2953032,0.6998645,0.5592206,0.007700405,0.08694884,0.42942446,-1.4981434,-2.0290961,0.23852535
1.2031868,1.6647877,1.5045629,0.5505987,-0.16602395,0.015458032,0.76696986,0.57160574,-1.8005286,-1.5231715,0.12775426
0.22797509,-0.77434313,0.6947077,1.3030006,1.3023612,0.6346171,1.6420373,0.43235976,-2.060564,-2.765306,-0.1940867
-0.14907438,0.40526533,0.10350112,1.3626323,1.7824363,1.4587814,-0.1878534,-0.98230606,-0.5219117,-0.3396024,0.125944
-0.24943805,0.87223303,-0.36768368,0.7450616,-0.910114,0.1267385,0.53874636,-0.5352155,-1.1824145,-0.9269126,0.14420187
0.26846734,1.8339754,0.1415663,0.47897682,1.4578831,0.25451094,1.2693379,-2.2034934,-2.2745845,1.1096953,0.78378177
1.140863,1.5767695,0.53698814,0.77394533,0.37825722,1.7365156,1.700802,2.1030207,-0.13450502,-1.0089184,1.0741667
1.3383902,1.2764345,0.6358298,1.0982362,1.6833516,0.47139657,0.7764459,0.64383143,-1.037397,-1.7128483,0.38843447
-0.26653153,0.99054426,0.018341651,1.2965572,0.22062267,0.47445616,0.4690139,-0.16220045,-0.480191,-0.0032420752,1.1278118
-0.7433123,0.6656232,0.030774616,1.7504829,-0.7251446,1.5092382,0.04940006,0.2566778,-0.45630318,-2.2987645,0.17356378
0.663359,0.626497,-1.6263206,0.9635509,1.2210736,0.1649919,1.3680913,2.3471308,-1.9656461,-0.22819783,1.3495742
0.5993795,0.3701028,-0.03654734,0.9454754,0.41555792,-0.36460283,2.8062146,2.5562608,-2.2566962,0.23961145,1.7376915
0.91162616,0.3037955,-1.2242794,1.3054388,1.5161728,0.026357574,1.2003484,1.3403182,-1.972083,0.029692844,1.2345123
0.7729065,0.23136668,0.69070596,1.1718459,0.90142006,-0.7053362,2.8888428,1.72203,-2.208407,0.5221819,1.6381333
-0.24887653,0.6454089,-2.0917053,1.3785186,1.6458249,-0.84449995,0.9308666,-0.15158197,-1.6237854,0.48640206,-0.42973045
-0.27697536,0.879591,-2.0205824,0.9536357,1.5855713,-0.92582124,0.8463626,-0.15608904,-1.499181,0.42671975,-0.40942827
-0.52628326,0.57060313,-1.6951684,1.0087624,1.5776051,-0.76869386,0.8522624,-0.1626264,-1.2070739,0.41704732,-0.37364954
-2.5506916,1.2838948,1.4734623,1.7440934,1.2350144,-1.8928732,-0.19506389,-1.3548394,-1.1541786,-0.59157306,0.40907788
-0.43117863,1.0684899,0.053326286,1.5781485,0.8997477,0.41051835,-1.1194885,-0.82305306,-0.95750266,0.14280502,-0.3160449
-0.29891405,-0.013526479,0.36486197,2.4550893,2.2848523,-1.4181664,-0.9843388,-1.129828,-1.2763013,0.24390388,1.0435013
-0.2567117,-0.114610836,0.30821136,2.496245,2.1331398,-1.4077069,-1.003808,-1.093219,-1.311924,0.43282962,1.1988347
-0.8897027,2.1597383,-1.7464776,0.8319583,1.9491313,0.478025,-0.014268708,-3.314921,-2.5309167,0.69657785,-0.8526723
-0.17473426,-0.6911128,0.25780112,2.4269533,0.46367556,0.71577495,-0.6089789,-1.2220271,-1.1645248,-1.8834387,2.6608963
-0.6832919,1.4714338,-0.7639683,1.6396822,-0.4134202,0.12664557,-0.37303993,-2.2928324,-1.5032958,-0.69516706,-0.0669044
-1.4219402,0.632593,-1.0495251,2.122256,0.77178943,2.1211574,-0.51457703,-1.9485426,-0.8268101,1.1230694,-0.06878667
-1.2987024,1.339066,0.27342993,1.1535333,1.6524041,0.32628804,-0.35294428,-0.13906151,-0.48672497,1.7425389,0.29451293
0.39829594,-0.7458931,0.3866275,2.7767181,0.9332709,-1.1320988,1.3227965,0.59612626,-0.9291393,-1.6299999,0.7968678
0.34570056,0.26776958,1.3143688,1.7145357,2.2036953,-0.9871833,0.3858049,-1.2862434,-2.1673408,0.3189594,1.4416392
0.35673487,0.29334298,0.9151908,1.460285,2.3681154,-0.11789733,1.1206863,-1.9539691,-2.0346684,0.2601913,1.304509
-0.16310816,-0.08164673,1.5443662,2.2912724,0.37105218,-0.16700199,0.39947933,-2.324422,-1.7081234,0.2793785,1.3086596
-0.9491819,0.26377964,0.014748665,0.52904844,1.1136531,0.3224154,-0.49753106,0.45590597,-1.2798587,0.6761033,1.4758155
-0.9828606,0.033898454,-0.09230898,-0.24567597,1.7562457,0.115417026,-0.036889162,0.47141957,-1.3356198,1.5188124,1.5648897
-2.9549773,2.5855467,0.22427377,1.5312815,-2.1332839,1.4265325,2.2713625,0.5638308,0.21064295,0.7689139,0.021890478
-2.1463335,3.1072726,0.3115978,0.7848053,-2.051113,1.453244,1.5100806,1.6709548,-0.7203989,1.8522714,-0.35651967
-2.5645196,3.4249403,-0.04092087,0.89334196,-1.6311951,0.48620358,0.9654069,1.2107433,-1.3259593,1.4685036,-1.2065195
-2.4389794,0.5989306,-0.44238806,2.9385676,-1.6168865,1.4044731,2.0008173,0.5924192,-0.7048936,0.97312886,-0.20418406
-1.722733,1.1207145,-0.16662337,2.0959826,-1.4508325,1.6093284,1.2224166,1.72927,-1.6446276,1.9023485,-0.6056343
-2.0329306,2.0774071,-0.7543907,1.6146191,-1.0393049,1.7358519,0.7355186,0.84680754,-2.375621,0.9452085,-1.3489387
1.0818467,1.662989,0.2291339,0.9908243,-0.23094726,2.5214832,1.6160265,1.2451711,-0.30174878,-0.38090962,1.5432765
1.8414662,2.8210876,-0.4809755,1.0519785,1.0072719,-1.4982623,0.7415354,-1.362985,-1.100183,0.60441554,-0.0861983
0.9436727,2.5633197,-0.13467439,0.96773195,1.3950976,-0.90713465,-0.11324828,-0.55675405,-1.0771769,-0.30475068,-0.6257836
0.8676431,2.774131,-0.06375785,0.9618774,1.3123304,-1.0333303,-0.026146723,-0.6610542,-1.2384355,-0.22792073,-0.4911192
-0.77146745,0.19886336,-1.0429617,0.57643265,-0.82541555,-0.2169827,2.2150524,-0.5255787,-2.5416417,-0.3999609,2.223982
-0.93032527,0.32406184,-0.12312488,1.5080429,-0.330916,0.8224022,1.9172051,1.287104,-0.5242746,-0.48336625,0.10551702
-0.61938745,0.45502776,-0.0725336,1.2875459,-0.20163488,1.0357735,0.74520516,-0.14642747,-0.78906596,0.06413363,1.4651537
-0.15538283,0.23651874,0.6612006,1.9620334,0.07967039,0.88517576,0.052742437,0.15392643,-0.55101955,-0.85362154,0.843379
-2.2096746,0.09420996,0.31427553,3.273614,-0.4723532,0.9194479,0.86309,0.9087971,0.034812722,-0.5196314,0.22859152
-0.50770855,0.15162006,0.9507486,2.9512343,-0.47743252,1.3326464,-0.18473595,0.29353586,-0.45361897,-0.90692776,1.0125756
-1.0533558,0.95325613,0.25067082,1.7907227,-0.3146788,2.620315,1.4594028,1.584366,0.49298403,0.0482205,0.46493408
0.40128657,1.5386986,-0.31519654,1.490639,0.3419948,1.1571366,0.13700007,-1.0154613,-0.60073155,-0.4556174,-0.86313546
-0.10061252,1.7451541,-0.46428388,1.1834705,0.48500618,1.318544,-0.47684008,0.23403282,-1.7072421,1.9837517,-0.3267888
-0.22711654,1.747231,-0.45208192,1.0129244,0.19850358,1.4796904,-0.47707286,0.31420285,-1.7606869,2.0795345,-0.12915252
0.40851524,1.5254847,0.091959186,0.9923267,0.3155926,1.2334495,-0.2612923,0.5383191,-1.4078543,1.340674,0.35171643
0.51746976,1.5013299,0.21162914,0.9643742,0.33286247,1.140085,-0.5017391,0.5867889,-1.4853259,1.437315,0.36176452
-0.16097955,0.8716146,-0.58087575,0.2792079,0.6902635,-0.014938726,0.6316482,0.3336194,-1.255948,-0.53455436,0.6282187
-0.057054896,-0.12562966,-0.022133859,1.7403761,0.89725906,-1.0730345,0.6094851,-0.6213379,-0.7650345,-0.9368053,0.96981394
0.49940798,-0.1977824,-0.24746874,0.9385379,1.2551407,-0.2695176,1.3172574,-1.161285,-1.9202358,-0.32073316,2.5458953
0.36961037,-0.70606947,0.06735407,2.590918,1.3023357,2.0626757,-0.63438714,0.43971917,-1.0757562,0.17740317,-0.3602942
-1.0034721,0.3184185,0.000108022556,1.6278478,-0.316275,0.8134915,1.8448592,1.2515942,-0.42655694,-0.5479984,0.183319
-0.4526323,0.39586124,0.70517355,2.176511,-0.37975287,1.9930683,-0.05080795,1.6657395,-0.6213019,-1.0033208,0.7917434
-1.3254882,1.0121981,-0.5728719,1.9472504,0.067890204,0.89803237,0.9684992,1.5773684,0.4135286,0.17095344,0.22079958
-1.1373298,0.7819727,2.0427065,2.2811553,-1.5171779,0.17890222,1.293225,-0.4604972,-0.91735536,0.26023814,-0.57590634
-1.0427239,0.78095794,2.0947561,2.3597593,-1.7283258,0.21237512,1.1209027,-0.27111372,-1.3623964,0.24658716,-0.67710733
0.2522986,0.28069165,0.68281317,2.3801544,-0.6702323,0.74961334,-0.40490162,0.09107055,-1.3181447,-0.50850874,-0.8693228
0.13346732,-0.1143083,0.7979971,2.4707673,-0.51617205,1.5831167,0.27630228,1.0863508,-1.2264024,-0.2936703,-0.9739583
-0.69499725,0.124152035,1.0628006,2.4507148,-0.340392,0.8407753,0.18443757,-0.13135909,-1.5693504,-0.38087785,-1.0315034
-0.68819064,-0.58689207,1.3620251,2.5603366,0.18175839,1.529096,1.244062,0.99131143,-1.1908379,-0.64340997,-1.051533
-0.29258695,-0.50153875,0.8290596,2.837106,-1.2050247,0.10654203,0.3465613,0.043101,-2.0066135,-0.46062496,-0.5293775
-0.6972787,-0.3961997,0.64989096,1.7617556,-0.14306812,0.9341931,1.325529,0.652118,-1.1693263,-0.27485445,-0.4031818
-0.56644154,1.3256015,2.8684723,3.6696742,0.6025699,0.8988478,-0.31168106,-0.11290351,1.1107497,0.03801746,-0.13654438
-0.21960935,1.1408572,1.6863123,2.8933022,0.8213711,2.1066628,0.98217446,1.2446176,1.3416215,-0.17417876,0.013031601
-0.6476678,1.4165658,0.6240594,1.9119263,-0.4750237,0.8156154,-0.66925853,0.4290783,-1.0804312,-0.5868927,-0.75686294
