p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28
0.15204504,-0.25754052,0.44208193,-1.0034151,1.2500471,-0.045267835,-0.49826384,0.5858065,-1.1687295,0.67996633,0.22745335,0.98005486,0.09443719,0.29541007,0.22179548,-0.61913985,0.9079234,-0.38190264,0.5058677,0.03706502,1.4431968,0.37929186,-0.1441351,0.86227083,0.6946286,1.2965717,-0.0451715,0.5952427,0.012812057
0.50156206,0.62464374,-0.3934134,0.17406507,0.23021777,-0.027225362,-0.22961499,0.5054893,-0.19981784,0.32619017,0.46989676,0.8095224,-0.093525864,0.89810365,0.56634057,0.225236,0.49556714,-0.3690643,1.0442591,0.48577017,-0.28691873,-0.4256837,-0.15996669,-0.0049762805,0.42911416,-0.19810462,-1.1102618,0.31721187,-0.18799436
0.5192107,0.6725829,-0.43581235,0.05062928,0.29374635,0.028436156,-0.23464045,0.5112216,-0.25355026,0.2852252,0.51590645,0.81550807,-0.14008167,0.8954477,0.51795024,0.23848999,0.6456866,-0.36491457,1.0417742,0.5028196,-0.28403845,-0.30015928,-0.16573127,-0.09435309,0.45227408,-0.044382174,-1.1707739,0.21299373,-0.082489476
-0.9532031,1.8663955,0.34159812,0.5776438,-0.009739857,0.48237818,-0.67711115,-0.70812726,-0.39497766,0.28254244,0.47423396,1.477161,0.96034217,2.0682294,0.3109704,0.7129078,-0.34641293,0.1479231,0.15548147,0.23888439,-0.018292202,0.8630648,1.2108825,1.3397235,1.1789854,-0.22971323,-2.355498,-0.6044809,0.358047
-0.5598664,0.26775298,-0.075962566,0.56324124,0.23990008,-1.2847556,-0.13609739,0.5678692,0.24508916,0.35537052,0.22254764,0.622654,-0.20041442,0.1947381,-0.56278706,-0.30059978,0.5234308,-0.37899026,-0.045434933,-0.012873731,-0.5681108,0.2013131,-0.7627754,0.38569084,-0.22045995,-0.17550991,-0.09702604,0.14978795,-0.09969694
-0.035696585,0.5088583,0.09085083,0.42015156,0.46718287,0.008805086,0.12827586,0.15604648,-0.16292252,0.42342773,0.41255355,0.18814754,0.026354417,-0.0508924,-0.31533146,-0.43941373,0.40326247,0.24825881,-0.20957744,0.15688987,-0.20520517,-0.336266,-0.42442882,-0.1416012,0.30819917,0.3014219,-0.6270935,0.029318908,0.32630777
-0.047406964,0.40423453,0.061283838,0.31292424,0.39539757,-0.019993206,0.07098546,0.15166491,-0.1474225,0.32567775,0.28549612,0.20184384,0.0066765607,-0.01845728,-0.13357127,-0.3459073,0.3656283,0.0678411,-0.17241207,0.100523405,-0.12661529,-0.26872957,-0.32078734,-0.08627303,0.3290544,0.24185432,-0.4777838,0.032857887,0.16074535
-0.71290535,0.22889571,0.580847,0.31228754,0.9008883,0.36542362,-0.13525988,1.0740398,-0.09644307,1.1439962,2.215837,0.07416119,1.1083463,-0.08377054,0.56508416,-0.15922545,0.55168897,0.041788865,1.662112,-0.036189076,-1.0409195,0.57002366,-0.62563485,0.911858,0.10065472,-0.5558324,-0.30857757,0.5053843,0.3370683
0.31102642,0.16007695,-0.7438203,0.3531682,0.20008706,-0.91441,0.44420272,0.96068,0.34286195,0.2620554,-0.54920745,0.8436306,0.0686621,-0.0039664065,1.1595813,-0.5204535,1.1276072,-0.7297142,0.45594403,-0.69751525,0.14124808,-0.18592706,-1.079118,0.50863713,-0.3027068,-0.30493677,-0.28034654,0.5182692,0.19968277
0.31976974,0.89792204,-0.26840782,0.24030825,0.3311604,-0.0721902,0.4689129,0.609535,-0.42230472,0.6660789,0.13950385,0.23369542,0.83365405,0.52920115,0.082624264,-0.48276764,0.4145974,-0.75398946,0.13662863,0.20231773,0.19533855,0.064052634,-0.2727396,0.5255064,0.35893768,-0.44384667,-0.58433026,0.42947152,0.06916862
0.77075446,0.4493589,0.41222367,0.28899193,0.43128875,-0.030869039,-0.52318597,0.29874977,-1.3787583,-0.017182805,0.54225385,-0.36757147,0.80657494,0.16472776,0.39901298,0.21387103,0.37263843,-0.85923946,0.20136936,0.36525926,-0.38805476,-0.333034,-0.31387967,-0.09564607,0.7513068,-0.3846381,-1.299921,0.77333087,-0.6135678
1.0797068,0.7305797,0.11695524,0.47954902,0.47675157,-0.36577332,-0.72798836,0.5794653,-1.2799339,-0.07153166,0.16647127,-0.19506235,0.35085467,0.44146377,0.28232118,0.8400892,0.25262478,-0.6222595,0.27217984,0.06850961,-0.32647672,-0.30609274,-0.27866513,0.09492735,1.1068373,-0.40235612,-1.5484686,0.38962018,-0.3328363
