algorithm,params,calinski,siluetas
k-means,2.0,ERROR,ERROR
k-means,3.0,ERROR,ERROR
k-means,4.0,ERROR,ERROR
k-means,5.0,ERROR,ERROR
k-means,6.0,ERROR,ERROR
k-means,7.0,ERROR,ERROR
k-means,8.0,ERROR,ERROR
k-means,9.0,ERROR,ERROR
k-means,10.0,ERROR,ERROR
k-means,11.0,ERROR,ERROR
k-means,12.0,ERROR,ERROR
k-means,13.0,ERROR,ERROR
k-means,14.0,ERROR,ERROR
k-means,15.0,ERROR,ERROR
k-means,16.0,ERROR,ERROR
k-means,17.0,ERROR,ERROR
k-means,18.0,ERROR,ERROR
k-means,19.0,ERROR,ERROR
k-means,20.0,ERROR,ERROR
k-means,21.0,ERROR,ERROR
k-means,22.0,ERROR,ERROR
k-means,23.0,ERROR,ERROR
k-means,24.0,ERROR,ERROR
k-means,25.0,ERROR,ERROR
k-means,26.0,ERROR,ERROR
k-means,27.0,ERROR,ERROR
k-means,28.0,ERROR,ERROR
k-means,29.0,ERROR,ERROR
Birch,2.0,ERROR,ERROR
Birch,3.0,ERROR,ERROR
Birch,4.0,ERROR,ERROR
Birch,5.0,ERROR,ERROR
Birch,6.0,ERROR,ERROR
Birch,7.0,ERROR,ERROR
Birch,8.0,ERROR,ERROR
Birch,9.0,ERROR,ERROR
Birch,10.0,ERROR,ERROR
Birch,11.0,ERROR,ERROR
Birch,12.0,ERROR,ERROR
Birch,13.0,ERROR,ERROR
Birch,14.0,ERROR,ERROR
Birch,15.0,ERROR,ERROR
Birch,16.0,ERROR,ERROR
Birch,17.0,ERROR,ERROR
Birch,18.0,ERROR,ERROR
Birch,19.0,ERROR,ERROR
Birch,20.0,ERROR,ERROR
Birch,21.0,ERROR,ERROR
Birch,22.0,ERROR,ERROR
Birch,23.0,ERROR,ERROR
Birch,24.0,ERROR,ERROR
Birch,25.0,ERROR,ERROR
Birch,26.0,ERROR,ERROR
Birch,27.0,ERROR,ERROR
Birch,28.0,ERROR,ERROR
Birch,29.0,ERROR,ERROR
DBScan,,ERROR,ERROR
Affinity,,ERROR,ERROR
