p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23
1.6119301,1.2833765,0.01371934,0.23539273,-1.4742961,-0.6158643,-0.09820457,0.5940115,-1.0967388,0.32455015,-0.46323678,1.2438184,0.5553856,0.10377544,-0.548364,-0.07600301,0.8342035,1.0168796,1.048509,-0.2648923,0.38275895,0.216935,2.238283,0.7929371
-0.17892203,-0.0026598594,0.3442039,-0.029787727,-0.28747243,-0.59969,-0.0012258908,0.6470306,-0.034715,-0.14524253,0.44252902,1.6420912,0.37214887,-0.52971905,-0.035374474,-1.5511335,0.1950689,1.1071593,0.16757132,0.18132414,0.787401,0.32333386,0.7544492,0.72485363
-0.06024217,-0.14411312,-0.3511181,-0.10138778,-0.4103529,0.17862308,0.115412734,0.8922807,0.6786141,0.18326014,0.56503344,0.4342572,0.52040493,0.010773428,-0.35421553,-0.09591924,-0.48107782,0.55344254,-0.40344852,-0.44611916,0.623544,-0.18030839,1.202091,0.31181934
-0.24427818,-0.55138445,0.03664375,-1.0064192,-0.42462394,0.066049136,0.42436236,0.27284092,-0.65145695,0.01891588,0.24982576,0.37301135,0.95161664,0.5195808,-0.7823493,0.43697655,0.5674382,0.53897053,0.01866932,-0.8393201,-0.18373086,-0.4289501,1.9480673,-0.13435327
0.18390357,-0.8721883,0.26535058,-0.8970929,-0.5583976,0.048894875,0.22940132,0.5640694,-0.29684263,-0.42649505,0.56420153,0.96431977,1.0100983,0.85569996,-0.12143341,0.43951467,0.75143826,-0.45200408,-0.1371315,-0.63419664,0.09183311,-0.71219707,1.7239441,-0.5687725
0.5004746,-0.70100296,-0.45476085,-0.38147128,1.2097964,-0.04399562,-0.56921875,0.6029125,0.120532185,-1.8543136,0.43306723,1.9327011,-0.57521003,0.37221578,0.008371326,0.08110165,0.73585635,0.5064418,0.1934591,-0.8438493,-1.0534201,-0.2689925,1.4265481,1.1240793
0.5843636,-1.7955216,0.2891566,-2.395956,-1.3374938,-1.2302434,0.8039875,0.29909402,-0.83740467,-1.0749872,0.16174696,1.3041236,0.3062675,0.6790678,-0.7616286,0.3006341,-0.7886015,0.6335222,-1.3387762,0.41159254,-0.79628146,-0.024971182,1.6921433,0.087927215
0.799376,-1.4391056,1.4121261,-1.7395937,-0.12054261,-2.5851707,0.83992887,-0.10791906,-1.7276933,-0.9103693,1.3526362,2.2501671,0.23818927,1.8595365,-1.5555111,1.32807,0.90239483,-0.07642441,-0.6780799,-0.98536336,1.5831673,0.7939891,2.001193,0.6255331
0.20818993,0.55960006,0.6558693,-1.7084934,-0.49915087,-0.42186278,-0.5085008,1.2308995,0.6735301,-0.8593546,0.7667179,0.58349013,0.4707475,0.37273958,-0.88427037,-0.34898964,0.025435416,0.91004235,-1.097084,-1.3644475,0.09545513,-0.58633465,0.80418634,0.4958771
0.2795146,0.52449065,0.96676564,-1.6152211,-0.5150933,-0.41252196,-0.32282627,1.2585746,0.50538456,-0.7047404,0.6343608,0.4412682,0.3190139,0.21136466,-1.0049638,-0.33708864,-0.08342599,0.8980363,-1.0427518,-1.4246169,0.099020414,-0.44086003,0.84547555,0.27561477
0.1643818,0.62601876,0.950386,-1.8241069,-0.42627272,-0.4649183,-0.35247377,1.207676,0.58582914,-0.83839554,0.63618875,0.5048427,0.3438813,0.3243922,-0.90761614,-0.37434024,-0.06781714,1.04179,-1.0533407,-1.4661816,-0.2279765,-0.49429357,0.86002606,0.28253445
0.19310069,0.6934956,0.85621876,-2.3723934,-0.34708703,-0.89337856,-0.3284422,1.6054212,1.3027523,-1.3947098,0.74558616,0.25828987,0.44273964,0.42432484,-1.3743674,-1.1684567,-1.1992387,0.9494552,-0.4358244,-1.8034165,0.053449985,-0.41180155,0.88881946,0.29067534
1.2512592,-0.48544413,0.58087367,-0.9354002,-0.38672462,0.39156026,-0.7370451,0.06736441,-0.3570743,-0.34201327,0.33813885,0.44950944,0.41341075,0.8819264,0.19200692,0.3912904,0.02585095,-0.09484945,0.34080207,-0.8120116,1.1369007,0.65435374,1.1237873,-0.3748356
1.4296569,-0.6645571,0.8372543,-0.9974181,-0.5208963,0.3426447,-0.97644264,-0.13452946,-0.31213373,-0.42807084,0.20897411,0.6848179,0.41018596,0.73436767,0.19247854,0.4212621,0.14361055,-0.24468857,0.26639292,-0.99613744,1.2997814,0.6801636,1.3689791,-0.4720453
-0.47998595,-0.31033075,-0.3683497,-0.66294116,-2.5543041,0.12031284,-0.5827908,-0.52573055,-0.1460628,1.1516702,0.32303357,0.42709646,-0.5436107,-1.9994186,0.043359518,0.63476557,0.46242505,0.87035286,-0.86527336,0.05158152,-0.44976088,0.3800015,1.9377658,-0.887026
-0.20002317,-1.0946934,-0.564872,0.38941035,-1.081131,0.50656444,-0.083268195,-0.11215821,1.8743409,-1.1163808,0.0051355665,0.74463475,-0.21570887,0.46708494,0.013773871,0.76244134,0.40237996,0.65750724,0.057567798,0.45219722,1.0646794,0.34712282,0.7138559,-0.07976392
0.48486447,-0.4087671,-0.6914819,-0.31168664,-1.0034585,0.29452896,0.6209189,0.12918554,1.0648748,-0.3430144,1.1366986,1.132643,-0.089971416,0.20281264,0.96073234,0.4184497,-0.38950107,0.24337782,0.4714751,0.25206265,0.89785486,0.15481804,1.169742,0.36427358
0.6710296,-0.38354826,0.35178646,-0.07712983,-1.1494508,0.6549828,-1.0816449,1.3790182,-1.3868107,0.20065376,0.53622144,1.702323,-0.5563358,0.3788999,0.054132327,-0.20244922,-0.22887684,1.205301,-0.79474044,-0.989759,0.2800205,-0.1487813,1.2149744,-0.5423062
0.6698195,-0.1174928,0.022163965,-0.110950984,-1.3136299,0.97205055,-1.0655609,1.3223122,-1.2088826,0.33084902,0.62817967,0.9544506,-0.6395513,0.30045566,0.4652319,0.37036982,-0.41731897,1.1537969,-0.9515061,-0.7560758,0.09616113,-0.12148238,1.2068828,-0.16193727
0.07793116,-1.2629218,0.65528476,0.45777053,-0.3646739,-0.6127938,0.04420385,0.079021,0.16294579,-0.13445628,-0.029940784,1.2934407,0.70690906,0.57342887,-0.5586236,-0.40381932,-0.5831447,1.3205755,-0.46842352,-0.3709309,1.6707071,-0.215912,1.3876977,-0.64792717
-0.088928625,-0.015737958,0.23009032,-0.0115305735,-0.27211195,-0.5844158,-0.04765654,0.61252403,-0.031359732,-0.09901981,0.44587496,1.5899179,0.32709086,-0.4206697,-0.04845853,-1.5403374,0.22108164,1.0580964,0.24616481,0.061072964,0.7299848,0.3200687,0.6539359,0.73722124
-0.4904275,-0.26404485,-0.06141041,-0.2969761,0.40788016,-0.6439132,-0.27513778,0.013203114,-0.04166077,-0.33307603,0.8471567,1.9223499,0.7590335,-0.10278715,-0.669153,-1.3316509,-0.089985125,0.54796946,-0.06824004,0.11442536,1.0162553,0.40708572,0.7402636,0.63776094
0.043859914,-1.2961257,0.59910226,0.39477617,-0.3352911,-0.7719712,0.116444476,0.10442614,0.09974757,-0.10694331,-0.039140422,1.2441841,0.6729243,0.5203821,-0.55246615,-0.5270105,-0.52957106,1.3300706,-0.5145956,-0.28431353,1.6524903,-0.16033262,1.3649368,-0.6365327
-0.57881075,-0.85799813,0.4544376,0.40648526,0.059797123,0.643759,-0.18196769,-0.5365059,0.11530265,-0.4783792,0.8645727,1.5707716,0.5582618,-0.42789394,-1.0177221,0.09794832,-1.4445329,0.5718316,0.970724,-0.46092045,-0.096105576,-0.26503497,1.0452712,0.06395856
-0.4891306,-0.6162602,0.45629913,0.6052031,-0.33164656,0.5200747,0.120339125,-0.38460508,0.47913173,-0.2880927,0.8704249,1.7300401,0.58274347,-0.34130654,-0.64896196,-0.1979447,-1.7842098,0.24064577,1.0578756,-0.028186534,0.042874124,-0.26997375,1.1774621,0.24180095
-0.17914636,-1.078792,-0.54748124,-0.043239295,-0.24998505,0.22347638,-0.17694506,0.38206947,-0.22811131,-0.27180704,0.12890068,0.772014,0.30577362,-0.05289783,-0.5726966,0.013475276,-0.6913946,0.41477728,0.71365273,-0.06918504,0.02138411,-0.61390907,0.88995683,0.4134498
-0.08764488,-0.5501136,-0.49073386,0.09656137,-0.41734308,0.18875974,0.14248498,0.3899589,0.105260834,-0.30925965,0.13479589,0.8852409,0.23687616,0.036500894,-0.40228868,-0.22972964,-0.82169235,0.31525344,0.69395405,0.004185954,-0.023516344,-0.5711363,0.9253238,0.57208
-0.29167137,-0.69889516,0.4852894,0.38449648,0.28708988,-0.26943654,0.045656003,-0.5869506,-0.037671786,-0.3791106,2.010374,1.8139396,0.6576033,0.30570447,-1.4365718,0.09894251,-1.0937755,0.8238961,0.775962,0.4072843,0.0041794754,-0.655131,0.8292797,1.0888225
-0.28520954,-0.42631364,0.35956568,0.57358813,0.12802571,-0.65206754,0.34610587,-0.18870355,0.4384662,-0.3321854,1.9651728,1.9833953,0.81234026,0.258667,-1.065189,-0.2479418,-1.4505539,0.49397457,0.6622341,0.9163216,0.05859052,-0.8279599,0.8708102,1.3161602
0.088915356,-0.513413,-0.4929879,0.25091416,-0.1408965,0.050869953,-0.33603573,0.27173024,-0.43470946,-0.21304402,0.4331663,0.7050993,0.21833587,0.41799444,-0.5390016,0.16122755,-0.29836595,0.34505615,0.6618682,0.071322404,0.14176413,-0.2485968,0.9053621,0.092761
0.22373231,-0.3894153,-0.55316526,0.4220491,-0.29604197,-0.1118428,-0.16685723,0.3530768,-0.1626162,-0.06190104,0.23689024,0.8407107,0.23187639,0.46747062,-0.30231303,-0.13923055,-0.47481406,0.47256488,0.73011005,0.2205105,0.17445311,-0.2767005,0.9078576,0.3106331
0.78738254,-0.089213975,-0.59482354,-0.80737716,-1.4177989,-0.048176724,-0.1079429,0.6552267,0.89378655,-1.2843039,0.87538177,0.8435463,-1.080567,-1.2214844,0.7223877,0.16616021,-1.577964,1.8567822,-0.39253968,-0.5607257,0.5736669,1.5336405,0.6622224,0.59440845
1.3115634,0.0700168,-0.9503935,-0.8391682,-1.5879973,0.019277096,-0.5647318,0.48725188,1.0650135,-1.0652506,0.5020658,1.1682951,-0.69957983,-0.9990155,0.3099929,0.4034437,-1.123539,1.4030864,-0.6303859,-0.19188645,0.011043221,1.4965707,0.7243358,0.6301802
0.82935375,-0.04298827,-0.68243027,-0.69726473,-1.2026398,-0.1667716,-0.18866491,0.08609148,0.93238723,-1.2107701,0.3572736,1.3368466,-0.9183448,-1.3209615,0.46787292,0.09871442,-0.93570244,1.2956246,-0.7078796,-0.20273833,0.19374588,1.6337504,0.9116297,0.46953055
0.8867785,0.08648842,-0.75552016,-0.6709112,-1.2488816,-0.13115966,-0.14661342,0.58403194,0.9098942,-1.3108809,0.79336536,1.076149,-1.05461,-1.2590157,0.75925595,-0.0037556365,-1.4990999,1.7951039,-0.35879928,-0.777794,0.46942773,1.4987576,0.73439,0.6575769
-0.3013595,0.194332,-0.7058365,0.07314586,-1.4500139,0.32933214,-0.64105815,2.3515422,-0.8188956,-1.8466269,0.6976936,1.4603511,-0.18223251,-1.5468203,0.2548136,-1.029417,-1.3146677,1.3219104,-0.36054403,0.24733712,0.2996294,0.3251283,-0.48177326,0.7839656
-0.54143864,-0.7431443,0.023194965,-0.30662552,0.07567615,0.04088318,-0.31826568,0.22526148,0.27482402,0.38031718,0.6239568,0.46090376,0.0024000057,-0.0035278483,0.9776796,-0.5829522,0.08262375,0.15113346,0.84430456,-0.30803216,0.8596424,-0.42799914,1.257951,0.43088093
-0.5356214,-0.73763686,0.11427549,-0.22515099,0.16875479,-0.0037798996,-0.19587131,0.23124175,0.4191861,0.2768823,0.76094925,0.37950572,0.025578436,-0.0045080604,0.9819401,-0.44327345,0.046843003,0.28433254,1.1626217,-0.04585766,0.9057277,-0.42300072,1.2044022,0.5141005
-0.8095117,-0.60743666,0.29846188,0.22347216,0.31030002,-0.0037037102,-0.4540142,0.39559048,0.50055206,0.4310817,0.7191878,0.7022374,0.48818302,-0.33201373,0.95235264,-0.5917054,-0.08569905,-0.015800437,0.6681591,-0.42734903,0.83197755,-0.31018448,1.6197072,0.5123988
