algorithm,params,calinski,siluetas
k-means,2,33.52720260099353,0.057861544
k-means,3,29.789714276345713,0.061680764
k-means,4,27.878225366157306,0.059814285
k-means,5,25.459819784756995,0.055573903
k-means,6,24.004451924928045,0.05591585
k-means,7,22.73378160589016,0.054202992
k-means,8,21.909580486839307,0.079588845
k-means,9,21.59879087469241,0.07143363
k-means,10,20.02119268042354,0.06345674
k-means,11,19.722369903686413,0.078873366
k-means,12,19.16499081395693,0.07045845
k-means,13,18.807490267628534,0.07434504
k-means,14,18.7321449306391,0.076205984
k-means,15,17.896086533038474,0.08037885
k-means,16,17.41134546689309,0.08585871
k-means,17,17.226599542218835,0.08437889
k-means,18,17.104394333833138,0.088615485
k-means,19,16.85500378158861,0.091407895
k-means,20,16.5142411805556,0.09101821
k-means,21,16.06830772288852,0.097587734
k-means,22,16.12633265554759,0.09823491
k-means,23,16.031490421153872,0.0937436
k-means,24,15.822442112714684,0.10709801
k-means,25,15.354525044271323,0.10662785
k-means,26,15.145732377408084,0.10453512
k-means,27,15.492631160278725,0.11350973
k-means,28,14.874615432239269,0.102737285
k-means,29,14.729098600906433,0.119645916
Birch,2,23.091046719427688,0.036112737
Birch,3,22.235684051831026,0.028639773
Birch,4,20.95182108787461,0.038833737
Birch,5,19.900721643067627,0.04942588
Birch,6,18.97543093853287,0.046720274
Birch,7,18.450064113800575,0.03963399
Birch,8,18.096813470613743,0.04910708
Birch,9,17.936966269224342,0.055288855
Birch,10,17.504438662559423,0.05537614
Birch,11,17.225282633324056,0.048621614
Birch,12,17.059802397303258,0.052627597
Birch,13,16.90520056336308,0.059433
Birch,14,16.623801434089714,0.05481794
Birch,15,16.36956902418809,0.05863387
Birch,16,16.196757830229977,0.06499644
Birch,17,16.091299616826948,0.070950136
Birch,18,15.887059487789381,0.076082915
Birch,19,15.706369959171218,0.08127346
Birch,20,15.54821775598047,0.07988251
Birch,21,15.386969608018768,0.08391784
Birch,22,15.214385420590819,0.08407571
Birch,23,15.015920759236364,0.087146856
Birch,24,14.844129464652767,0.081541725
Birch,25,14.685009754670242,0.08673794
Birch,26,14.54395439926583,0.088397056
Birch,27,14.418364482352061,0.092911564
Birch,28,14.288836324302173,0.09731746
Birch,29,14.207298895557546,0.09957228
DBScan,,ERROR,ERROR
Affinity,,12.051565898736252,0.21060993
Mean Shift,,5.158390128475377,0.28918555
Agglomerative,ward-euclidean-2,22.305442309612967,0.06034785
Agglomerative,ward-euclidean-3,21.58565124199899,0.05291778
Agglomerative,ward-euclidean-4,20.653360280418145,0.045872383
Agglomerative,ward-euclidean-5,20.14788202194788,0.053153668
Agglomerative,ward-euclidean-6,19.60550473731972,0.05286551
Agglomerative,ward-euclidean-7,18.91195391083204,0.058646116
Agglomerative,ward-euclidean-8,18.507943515512835,0.060913954
Agglomerative,ward-euclidean-9,18.07492993734576,0.062498458
Agglomerative,ward-euclidean-10,17.806796916778037,0.06014214
Agglomerative,ward-euclidean-11,17.526320958300857,0.06473595
Agglomerative,ward-euclidean-12,17.323752534922562,0.06617892
Agglomerative,ward-euclidean-13,17.116730065001537,0.07369246
Agglomerative,ward-euclidean-14,16.98522568041755,0.08020636
Agglomerative,ward-euclidean-15,16.82603419150078,0.076444246
Agglomerative,ward-euclidean-16,16.57250167308169,0.07076463
Agglomerative,ward-euclidean-17,16.291683504931903,0.072165065
Agglomerative,ward-euclidean-18,16.057909904587415,0.06627265
Agglomerative,ward-euclidean-19,15.857467874758353,0.06755486
Agglomerative,ward-euclidean-20,15.694425173905298,0.07309929
Agglomerative,ward-euclidean-21,15.49738760014197,0.078038394
Agglomerative,ward-euclidean-22,15.323039070638965,0.08364397
Agglomerative,ward-euclidean-23,15.178462673724653,0.08528713
Agglomerative,ward-euclidean-24,15.0578341617945,0.09032815
Agglomerative,ward-euclidean-25,14.933971399383557,0.09565766
Agglomerative,ward-euclidean-26,14.824575425788233,0.098850355
Agglomerative,ward-euclidean-27,14.707158079850858,0.103345595
Agglomerative,ward-euclidean-28,14.5656969854915,0.10384257
Agglomerative,ward-euclidean-29,14.442337111519151,0.10377094
Agglomerative,complete-euclidean-2,7.158520804039479,0.25331357
Agglomerative,complete-euclidean-3,9.054880697774328,0.23228066
Agglomerative,complete-euclidean-4,8.372655876525066,0.23266001
Agglomerative,complete-euclidean-5,7.7997613229973375,0.20745479
Agglomerative,complete-euclidean-6,8.44598277878936,0.20134926
Agglomerative,complete-euclidean-7,7.690397262949645,0.18891634
Agglomerative,complete-euclidean-8,7.319992384273012,0.18313573
Agglomerative,complete-euclidean-9,8.316560796975047,0.027802441
Agglomerative,complete-euclidean-10,8.661669327755888,0.013034233
Agglomerative,complete-euclidean-11,8.23737135885104,0.0136368815
Agglomerative,complete-euclidean-12,8.005841619422041,0.015352878
Agglomerative,complete-euclidean-13,7.667084751613586,0.015981512
Agglomerative,complete-euclidean-14,7.551614029009896,0.014490202
Agglomerative,complete-euclidean-15,7.362105663055806,0.016267259
Agglomerative,complete-euclidean-16,7.5964336492467375,0.021833824
Agglomerative,complete-euclidean-17,8.2195118197943,0.024926161
Agglomerative,complete-euclidean-18,8.086335330707614,0.026632167
Agglomerative,complete-euclidean-19,8.1597895670662,0.02984737
Agglomerative,complete-euclidean-20,8.997456339389693,0.022890622
Agglomerative,complete-euclidean-21,8.7566985992857,0.02332931
Agglomerative,complete-euclidean-22,8.799819069916133,0.028035708
Agglomerative,complete-euclidean-23,8.563288019496955,0.028120367
Agglomerative,complete-euclidean-24,8.817625324943892,0.03401313
Agglomerative,complete-euclidean-25,8.88045889966715,0.03787854
Agglomerative,complete-euclidean-26,9.230938318517119,0.03294361
Agglomerative,complete-euclidean-27,9.935378762568037,0.044265848
Agglomerative,complete-euclidean-28,9.691197318078402,0.04431306
Agglomerative,complete-euclidean-29,9.576474155740552,0.045603327
Agglomerative,complete-l1-2,9.089240117831704,0.29406723
Agglomerative,complete-l1-3,9.448132479456781,0.29233316
Agglomerative,complete-l1-4,8.89728901814741,0.2519137
Agglomerative,complete-l1-5,8.372947506055779,0.23960243
Agglomerative,complete-l1-6,9.287264769263988,0.06500758
Agglomerative,complete-l1-7,10.202137883859297,0.025936928
Agglomerative,complete-l1-8,9.377500605509615,0.027160661
Agglomerative,complete-l1-9,8.743859510853966,0.027761197
Agglomerative,complete-l1-10,8.353189098919609,0.028731259
Agglomerative,complete-l1-11,8.363016089603194,0.019502345
Agglomerative,complete-l1-12,8.991420830846364,0.022479432
