p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17
-0.4084765,-0.59369266,0.6227122,0.040264048,0.02233077,1.1166689,0.04317369,0.9296049,-0.19847184,-0.6197413,1.7500913,1.5175514,-0.4559038,1.0646733,0.37082383,-0.16448781,0.3710034,0.6278343
0.24261571,0.12948069,0.6703402,0.14999789,0.6471006,0.59650517,-0.44675905,-0.6053419,-0.35853648,-0.23184896,1.2963182,0.32640427,0.19085634,0.69087386,0.17341204,0.66171604,0.9547541,0.014194214
0.052871708,1.2550011,0.7959043,0.30195203,-0.15905862,0.83639264,-0.6543117,-1.2058628,-1.1548928,-0.25245723,0.3845744,-0.35688293,-0.92179185,-0.5116678,0.70179385,0.57868385,1.1363778,0.48884737
-0.391271,1.0594162,0.6039531,0.48235327,-0.5572304,0.99312997,-0.9772196,-0.6420452,-1.4321678,-0.7884018,0.33352265,0.19621198,-0.9504415,-0.5631557,0.7762905,0.74468714,0.7676995,1.2188673
-1.321059,0.47615537,1.2428603,0.41597292,0.15182339,1.3816506,-0.7716176,-0.7757801,0.33681104,-1.1251903,-0.27389243,0.93847823,0.9989928,2.3293562,-0.2538946,1.1766921,0.8139201,-0.5777626
-2.044267,-0.17317232,1.8227601,2.2906759,-0.3525626,2.2857797,-0.778998,-1.972855,-0.49733377,-0.9319216,-0.94414526,-1.1384532,-0.0833598,-1.0466284,0.39232174,0.39018977,1.9166789,0.9668989
-1.0875452,0.18556502,-0.851747,1.9316648,-1.3297603,2.8875525,-0.8674992,-1.3020039,-2.5598366,-2.0009954,-0.8751153,-0.028776677,-0.5136614,0.39618286,2.4362464,-0.9126075,2.6075952,2.184635
-0.0077775647,-1.3079964,0.4877879,0.64008415,-1.1031567,1.2493818,0.082489595,-1.3005539,-1.7097757,0.4343985,-0.16681959,-0.28892434,-0.8852917,1.8984919,0.30185187,0.30797938,1.4083983,0.26541114
0.26962218,-1.1647774,0.6197964,0.9046461,-1.1574063,1.0134386,-0.03872714,-1.1993822,-1.6181562,0.3343201,-0.059919957,-0.40767965,-0.966717,1.8359836,0.22799172,0.14297783,1.3809102,0.123407625
0.10088549,-1.2737744,0.62089455,0.6841404,-1.2253817,1.2009027,0.10245786,-1.2512789,-1.7720078,0.34545282,-0.40103254,-0.2938213,-0.9157781,1.9546659,0.15066169,0.060051005,1.3254211,0.07880766
-0.32936227,-1.1855439,0.78667253,0.78816813,-1.5429082,1.9319984,0.05124387,-1.7773346,-1.2675604,0.38592353,0.09113467,-1.1885808,-1.2900164,2.7187352,0.5624375,0.37466064,0.5996651,0.35013184
0.009831617,-0.0588345,-0.5838196,1.0240376,0.50899976,0.000671926,-1.0504888,-1.139147,-1.1155818,-0.38472936,-0.6141726,0.1253545,-0.177993,0.41377392,1.3514754,0.71107894,1.4557143,0.6755892
-0.17087,-0.19512185,-0.5225691,1.3031516,0.77324134,0.17160438,-1.1406523,-1.2340677,-1.3821375,-0.45372897,-0.72265387,-0.031579427,-0.3263289,0.38303122,1.5314013,0.501044,1.5707197,0.7578549
-1.220379,-1.4740765,0.5972795,0.18824746,0.58977467,-0.21332546,-1.4321579,-2.18232,-0.05346903,-0.66811305,2.0440283,-0.49509877,-0.3826952,-1.3816618,-0.6635259,0.23566884,1.2189044,-0.42723194
-0.7982162,0.64599395,-0.15291528,-0.7574443,1.7430832,0.82834494,-0.0488604,-1.0429323,1.0134786,0.28554273,0.15222825,0.35715345,0.2217722,0.1191705,0.65875477,1.0431182,1.4581659,1.4157706
-0.7851246,0.34978738,0.08284134,-1.3850108,0.40034312,0.7442889,-0.011917293,-1.5324473,0.40306702,0.19892897,0.324645,-0.13934584,0.37108216,0.37949702,1.7969097,0.9633451,0.89559656,0.49257937
-1.6762862,-0.26555392,0.68677014,0.6611042,-0.2676023,0.11167682,-0.92558384,-1.3850732,-1.3968543,-0.28011578,1.9039208,0.6544946,0.010187154,-0.6644064,0.15829527,-0.0072723585,1.5397272,-1.1451076
-1.4945242,0.031677276,0.33484036,0.44711578,0.23473546,0.25205448,-0.7263364,-1.5510385,-1.3826395,-0.0989037,1.4869254,0.8715788,-0.13927709,-0.9838131,0.059718825,0.36287627,1.046511,-1.1388234
-0.21438305,-0.07525552,0.4491023,0.7158448,0.55206233,0.29407784,-0.3317763,0.18763718,-0.8318684,-0.6781689,1.6405622,0.34957328,-0.53556746,1.1426306,0.6305913,0.43434986,1.8718212,1.4539821
-0.40341684,-0.60482717,0.53684586,0.051877208,-0.05234629,1.0833282,0.06833774,0.8561804,-0.2266599,-0.56904083,1.591176,1.3017415,-0.45533478,1.1189369,0.34660915,-0.08303429,0.3024244,0.7345228
