p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12
-1.4238033,3.0220017,0.8772664,-1.5829556,-0.68481165,1.1553618,0.7630375,-1.4533453,0.4699066,-0.16778284,-0.97472155,0.8869403,-2.201673
-0.61810213,0.5425968,1.0086869,-1.1528559,-1.3616941,1.4823577,0.6676771,0.37722367,-0.5795156,0.6942429,0.3014592,-0.5074099,-1.3096678
-0.07315708,-0.17894062,0.35421124,-0.3922239,0.43745747,-0.32833162,-0.071410336,-0.780927,-0.5352251,0.6012834,-0.24514447,0.076897256,-1.041825
-0.0031245206,-0.09690599,0.2795754,-0.2439574,0.28393224,-0.2539023,-0.00535327,-0.67894626,-0.38136792,0.614972,-0.042234194,-0.07463163,-0.83275723
-1.1536194,-0.3875179,2.4995885,-0.26815915,1.4617358,1.6155124,-0.5937859,-1.4593676,-0.815851,0.28490695,-0.1720537,1.6344445,-2.2569962
-0.79730076,-0.38909814,1.765396,1.1156604,-0.92789817,-0.32248834,0.3599134,0.56161356,-0.7380475,0.39606947,1.9134765,0.20492887,-0.22880311
-0.9363235,-0.3862235,0.6144202,0.3057901,-1.0425401,0.57116055,0.6218441,-0.31263268,-0.17990915,1.0284352,0.71019703,-0.0066627343,-0.8858001
-0.16095851,1.1263579,-0.058510713,0.1315384,0.6246007,1.371842,0.46871445,0.005806702,-0.33287677,2.1544268,0.0017323234,1.1663345,-1.0685319
-0.036926735,1.5493433,0.2686526,-0.30848753,0.6527503,0.85163313,0.27352434,0.44603506,-0.44093782,2.402803,0.13103284,1.3432631,-0.90422565
-2.920862,0.29365933,0.06168434,-0.056071706,-0.85781246,0.2090356,1.0822105,-0.6318591,-0.788781,0.34068447,0.7353797,2.17054,-1.4741912
-0.7332781,1.0882492,0.45077643,1.80024,0.6699509,-0.32804874,-0.07946414,1.8265043,-1.829954,1.7046442,0.8663636,2.4502983,-2.3215876
-0.06811681,1.1896743,2.9421465,2.3460495,1.3343389,-1.2382414,-1.1782625,2.2690604,-1.0118709,4.57398,-0.22570413,2.5503354,-1.2114908
-0.3799514,-0.7814596,-0.48913693,1.6208887,-0.5115029,-0.60024285,0.95725244,-0.45881504,0.46034235,2.8748848,1.5101022,0.8997525,0.080622785
0.04085813,-0.74354315,-0.5525419,1.5647652,-0.36965856,-0.4748885,0.93326586,-0.25530514,0.20268661,2.9469,1.4244074,0.85285336,0.11371527
