p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9
-1.6025366,-2.107358,2.06486,-0.19615541,1.3591146,-2.5428712,-0.1084504,0.7053565,-1.9473507,0.07928017
-1.4723017,-2.0608153,2.040353,-0.44992575,1.7589529,-2.0536811,0.24657266,1.2181419,-1.459044,0.48357844
-1.5336573,-2.5804238,2.321153,-0.23103021,1.2717077,-2.145546,0.21284947,1.3215771,-1.6861582,0.42444134
-1.8576783,-2.5245101,1.3613769,0.04431547,1.0270175,-0.8918733,0.18321216,0.62966704,-2.3868363,1.3967309
-0.13460419,-0.6360543,0.29796693,-1.1382177,-0.087658316,0.70287985,1.4509623,0.36549765,-2.3215406,0.11566882
-0.44289055,-0.7289618,0.33814263,-1.268805,-0.2006143,0.4481456,1.2100327,0.41595632,-2.5689263,0.4045986
-0.26412225,-1.061309,0.48075414,-1.307154,-0.0018044268,0.43313813,1.9834027,0.46323636,-2.2195215,0.023561787
-0.38592374,-0.61922425,0.332765,-1.1627051,-0.16864283,0.6507202,1.0256599,0.34878233,-2.6058857,0.3485987
-1.0157228,-0.7764014,0.30008498,-1.563187,0.93392134,0.25418276,2.317165,-1.6940486,-2.4025185,-0.6396657
0.22025609,0.7919483,1.0131497,-0.37434506,-0.44129276,0.21051693,1.1565874,0.258029,-0.7854959,-1.1539629
-1.0483826,-0.7295448,1.9282427,-0.49182808,0.5395447,-0.113008656,2.0246034,-0.5566364,-1.4744496,1.5353229
-1.3046734,-1.0081152,1.5680009,0.14834662,-0.17825755,1.0665306,1.0161053,0.98667574,-1.0457319,0.31057924
-0.9013267,-1.3503174,1.7520987,-0.68348455,-0.034697432,0.0021701613,0.7056298,0.7172584,-1.5515676,0.8040005
1.34421,0.18140692,0.9949638,1.6307405,-0.91705275,-0.22603235,1.6026027,-0.31166425,-0.4214638,-0.24954475
-0.97810644,0.36824113,1.4476813,1.261912,-1.1516863,-0.7618317,0.8338574,0.2825155,-1.3240832,0.8437789
1.6317416,0.049731024,0.9176938,-0.17681324,2.0137346,-0.499475,1.2191758,0.16191444,-0.5538816,-1.8147173
2.7346961,-0.8196025,2.0863228,0.76217186,0.35576853,-0.79424876,3.0496302,1.7776766,1.2282367,-0.11402927
0.33219984,0.50657356,1.3078324,1.0709757,1.3634392,-1.0840158,3.1879532,-1.5704714,0.601473,-1.4093478
-0.017752415,-2.2658885,-0.21248993,-1.079245,-0.27934334,0.001014468,1.6101723,0.84188473,-2.323555,-0.295615
-0.20619278,1.9058534,0.89254534,-2.1282454,0.005141206,-0.8949163,-0.06173638,1.6501199,-3.4761016,-1.0509632
0.24145809,0.7504371,0.29092255,1.4511079,0.5909101,-1.1478149,1.1384354,-0.15453593,-1.1205465,0.9005345
0.060499214,0.7905462,0.64267844,1.5946219,0.18704109,-0.96976334,1.1984243,0.023752555,-0.9540317,0.8453583
1.3190436,1.0970919,-0.8041101,0.03921359,1.058195,1.2328919,1.6716487,-0.11980264,-2.7210577,-1.5835382
-2.2008755,0.49321043,0.0038603654,0.4272898,2.1323478,-0.2592636,1.4851385,-0.010018479,-1.9955796,-0.38966733
1.2882502,2.026055,0.18892157,2.4733787,1.4854777,-0.62233704,1.1431482,-0.5269931,-1.7756653,-0.69256604
1.2949784,0.19278146,1.0894617,-0.6682268,0.15793698,-0.13169822,0.3108852,-0.41462508,-2.1069143,0.47858098
0.7429616,-0.35181814,-0.51831263,1.6033986,1.1119252,-0.7095269,0.68555087,-0.46719,-1.7673999,0.08055409
-0.13488042,1.5509002,0.045536958,1.1694733,0.29609656,-1.038119,2.0712717,0.14260766,-1.6666329,1.2187147
2.17346,0.84165925,-0.61986774,-0.13390207,-1.701758,0.78087926,1.6174495,0.49964586,-2.863635,-0.86790717
-0.59049386,1.3255423,-0.77301157,0.03133799,0.5891212,-0.61050946,2.6922934,-0.16448945,-2.054202,0.3627929
-0.93924826,-0.022735424,2.0693393,-0.8943612,-0.60146433,0.38027945,0.39219266,0.05745916,-0.34431067,0.088044055
-0.6036985,-0.9176591,0.5688211,1.103853,-0.20110002,-2.6752446,2.1376417,0.66817534,0.035713892,-0.7780733
-0.19806491,-0.14225248,0.65788686,0.3912046,0.48382226,-2.225125,2.3078032,0.82518065,0.019347861,-0.5956489
