p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27
0.07351058,-1.5299312,0.38718656,0.90197575,0.8893379,-0.2690232,0.2944544,-1.7407205,0.38094512,-0.5086583,-0.47960895,-0.64197934,-0.42366344,0.3405226,0.053257577,0.8244842,1.1609077,1.031728,-0.026666265,0.23314919,0.5080426,0.3396733,0.0965909,0.5531315,0.5001993,-1.243484,-0.4499839,0.6158437
-0.41700405,-0.0727344,-0.86294985,0.2581294,0.6595962,-0.4494946,-0.5158595,-0.7791357,-0.13783702,-0.16628358,0.12339082,0.5961287,-0.5606064,0.70799845,-0.16835517,0.63899684,-0.009307872,1.088197,0.42197165,1.0399736,-0.0015613423,-0.3140378,0.093840085,-0.3754461,0.55753464,0.2335146,0.6307333,-0.018705016
-0.57647157,-0.061344154,-0.8081482,0.20738713,0.7341573,-0.49132425,-0.538603,-0.7609346,-0.110297546,-0.2187381,-0.06452142,0.62369996,-0.5670497,0.5639169,-0.07511936,0.71027994,-0.031965155,1.092496,0.47565925,1.000928,-0.01991973,-0.24681719,0.1297002,-0.35604978,0.7181445,0.11478749,0.6331282,-0.04371113
0.6262821,-0.2519835,-0.3586657,1.2977571,1.2437937,-0.42180917,0.36036894,-1.3067169,-0.6327421,-0.33889717,0.27206108,0.014083498,0.10055387,0.62729084,1.0411294,-0.15555248,0.3354074,-1.2231971,0.55601555,0.35868463,0.916855,1.3125598,-0.9626765,-1.0749252,1.9088309,0.9829373,-0.35368827,-1.2696956
0.03734883,0.3325429,0.5909947,0.7747267,0.045070365,-0.23475122,0.4992654,-0.06013409,-0.526414,0.31528366,0.23848377,0.33024248,0.19623305,0.29711542,-0.16504699,0.72216135,-0.03947709,0.6587342,0.32678515,-0.55275506,-0.09812212,0.10163139,0.25506425,0.3931306,0.9409771,0.9284846,0.2560522,0.30106848
-0.4236596,-0.24744894,-0.23615013,0.15330824,-0.015537858,-0.30053708,0.12898032,-0.8271431,-0.3776323,-0.33544648,0.09440371,0.49587217,-0.23433866,-0.27214345,0.47316638,-0.1350977,-0.06833836,0.43118215,0.09050352,0.16823752,-0.42312402,0.12232795,-0.029939437,-0.054138683,-0.23470457,0.05031055,0.36473027,0.1321475
-0.26718196,-0.17311628,-0.16623758,0.16599673,0.0005622148,-0.2979539,0.0726361,-0.65622693,-0.25752497,-0.2738154,0.10119156,0.34300107,-0.15156409,-0.2248882,0.36763594,-0.0080385255,-0.0708538,0.436197,0.09996295,0.15847822,-0.2877392,0.09599824,0.035334773,-0.035131656,-0.08881285,-0.02348744,0.3175879,0.07799924
0.14027694,-0.06565379,-0.26444408,-0.12510712,1.1786168,-0.33778736,0.008607184,-1.8245053,-0.8738043,-0.2926803,0.33022818,-0.41843662,-1.5350218,0.21473256,0.14018993,0.27794302,1.6325314,-0.30075067,0.40995884,1.4015284,0.64351106,1.0920303,-0.416343,-0.8109429,0.87047625,-0.16617106,0.14820738,1.2401763
-0.23603386,-0.558756,0.70209026,0.5344571,-0.48602286,-0.19697346,-0.3841983,-1.0409614,-0.34556,-0.72930187,0.6670803,-0.21565452,-0.70186454,-0.20060925,-0.29043967,0.28498596,-0.29260996,0.64232916,-0.40575942,1.2192283,-0.32659617,0.09174217,0.5806623,-0.8098761,0.7139321,-0.29315114,1.2020209,0.5219629
0.16797565,0.48737693,-0.43452585,0.48485246,0.21876658,-0.45915794,-0.02306255,-0.7790881,-0.25974488,-0.6163469,0.52904654,0.16033635,-0.008317467,0.052251134,-0.18809235,0.44032347,0.6128094,0.5655619,0.5924967,0.4833027,0.07851193,0.3346871,0.25380996,-0.36269337,0.56302065,0.030666256,0.49719208,0.32183254
