algorithm,params,calinski,siluetas
k-means,2,1191.3154934687361,0.5549867
k-means,3,1649.7352901557695,0.56305766
k-means,4,1552.367283358765,0.50113183
k-means,5,1484.2685176883006,0.49902517
k-means,6,1559.5105250461888,0.45024782
k-means,7,1538.1155463352093,0.45672008
k-means,8,1532.3563430330746,0.42196062
k-means,9,1479.15221600374,0.42866609
k-means,10,1455.1934240614107,0.41483366
k-means,11,1441.3495855026906,0.410377
k-means,12,1443.0354712637054,0.41488326
k-means,13,1446.7218617714836,0.39056984
k-means,14,1463.6594647655925,0.3969064
k-means,15,1441.6500516604865,0.38528544
k-means,16,1471.5446974390372,0.39092892
k-means,17,1488.7742714370506,0.39662123
k-means,18,1476.0799414295986,0.38385624
k-means,19,1521.318192097935,0.3954403
k-means,20,1527.7607504434823,0.40236208
k-means,21,1572.018474942717,0.40971896
k-means,22,1583.8256124149907,0.4052013
k-means,23,1567.2642144250021,0.39753398
k-means,24,1598.9518801618956,0.39990637
k-means,25,1636.3375020339386,0.40994
k-means,26,1614.1605834370414,0.4055536
k-means,27,1659.1283016760813,0.41666317
k-means,28,1671.6874259102037,0.41308072
k-means,29,1651.9298036191005,0.4042024
Birch,2,1115.7410004028368,0.546378
Birch,3,668.7984939808758,0.49016622
Birch,4,1144.5160419165002,0.47147447
Birch,5,1307.8596888922905,0.48701885
Birch,6,1291.7314084804398,0.422496
Birch,7,1114.484499468877,0.42115858
Birch,8,1000.0037201406077,0.4246536
Birch,9,1129.679886592967,0.4251679
Birch,10,1110.8236753875894,0.4068037
Birch,11,1214.4698327182668,0.38850537
Birch,12,1249.8045839226777,0.39887494
Birch,13,1163.544348367077,0.39002913
Birch,14,1141.485596200227,0.37788245
Birch,15,1127.7844537622998,0.3714262
Birch,16,1145.3277480092004,0.3779036
Birch,17,1082.3067336419028,0.37540773
Birch,18,1054.1996736580054,0.3652072
Birch,19,1124.3584062447012,0.37692493
Birch,20,1115.3867171185918,0.36813718
Birch,21,1099.9313571758942,0.36617863
Birch,22,1095.1198629535158,0.36184287
Birch,23,1113.6634496258637,0.35353228
Birch,24,1106.054571973795,0.34948292
Birch,25,1096.4959131480234,0.3376652
Birch,26,1142.0196242576294,0.35471082
Birch,27,1199.8771510361353,0.3545286
Birch,28,1159.1599854709864,0.35201773
Birch,29,1134.5369340166017,0.35090002
DBScan,,11.800293764095587,0.32991183
Affinity,,1478.0427959722974,0.38710222
Mean Shift,,1101.2771326459808,0.49499184
Agglomerative,ward-euclidean-2,1150.1994901725575,0.57645303
Agglomerative,ward-euclidean-3,1601.299843950706,0.5576368
Agglomerative,ward-euclidean-4,1358.3377545053054,0.45379817
Agglomerative,ward-euclidean-5,1317.1687827775008,0.4476189
Agglomerative,ward-euclidean-6,1442.0473543978812,0.4310883
Agglomerative,ward-euclidean-7,1401.6728828442053,0.4306556
Agglomerative,ward-euclidean-8,1384.3854244547354,0.39118484
Agglomerative,ward-euclidean-9,1335.7570322134004,0.3681606
Agglomerative,ward-euclidean-10,1306.4192477871795,0.37443784
Agglomerative,ward-euclidean-11,1274.290307912419,0.37182984
Agglomerative,ward-euclidean-12,1257.0742812892631,0.35701218
Agglomerative,ward-euclidean-13,1258.1856410423227,0.34834328
Agglomerative,ward-euclidean-14,1261.0183272185054,0.35540166
Agglomerative,ward-euclidean-15,1275.3883013693592,0.3590282
Agglomerative,ward-euclidean-16,1291.9140435464149,0.3408277
Agglomerative,ward-euclidean-17,1321.6533920382612,0.34628096
Agglomerative,ward-euclidean-18,1356.6405745903419,0.3538116
Agglomerative,ward-euclidean-19,1371.8656866170775,0.36271775
Agglomerative,ward-euclidean-20,1383.994214134708,0.3715217
Agglomerative,ward-euclidean-21,1396.9369168806502,0.37808338
Agglomerative,ward-euclidean-22,1411.658775112541,0.38455012
Agglomerative,ward-euclidean-23,1430.0372644598513,0.38030523
Agglomerative,ward-euclidean-24,1443.9910532574656,0.38342035
Agglomerative,ward-euclidean-25,1462.5938331333662,0.3864855
Agglomerative,ward-euclidean-26,1488.9811274724532,0.3908626
Agglomerative,ward-euclidean-27,1507.9215035286352,0.38853773
Agglomerative,ward-euclidean-28,1521.8248950415552,0.3878594
Agglomerative,ward-euclidean-29,1532.514127851246,0.38851038
Agglomerative,complete-euclidean-2,1112.944302075394,0.5451324
Agglomerative,complete-euclidean-3,667.6191610786414,0.48873648
Agglomerative,complete-euclidean-4,1112.622801817682,0.4742766
Agglomerative,complete-euclidean-5,1260.4657169388963,0.4589945
Agglomerative,complete-euclidean-6,1392.404360610035,0.42907125
Agglomerative,complete-euclidean-7,1204.2795772388167,0.42747378
Agglomerative,complete-euclidean-8,1215.5355437500516,0.42073593
Agglomerative,complete-euclidean-9,1121.174973427726,0.42504874
Agglomerative,complete-euclidean-10,1027.1475476498376,0.3938645
Agglomerative,complete-euclidean-11,1111.8901965917862,0.39619502
Agglomerative,complete-euclidean-12,1081.2635370943724,0.38526064
Agglomerative,complete-euclidean-13,1112.404038680487,0.36215755
Agglomerative,complete-euclidean-14,1122.7255128461488,0.36829233
Agglomerative,complete-euclidean-15,1209.945729094287,0.37199762
Agglomerative,complete-euclidean-16,1192.1071128437113,0.37532634
Agglomerative,complete-euclidean-17,1199.0791190481866,0.3647642
Agglomerative,complete-euclidean-18,1251.3569042427316,0.34646925
Agglomerative,complete-euclidean-19,1244.4991121958012,0.34202802
Agglomerative,complete-euclidean-20,1292.3720470285232,0.35340592
Agglomerative,complete-euclidean-21,1280.3017936935253,0.3563952
Agglomerative,complete-euclidean-22,1260.6480784051637,0.35416347
Agglomerative,complete-euclidean-23,1369.3889087369982,0.38145623
Agglomerative,complete-euclidean-24,1357.1333417801175,0.37971088
Agglomerative,complete-euclidean-25,1363.0134595631598,0.37203187
Agglomerative,complete-euclidean-26,1329.7429472786355,0.36499667
Agglomerative,complete-euclidean-27,1360.2196700047705,0.3690384
Agglomerative,complete-euclidean-28,1327.0287155728606,0.36672676
Agglomerative,complete-euclidean-29,1426.774660885729,0.3831226
Agglomerative,complete-l1-2,518.201391300988,0.44096014
Agglomerative,complete-l1-3,1103.3844765295,0.4742272
Agglomerative,complete-l1-4,836.8593559608786,0.45017383
Agglomerative,complete-l1-5,1328.082786016556,0.46925247
Agglomerative,complete-l1-6,1109.852945915634,0.40104008
Agglomerative,complete-l1-7,953.3709230353112,0.39862305
Agglomerative,complete-l1-8,931.4917460257059,0.3573136
Agglomerative,complete-l1-9,849.5148411478651,0.3611625
Agglomerative,complete-l1-10,925.2147509129096,0.36387125
Agglomerative,complete-l1-11,997.0222858289387,0.36456427
Agglomerative,complete-l1-12,1109.0887660108049,0.35940617
Agglomerative,complete-l1-13,1094.5555519786,0.33557662
Agglomerative,complete-l1-14,1134.469507352913,0.33611026
Agglomerative,complete-l1-15,1201.9986508002858,0.35355023
Agglomerative,complete-l1-16,1185.40594108541,0.33918142
Agglomerative,complete-l1-17,1145.6786019460005,0.32480833
Agglomerative,complete-l1-18,1210.6945191620362,0.33977944
Agglomerative,complete-l1-19,1191.5230403882142,0.34248865
Agglomerative,complete-l1-20,1193.7900053808285,0.34351984
Agglomerative,complete-l1-21,1264.1548408102185,0.36271724
Agglomerative,complete-l1-22,1219.1021552879897,0.36202523
Agglomerative,complete-l1-23,1298.299360873965,0.35933757
Agglomerative,complete-l1-24,1324.531821213007,0.34563857
