algorithm,params,calinski,siluetas
k-means,2,110.6252565599669,0.16692503
k-means,3,107.71456327494217,0.16319281
k-means,4,101.84389181633446,0.1697881
k-means,5,99.25285821586633,0.1780183
k-means,6,94.25998830299477,0.18252544
k-means,7,89.25229947285509,0.18996076
k-means,8,85.87519256354663,0.19393422
k-means,9,84.57753766320877,0.20257078
k-means,10,80.31500951008941,0.20081505
k-means,11,79.28836310520197,0.20951718
k-means,12,76.8952395399204,0.20493706
k-means,13,75.0191579863035,0.20699954
k-means,14,74.86029989807068,0.20921984
k-means,15,73.93152766554965,0.21679115
k-means,16,72.28715762500865,0.22178178
k-means,17,71.07092188251838,0.2171127
k-means,18,69.33562125696234,0.21622074
k-means,19,69.0083763918595,0.23613176
k-means,20,67.36621541358178,0.23041192
k-means,21,66.675656563448,0.22902957
k-means,22,64.91611278504813,0.22608314
k-means,23,64.5279295066957,0.23431647
k-means,24,62.9037524382172,0.23377451
k-means,25,63.1021751589685,0.21950068
k-means,26,61.7237734135735,0.24109276
k-means,27,61.09709951174268,0.23480211
k-means,28,60.55915157082833,0.23761725
k-means,29,59.27290184449778,0.23661125
Birch,2,79.52417099726439,0.12935905
Birch,3,81.48419430881697,0.12459068
Birch,4,77.00528844018922,0.12443832
Birch,5,76.07754162177594,0.13167424
Birch,6,75.94047406950388,0.14507443
Birch,7,73.75385278244163,0.15830451
Birch,8,72.19664386358039,0.1506917
Birch,9,70.69078939061734,0.15714175
Birch,10,69.82489803287262,0.15746906
Birch,11,68.25389573629315,0.1634067
Birch,12,67.04193142392184,0.1732306
Birch,13,65.68181130287647,0.17404543
Birch,14,64.42840898895115,0.17900471
Birch,15,62.55111388075744,0.18319426
Birch,16,60.98578763839406,0.18511716
Birch,17,59.88818822204513,0.18860942
Birch,18,59.50509466985248,0.18588768
Birch,19,58.67926540557787,0.189149
Birch,20,58.01581161800579,0.19026957
Birch,21,57.725767800923144,0.19455473
Birch,22,57.21201832096874,0.19406636
Birch,23,57.26529647143683,0.20240808
Birch,24,56.78701863954244,0.20732695
Birch,25,56.75262686060401,0.21205768
Birch,26,56.9513046997684,0.21765779
Birch,27,56.30940348172209,0.21961673
Birch,28,56.45674912315897,0.2210596
Birch,29,55.9755119363695,0.22393788
DBScan,,ERROR,ERROR
Affinity,,52.748971754484614,0.2597681
Mean Shift,,12.951475375625025,0.20280577
Agglomerative,ward-euclidean-2,77.27837617734446,0.12829588
Agglomerative,ward-euclidean-3,73.22171271260349,0.124074176
Agglomerative,ward-euclidean-4,76.7442748756207,0.121603705
Agglomerative,ward-euclidean-5,77.72854905106439,0.13759209
Agglomerative,ward-euclidean-6,73.92290043888529,0.1255893
Agglomerative,ward-euclidean-7,72.13274188696305,0.1382443
Agglomerative,ward-euclidean-8,70.32067492710975,0.13247873
Agglomerative,ward-euclidean-9,69.7547668999613,0.13592431
Agglomerative,ward-euclidean-10,68.9457270649984,0.1454177
Agglomerative,ward-euclidean-11,68.04175979913764,0.15744919
Agglomerative,ward-euclidean-12,66.9341740480258,0.1664068
Agglomerative,ward-euclidean-13,66.44698932948998,0.16618706
Agglomerative,ward-euclidean-14,65.76625238915697,0.17627639
Agglomerative,ward-euclidean-15,65.50433749937932,0.18203856
Agglomerative,ward-euclidean-16,64.61925654017105,0.19024359
Agglomerative,ward-euclidean-17,64.03411872778362,0.19360937
Agglomerative,ward-euclidean-18,63.74707903644246,0.19980188
Agglomerative,ward-euclidean-19,62.544969364985455,0.20083724
Agglomerative,ward-euclidean-20,61.587120208317266,0.19699836
Agglomerative,ward-euclidean-21,60.81010241727246,0.20299867
Agglomerative,ward-euclidean-22,60.061202545888634,0.20618159
Agglomerative,ward-euclidean-23,59.25327621733644,0.20854309
Agglomerative,ward-euclidean-24,58.55762707325241,0.20837976
Agglomerative,ward-euclidean-25,57.966651149571184,0.21130717
Agglomerative,ward-euclidean-26,57.47612734307054,0.2171971
Agglomerative,ward-euclidean-27,57.103442181420796,0.22096305
Agglomerative,ward-euclidean-28,56.76659626301145,0.22596285
Agglomerative,ward-euclidean-29,56.231847434179166,0.22799866
Agglomerative,complete-euclidean-2,54.58717940549796,0.1413691
Agglomerative,complete-euclidean-3,60.492861566053314,0.1022773
Agglomerative,complete-euclidean-4,49.48313834012319,0.09688426
Agglomerative,complete-euclidean-5,48.069452206440516,0.09573591
Agglomerative,complete-euclidean-6,54.78334040991085,0.10435045
Agglomerative,complete-euclidean-7,51.894396718717566,0.08810648
Agglomerative,complete-euclidean-8,51.3933121417208,0.08281574
Agglomerative,complete-euclidean-9,46.010168526266085,0.079581894
Agglomerative,complete-euclidean-10,44.47299797531622,0.08421855
Agglomerative,complete-euclidean-11,43.90729162726151,0.08313728
Agglomerative,complete-euclidean-12,45.374609379058604,0.09344173
Agglomerative,complete-euclidean-13,44.214527237283576,0.088187784
Agglomerative,complete-euclidean-14,42.66759479070797,0.088749416
Agglomerative,complete-euclidean-15,42.44555594573416,0.09327393
Agglomerative,complete-euclidean-16,42.82315952098201,0.10202233
Agglomerative,complete-euclidean-17,44.54635784657474,0.112465546
Agglomerative,complete-euclidean-18,49.73593669996189,0.15152216
