p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20
-1.0863067,1.3871456,2.3881319,-1.647575,-1.0895625,0.7888788,0.0799082,-0.8624464,0.8022592,-1.3460861,1.0308697,1.2341331,-0.2214355,-1.5537595,1.0384232,0.7660574,-0.5165758,-0.5456291,0.18968971,0.49464524,0.33550283
-0.8700471,0.35615185,0.8730973,-1.0037516,-2.2289393,-0.9137166,-1.0110645,-0.6027746,1.5685576,-2.5265884,1.7487223,1.1812067,0.70700103,-1.2157457,1.8388134,2.549918,-1.3061372,-0.6773004,0.12870884,1.405112,-1.879497
-1.3422493,-0.3829136,-0.47158116,0.01159309,-0.54847705,0.6479195,0.6194782,0.008501589,-1.0646464,-1.0831784,0.53787553,1.3550646,0.48556843,-1.6069772,1.2642335,0.75791645,-3.368886e-05,0.20930538,-0.20382313,-0.25201204,0.65252453
-1.177603,-0.4299295,-0.36931053,-0.24396798,-0.54493177,0.6596149,0.6546439,0.064475976,-1.062401,-0.98976225,0.5649609,1.3783653,0.53033364,-1.3079511,1.1137426,0.868599,0.14649504,0.10944956,-0.29106584,-0.17689359,0.88433844
-1.3279696,-0.43104252,-0.1333893,-0.31987515,-0.47733617,0.71585125,0.61536217,-0.12228894,-1.0956088,-1.0573101,0.35499832,1.5809996,0.564995,-1.5156367,1.2055743,0.97616243,0.22340314,0.13424993,-0.23743777,-0.14589088,0.7445566
-1.1241554,-0.8252593,0.05594168,0.17044291,-0.84771657,1.1554499,1.5231326,0.19451311,-1.3796577,-1.6087625,0.8192645,2.0375166,-0.83824635,-1.8215897,1.0519196,1.4332958,0.25978497,-0.10818586,0.19318959,-0.12887648,0.2979065
-0.26030576,-0.5107237,0.61919326,0.22656994,-0.4056977,-0.80993026,-0.7525714,0.5426697,0.6516013,-0.5362821,0.46834123,0.9026035,1.0310388,-0.26013952,0.92129135,0.62168187,-0.5181868,-0.593597,-0.022597725,-0.66019994,-1.2968055
-0.30620378,-0.41626942,0.83048326,0.14073056,-0.43155116,-0.97606635,-0.8559199,0.5889005,0.6482259,-0.73015124,0.61317235,0.99270636,1.0691737,-0.32536516,0.8663408,0.9867421,-0.6855466,-0.68122405,-0.06281384,-0.4914803,-1.5074582
-2.7316344,-1.1047847,2.409821,1.1574447,0.183319,0.17986608,0.71383023,0.6617315,1.822356,0.8601986,0.6648453,-0.11752943,0.72992367,0.06743962,-0.07376984,0.29507947,-0.50497663,-0.15020308,-1.7042681,-1.5359204,-0.57813257
0.19124252,0.7403923,0.16379558,1.5505981,0.32839164,-0.5165262,0.6170067,1.2052882,0.7332001,-0.44767138,0.6688101,1.4826542,-0.4365284,0.24716753,-0.64443195,-0.6336184,0.22312713,-0.68267393,1.5173564,-0.49327734,-0.6930657
-0.46624526,-0.04782281,0.2277948,0.6040431,-0.7395247,-0.8611612,0.55369407,0.82053006,0.7950708,-0.91658264,0.9804628,1.4610665,-0.47628984,0.23090807,-0.3653019,-1.2619469,-0.6486319,0.1235528,0.8869072,-0.16474703,-0.60136455
-1.0668039,0.5712696,0.6387991,0.93377924,0.5095855,-1.1268672,1.2779676,-0.70635587,0.9911354,-1.4896994,0.8200069,-0.091925696,0.5370885,0.939303,1.569784,-0.28121078,-0.74156994,0.12680875,-0.8952494,-0.09252754,0.16038966
-0.669074,0.87890846,0.6260512,0.85802704,0.3538117,-1.0254899,1.2670164,-0.6782347,1.1628205,-1.2551098,0.70874214,0.27614895,0.91485167,1.0396447,1.3886596,-0.48420545,-0.5286419,0.58685267,-0.80611527,-0.6532104,-0.2145246
-0.5561778,-0.18969806,0.98803943,0.3272895,-0.33227438,-0.39721075,-0.2760513,1.6879283,0.103077486,-1.1460615,2.1690733,-0.30978757,0.10174009,-0.47760203,0.33652666,0.35904324,-0.5960871,-1.0010518,-0.6014573,0.3985935,0.008838169
-0.37374333,0.39469185,-0.6299583,1.2664586,-0.49592677,-0.6980533,-0.051011473,0.6743644,-0.15919326,-0.57960016,1.0479214,0.4623381,-0.54087526,-0.9533655,0.75395393,-0.16650559,-0.35354838,0.19418062,-1.2810749,0.4910265,0.4136953
-0.7748641,0.804389,-0.2260508,1.2127597,-0.4708896,-1.475266,-0.30845678,0.6789178,0.043202892,-0.6574045,1.0423483,0.25012195,-0.13281855,-1.4006975,0.68634516,0.017986076,-0.62978244,-0.03544485,-0.42135435,0.83804595,-0.10488593
-0.51513416,-0.1792975,0.9804915,0.36063424,-0.3463665,-0.37604642,-0.21641542,1.6364228,0.18053184,-1.0209068,2.0511339,-0.3215037,-0.030303143,-0.49885225,0.34931347,0.44511846,-0.69321835,-1.0213147,-0.75305235,0.4325478,0.13896859
