p_0,p_1,p_2,p_3,p_4,p_5
-1.1920865,-0.14473662,1.7784768,-2.0850282,1.6213362,-0.531196
-3.3424006,1.3751265,0.9868688,0.65741664,2.2885692,-0.11676922
-2.960384,1.6749849,0.7957639,1.0699018,2.45263,-0.0136892665
-1.1578956,-0.37640294,1.2552571,-1.5196263,1.563234,1.1868538
-1.3299856,-0.48201856,1.2852622,-1.3530713,1.4259533,1.373831
-0.7138983,1.6769738,1.5565568,-2.50656,1.8178405,-0.95429856
-0.45462248,-0.0123278545,0.5482583,-1.014591,1.2121981,0.19457185
0.7233096,0.66212624,0.7866501,-1.3280513,0.7552128,2.8884099
1.6196357,0.3919264,2.2131433,-3.3733017,1.2082013,3.562196
2.0382278,0.54124695,2.559631,-2.7940555,0.8157044,2.8928068
0.8357132,0.7475545,2.0327773,-2.0965006,0.32458925,1.8985441
-1.9163516,1.9537439,0.560612,0.6341918,0.5511404,2.4446216
-0.58292407,-1.4762415,2.1853957,0.34182447,1.8354656,-0.41793895
-0.33886877,-0.96214956,1.8702675,0.4104074,1.7152952,-0.74566257
-0.6779339,-1.0732722,1.8916013,0.3394498,1.5498568,-0.48553887
-0.5424883,-0.9904153,1.7769579,0.20694847,1.6786821,-0.57216454
-0.7329751,-1.9408824,2.4752557,-0.73291504,2.5483577,-0.6490159
-1.0315557,-1.8492656,1.9277556,-0.82379884,2.2023435,-1.0249462
-0.9597892,-1.8386164,1.9334811,-0.7851425,2.3256633,-1.2109531
-0.18425746,-0.34655997,1.3375489,-0.027694155,1.3500086,-0.5766156
0.16855282,0.034284413,1.5239943,-0.03058251,1.4734954,-0.9974198
-0.11215972,-0.054316547,1.3158509,-0.10669896,1.5448486,-0.86616355
-0.08239757,-0.09944015,1.3508538,-0.418756,1.592469,-0.7316012
1.9901146,1.352837,2.3165646,0.76662713,0.18334682,0.26294652
2.6407092,0.5868888,2.6332014,0.50079215,1.0203695,0.4361615
-0.8750746,1.1792984,1.3457173,-0.059639975,-0.9112597,0.31060293
0.627842,2.5179038,0.7024882,0.8092828,0.88786244,0.5535846
1.9569817,1.0907896,1.6863626,0.62782323,1.4087493,0.21978591
-2.4404545,1.2195443,0.6214397,-0.10726636,0.46233884,2.1369045
-2.1895742,0.73125595,0.66458267,-0.8385622,2.4882395,-0.9422767
0.44963974,0.7750894,0.543351,-0.37170482,3.601548,-0.16633333
-0.38965246,0.3446093,1.4581134,-2.1596231,2.5613618,-0.91215986
1.1859665,-0.33071697,2.4101074,-1.4842111,2.209892,-0.79149646
1.383449,0.9635292,2.9772778,-0.9062818,1.1063378,-1.1381162
-0.30197966,-0.76259345,1.6173466,0.7681908,0.27003688,1.2094626
-1.1704032,0.09078686,0.8147376,-0.60391146,0.35773066,2.4706714
-0.37378752,-0.83701235,1.9429917,-0.51960075,0.28892672,2.925499
-0.11753355,-0.48525846,2.3133109,-1.0576273,-0.5893116,2.775413
0.9054107,-0.58427423,2.3035998,-1.0788941,-0.07285019,2.8612192
-0.49611658,-1.3062867,2.3223443,-1.0116663,0.80531996,2.5699136
-0.92449313,-0.74932384,2.5253773,-0.63634115,0.15825453,3.520519
-0.72311693,-0.958051,1.1734015,0.6050091,1.0328311,2.2029498
-0.5376598,2.3958397,0.22690722,-0.60941976,1.0790025,1.2745811
1.2435063,1.121921,2.6348536,-0.7159381,-0.39005476,-0.36664328
1.1062528,1.1029252,2.933881,-0.18366873,-0.09293303,-1.4931499
0.7460346,3.214041,3.1528986,0.23397249,-2.1072257,1.6461471
-1.3453661,0.17661346,1.1862276,-1.1576583,0.46316552,2.0454612
1.1770042,0.6597705,1.7980179,0.577577,0.16990899,-0.14038467
-0.9649116,1.3955863,1.6802475,-2.4925668,2.1753032,-0.9381356
-0.28096944,1.014174,0.15757683,-1.2044808,0.8645013,2.0413277
-0.97603035,1.2163694,0.2818149,-0.38265234,2.1298459,2.3923633
-0.621557,0.9073869,1.3260167,0.20715183,-0.14258382,-0.09366275
-0.13221502,-1.5323389,2.5322444,-0.8016058,1.2406061,-0.1027765
-0.37064946,-0.13843,1.1236105,-0.26223323,1.3244061,3.2713902
-1.6424633,0.6811764,1.5043602,1.0001345,0.5822409,3.7141042
-0.5169426,0.4819742,0.9066949,-0.61284864,1.8514068,3.0111244
-1.8447931,1.1448238,1.2280709,0.9919006,1.2087568,3.4298067
1.6390344,-0.3721754,2.230697,-0.30316782,2.1691961,-0.5793725
1.5438653,-0.46344575,2.0311701,-0.2422745,2.003825,-0.5931417
1.1851035,-0.36362934,1.7632655,0.13356397,1.8623991,-0.34770483
0.13696635,0.6568404,2.617494,0.97583705,1.9582384,-2.0571725
-1.241329,-0.22420338,1.0950093,-1.3810976,1.5686688,1.1667563
1.4700857,2.679908,0.17838708,0.49706993,3.185195,0.6091639
1.4385537,2.5838172,0.12959404,0.36380213,3.177983,0.724082
-0.89141065,0.31327915,0.9119352,-3.6109493,3.725471,0.84575015
2.0488112,2.0289366,1.7874023,1.3225546,1.9762636,0.37283063
1.2877036,0.11580541,3.2156892,0.09039022,0.48167378,-1.8256623
0.031580765,0.019009216,2.0712569,-2.1208045,-0.3859545,3.2093184
0.038007904,-0.43537936,1.6099912,-2.3577483,2.396017,0.15978509
0.3218335,4.233418,2.7711983,2.903484,-0.95641685,2.814717
1.5321448,3.6194866,1.4304491,-0.5656291,1.2341675,-0.05077158
1.0596966,4.0158067,1.4574772,-1.0416863,1.2816265,0.3762359
-0.029429104,3.9157782,0.70489,-0.082931034,1.5526874,0.21265627
1.368445,1.2085011,1.4941939,-1.6399424,1.3355229,0.6243946
1.2789599,0.9479416,1.0014058,-3.2320414,1.0142953,0.9930527
1.7480243,0.5469129,3.0223217,2.099307,-0.88592684,1.5184878
0.9387095,0.82923514,2.8195772,2.0167878,-1.3887222,2.8272274
1.695495,0.8208682,2.9838076,1.9969778,-0.78765774,2.5917032
0.35417378,-0.26517293,3.3976657,0.32413033,-1.2787259,1.0817866
-0.14283219,-0.16045144,3.0905828,0.08186832,-1.4481252,2.7104006
0.33746818,0.17199506,3.9522963,-0.95037615,-1.0542347,1.9878144
-0.51573706,1.7849262,0.31174842,-1.3747531,1.0230434,1.8591616
0.55863583,-0.42396295,0.83671325,-1.6622295,3.6044238,-0.44255528
0.012556121,-0.10537858,0.84853345,0.057472363,3.3832128,0.22964746
0.14667928,-0.13232532,1.1133108,-0.04067175,3.2096925,-0.0012843955
0.6362212,2.536225,1.7109089,1.8055519,-0.121192425,1.4637628
0.077983946,-0.7881439,2.6300402,0.7905494,0.09448261,0.14729682
-1.3443547,-0.40926662,1.8396453,-0.21310633,0.21455207,1.4732726
0.6142849,-0.09294842,3.2324255,-0.7165344,-0.7564622,0.3815718
-0.63563263,-1.0160003,3.4560988,0.6649738,-0.30993143,0.815358
0.3885094,-0.16017382,3.3764796,-0.6895054,-0.7474184,0.31969315
0.3284045,-2.0254877,2.2671218,0.010446372,0.07796322,1.5143837
-0.29770246,0.01104974,1.1552219,-1.9643807,0.5726526,0.8786119
0.5281981,2.2137249,1.5555613,-0.8085805,-0.1074838,3.4595952
0.6251592,2.350344,1.4191487,-0.84430605,-0.012936866,3.5451844
-0.4089482,2.0594401,1.0598067,-0.40732905,0.5509238,2.864097
-0.58155245,2.0808578,0.86412907,-0.43092257,0.5310255,2.7869027
-0.15683962,1.6766044,0.28647947,0.31790146,2.2967408,1.2703373
0.5477024,2.4465747,0.4594287,0.695695,1.7117654,1.0532135
0.6286483,3.3362372,0.7836836,-0.30647004,1.318502,1.1018069
-2.3476822,1.1773283,1.0171641,-0.25389695,0.15900087,2.3093772
-0.019404758,-0.75749725,2.6257162,0.89281297,0.11829721,0.20759521
0.12986667,-0.70721835,3.4854228,0.11129505,-0.46962655,0.39311522
-0.68909466,-1.1194576,1.7068939,1.1023881,0.9423268,1.4452033
-2.3373222,0.38627094,1.8989288,-0.35592815,-0.39171737,-0.29919118
-2.6237357,0.4566937,2.017526,-0.44343734,-0.36115023,-0.13317618
-1.8130543,0.42149255,1.6729995,0.14206834,-0.47781903,0.6054867
-1.6263033,0.18607341,2.185,0.29628244,-1.2559074,0.67071486
-2.0780835,0.32930937,2.1412318,-0.17831996,-0.45927757,0.6245813
-1.495252,0.3425934,2.7559333,0.090208784,-1.4908901,0.7615224
-1.7206961,0.382743,2.5461721,0.45879924,-0.97543603,0.89589095
-1.1792058,-0.18717037,2.4805546,-0.18256739,-1.1856791,0.688187
-3.2555861,3.1010802,1.667032,0.08155486,-1.0735588,1.8495291
-2.0841007,2.6033425,1.760332,0.12400207,-1.3687395,1.708534
-2.1628828,-0.3082836,2.9334188,0.58380175,0.23389597,-0.042655025
-2.5839796,0.0008024802,2.1162226,0.26889035,-0.14680827,0.20415938
-0.015423465,3.1496644,1.9625887,1.1610296,-1.1020229,1.936964
-1.8162242,0.61138046,1.4788358,0.24548979,-0.29466403,0.21510825
-2.0080972,0.80812114,1.7092474,0.46981597,-0.43713683,0.77994585
-1.7789524,0.6321257,1.5073957,0.12672769,-0.20058209,0.60155195
-2.2262237,0.8143833,1.902604,0.31229413,-0.44666177,0.5559553
-1.7725743,0.809323,1.296815,0.40398952,-0.33975047,0.7593977
-1.8340126,0.65620404,1.7006367,0.5107732,-0.42099795,0.47507995
-1.9514065,0.93798214,1.6940504,0.23927484,-0.41381145,0.5773926
-1.7531894,0.70432895,1.5493487,0.36807403,-0.40690836,0.6000516
-2.2328167,0.896647,0.71689063,0.39447922,3.2821944,-0.5647425
-3.741462,-0.5540862,1.4874785,-0.9371245,2.543252,-1.7436289
-0.18533042,0.15620606,2.5314524,-2.515987,-0.46793297,3.208702
-1.3828589,0.9030789,0.70719874,0.35841936,0.520259,0.7160528
-0.8602872,0.35734823,2.8180873,-0.024283966,-0.9379132,2.1947112
-1.6201392,0.3730748,2.2212937,0.28736362,-0.9442833,0.86693984
0.46780494,0.51484716,0.62334764,0.7052667,-0.31429493,1.2521299
0.99098516,0.003346431,2.3688407,0.30532977,-0.59702533,3.0041747
-1.1025068,0.15211007,0.71355623,-0.88049185,1.8105505,1.7038352
-1.9486766,-1.0064893,2.366423,-0.8243803,-1.3604801,3.7315202
-1.5088344,-0.6803684,1.1849667,-1.4542339,2.521983,3.604442
-1.9193254,0.68234277,1.1519307,0.3341009,1.2958181,2.1957712
0.43167907,1.860779,-0.7386022,0.73196644,3.72625,2.8113763
-1.6540807,-1.1606457,3.5025685,0.7189504,-0.34808978,0.522851
-1.5479873,-1.1755145,3.691103,0.5085571,-0.42161992,0.31390032
-2.1967156,-1.0092252,3.3587732,0.80786335,-0.4826765,1.4482826
-2.0364306,-1.0113839,3.378638,0.50439954,-0.6602435,1.1431843
-1.4181525,-1.0620697,3.8686976,0.3891819,-0.42191228,0.4837728
-1.4408957,-1.2834414,4.0302496,0.18446937,-0.34949023,0.27591702
-0.24674982,-0.0072193905,2.7841504,0.9049427,-0.60653305,0.2180131
-0.29495516,-0.1598732,2.60292,0.58496577,-0.33505398,-0.061949287
-0.14844681,0.091426305,2.6527016,0.89158607,-0.3059907,-0.17163172
-0.6833793,-0.11724889,2.5859573,0.9274793,-0.62155426,1.1012125
-0.97092855,-0.03239177,2.2406588,0.7756892,-0.55261916,1.0963006
-0.5890096,0.027914634,2.2358205,0.8730453,-0.39741468,1.006345
0.07018643,0.0462295,3.3374193,0.5224767,-0.7304926,0.13323502
0.06267713,-0.042377114,3.3181534,0.54189485,-0.52654624,0.025232954
-0.20587032,-0.0020212464,3.0476682,0.42052615,-0.33937773,-0.31007782
0.22743568,0.089126915,3.0771985,0.45558506,-0.34894502,-0.218021
0.6580368,1.3355414,0.32329455,-0.9961718,1.2429972,2.2157803
-1.9512938,2.0124888,0.5425904,0.64418805,0.7443162,2.3966517
1.4247943,2.65603,3.0054452,1.2316064,-1.3419691,2.0570624
0.59528935,2.5393083,2.1044261,2.0507565,-0.16267231,1.5357938
0.7432307,2.7070749,1.8109101,1.6608038,0.20740236,1.6277308
0.27117747,1.5320089,2.707784,2.468731,-0.5396798,0.5774605
-0.43410367,1.4576367,2.2635553,2.3951316,-0.8623691,2.2212498
0.7351155,1.2189832,3.0177538,2.1741748,-0.6862553,0.7575323
2.0165205,3.2760017,1.2132972,0.5146718,1.5593343,-0.042214487
-0.3985814,3.010491,0.8838642,2.527142,-0.41213575,0.04382601
-1.711363,2.026854,0.5473553,-0.4274802,0.63594186,0.6332344
-2.117186,3.0409534,0.18068466,-0.81141883,1.7601522,0.73761046
-2.7460945,2.3815315,0.72161233,0.5957384,0.9029154,2.0886006
1.2029166,0.69486654,1.7314479,0.49878502,0.18492591,-0.048174072
-0.4159765,-0.512546,1.2289175,0.6795719,0.36806428,1.2116472
-0.66111344,-0.32790738,1.3081887,0.5841028,0.2130848,2.2588165
-0.28816557,0.123220384,1.4842919,-0.3176409,0.3759505,3.1576238
-0.44566083,-0.0955918,0.5590575,-1.0907902,1.0794233,0.24421284
-0.5469405,-0.11907536,0.54445773,-1.1711646,1.433923,0.28469643
-0.31663206,0.4410082,1.9674146,2.3683214,0.699263,0.48625192
-0.19951014,0.45104384,1.8381636,2.152731,0.9368513,0.54846853
-0.13490334,0.48023564,1.8508092,2.295024,0.8164507,0.90885705
-0.30824724,0.5524235,1.9383098,2.324235,0.83943665,0.39571437
-0.5511833,0.228935,2.0588348,2.1427355,0.8102425,0.51298296
-0.40919518,0.5011563,1.884023,2.173022,0.9098164,0.33645442
-0.86466837,0.07245196,2.3678544,2.9120677,1.3961523,0.37017265
-0.31507367,0.41167638,1.9709791,2.3042517,0.7530452,0.76288575
-0.22316833,0.79929,1.6706295,2.1720986,0.5223649,1.437377
-0.3308986,0.4164859,1.9493178,2.2943008,1.0621275,0.31261835
-0.27209434,0.3645046,1.9501745,2.1809776,0.80917037,0.46242887
1.2585943,0.91555005,2.498853,2.912772,1.9160001,-0.05922732
-0.3489406,0.21701278,1.9422513,2.1126266,0.67784137,0.80423725
-0.96941763,0.69986236,1.5581586,2.2326512,0.9463986,1.3715968
-0.8118218,0.60034543,1.4672573,2.2129157,1.0370994,1.618097
-0.72767234,0.9620792,1.4191473,2.0929403,0.90428674,1.6930374
-0.6086656,0.76630354,1.5719391,2.2597976,0.64097303,1.245108
-0.78289866,0.5816555,1.629416,2.0422935,0.84236807,1.4274931
-0.65308934,0.70179766,1.5096524,2.12339,0.85427064,1.3783182
-1.3297,0.1758334,2.0747561,2.7526407,1.3591411,1.0471004
-0.66129607,0.5960604,1.5775535,2.1061609,0.67504966,1.3998432
-0.5459918,1.4152893,1.3025899,2.1647646,0.69271916,2.0431468
-0.6587613,0.67725015,1.5480654,2.161352,0.9818568,1.2874233
-0.5547381,0.632233,1.5138215,2.1632776,0.8495833,1.1961286
0.79537123,1.1755449,2.0469286,2.9206984,1.9793597,0.90991896
-0.82580876,0.43595508,1.6620054,2.0323718,0.80675995,1.5894887
-1.0492357,0.83078665,0.8411279,1.6755048,1.7799081,1.236115
-0.9093582,0.8038416,0.83097744,1.7004603,1.6429328,1.5064596
-0.8306219,0.8677375,0.7711917,1.6091884,1.4845234,1.8472389
-0.86096936,0.7873469,0.93909615,1.846743,1.4116488,1.3210472
-0.98870885,0.56572455,0.9417567,1.5955427,1.5284237,1.1514819
-1.1513497,0.67585874,0.92189604,1.7151834,1.359235,1.2459528
-1.479279,0.22768563,1.5055236,2.3840082,1.9568762,0.97328615
-1.1027559,0.79226625,0.7894752,1.7123978,1.3903973,1.5405794
-0.75724596,1.3128746,0.54507685,1.5203148,1.3124591,2.256993
-0.8656117,0.7237695,0.97771776,1.7981234,1.6180608,1.1091955
-0.76853436,0.66884273,0.8477097,1.6924278,1.6085316,1.1919323
0.35797834,1.1632215,1.1317393,2.440954,2.7517378,0.9741183
-0.8977592,0.44359,0.9347865,1.4564105,1.6397879,1.579938
-0.1948839,1.6231734,0.39981338,0.35153863,2.2046618,1.4675542
0.39783618,2.4904983,0.54346794,0.6980492,1.6163137,1.0654281
1.511369,2.4975576,0.53845686,0.95363057,2.848516,1.2338887
-0.58292675,1.5935537,0.47970903,-1.1913196,1.3122513,1.1349138
-0.21211952,1.7106456,0.36096087,-1.25842,1.0945361,1.3248758
-0.36547086,1.5039401,0.25113595,-1.3069681,1.1477016,1.26878
-0.41761884,1.6237496,0.41741243,-1.2421075,1.2533275,1.2845681
-0.35451534,1.4688146,0.27740055,-1.4090195,1.1477851,1.23075
-0.47579786,1.5961354,0.36993343,-1.3240843,1.2341291,1.4705302
-0.15101437,1.7293774,0.4317866,-0.9348344,1.441626,1.9216601
-0.34149063,1.5136489,0.3229178,-0.6392221,1.2744424,2.1593354
-0.35636535,1.6270473,0.35148475,-0.7928191,1.230242,1.9674392
-0.45404252,1.5640103,0.39340582,-0.6956529,1.2430178,1.9450161
-0.3185885,1.5515573,0.37341392,-0.93539965,1.5149838,2.0752695
