p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14
-0.5813269,0.6122425,0.4171993,0.33865526,-0.5174568,-0.16568263,0.11395129,0.33546683,0.16696827,0.5018907,0.9957564,0.6950039,-0.10255467,0.15428798,-0.88754296
-0.5915683,0.6719045,1.0416505,-0.18088949,0.26679006,1.0869946,-0.45318317,-0.71374893,-0.6312766,-0.090922,1.8086444,1.4938846,-0.71600676,0.87477785,-1.1149681
-0.91600347,-0.93951505,0.8768329,0.051853053,0.9421716,0.1986691,0.16603853,-0.44269252,0.25872004,-0.08973313,1.4460112,0.8099705,0.96192056,-0.60132015,-1.1663098
0.14962822,-0.05306782,0.69303375,-0.75833213,0.09464311,0.7131092,0.079889335,0.35556704,0.5630843,0.3872639,0.72520566,0.38816166,-0.071673095,-1.4776694,0.015487134
0.031849876,-0.25586277,0.89345425,-0.28140217,-0.4536926,0.74259156,-0.43396807,-0.4714826,0.7756343,1.163218,2.002607,0.07863236,-0.37337297,0.094878554,-0.8020969
-0.8320699,-0.65262604,0.9358984,0.009873637,0.7861403,0.9587854,0.24709585,0.27774802,0.21494637,-0.4158172,1.5734953,0.38434425,0.69019115,-0.5395285,-0.8272349
0.23089339,0.13721627,1.6108414,0.23376009,-0.5056162,-0.63943344,0.50064546,1.221405,-0.10108689,1.2915035,1.1742605,0.8462658,-0.61098796,0.7902083,-0.7075186
-0.2678116,0.5880783,1.092427,0.6701898,-0.19355382,-1.0314496,0.66014403,-0.5885197,-1.6180167,1.3813711,2.1512587,0.03491594,0.91083276,-0.10338243,-0.13368562
-0.6364065,0.59381866,0.95716715,-0.20175508,1.7554436,0.4095356,-1.7911371,-0.41316104,-0.7276864,0.9797503,1.2484062,0.27789026,0.53025734,0.6228511,-1.2049643
0.3553659,0.19054966,1.2717186,-0.23708604,-0.6341503,0.27901444,-0.6805538,2.0040016,1.8907974,0.8143471,0.6768473,1.6409279,-0.042720716,-0.053753883,-2.296619
-0.3839361,-0.2754445,0.36000648,-0.9414691,0.19349012,0.9119301,-0.31378293,-0.38873717,1.2857473,0.6395854,1.4652721,-0.64521277,1.2323161,-1.257931,-2.1757798
-1.3741817,-0.5648597,1.1882975,-1.3050886,-0.5564216,0.30132267,0.5363804,-0.7565639,1.4534038,0.5797298,0.9257646,-0.41814142,1.2141407,-1.418088,-1.1684912
-0.5828696,1.5192667,2.3234165,-0.7072299,0.7443944,-0.26161352,-0.43439493,0.5000799,0.37793386,-1.166943,0.1323166,0.7813227,-0.046394948,-0.77687997,0.72465044
-0.1426702,0.70991004,2.5606408,-0.16713223,0.6855891,-0.034041125,-0.22179262,-0.007912626,-0.11087938,0.25270006,0.2602647,0.6916211,0.10946612,0.5811914,-0.5825633
0.29940313,0.49936438,2.8643665,-0.29631823,1.2815104,-0.46383372,0.47698,-0.31842995,-0.77480036,-0.35323384,0.46381345,0.7834941,0.22701868,-1.3470354,-0.09399446
-0.054427665,0.33771154,2.2710743,-0.09894464,0.8518446,-0.21228237,0.057578247,-0.12824936,-0.9962986,0.25552842,0.4099294,0.71947414,0.019219285,-0.61987513,-0.5811398
0.27761105,0.22608459,2.6863222,-0.217025,1.1496238,-0.09158317,0.59303015,-0.61063325,-0.6728994,0.3489436,0.58369255,0.63843495,0.18905357,-1.3612143,-0.16250262
0.8693531,0.73797613,2.958841,-0.5522078,1.7582178,-0.59821296,0.36529455,0.8902253,-0.07573399,-0.97291565,1.0118986,0.5820844,1.2290126,-0.5520746,-0.1414215
0.34184545,0.46074253,2.8068461,-0.36587873,1.1103792,0.032883216,0.16395597,-0.04625286,-0.7629961,-0.022160769,0.86368346,1.1436973,0.057817176,-1.2335148,-0.4326538
0.231314,2.004552,3.0024772,-0.42787308,1.0243942,-0.4548689,0.4048967,0.4009855,1.1303165,-0.68226796,0.27720615,-1.2644932,0.6113083,-0.40393686,0.32367826
-0.15418814,0.5030522,1.6862416,0.5311244,-0.9924858,1.3767753,0.08742402,0.1841646,0.5464057,-0.34823167,0.25907248,1.2181516,1.1350988,0.29983142,-1.4551016
-0.35235202,-0.07611035,0.9921075,-1.4698402,0.44032738,0.20769614,0.044182606,0.41529658,-0.9162768,0.6336322,-0.31864262,1.2147721,0.25852808,-0.9754059,-1.8802261
-0.3849817,0.45328593,1.028252,-1.3614383,0.1128646,0.16091533,-0.75696,0.62118036,-0.6408228,1.1534626,-0.7047487,2.076213,-0.29289693,-0.96686953,-1.1842375
-1.4748806,-0.945643,0.67573905,-0.37170446,0.93632877,1.7392735,0.5533255,0.69563556,-0.007191338,-0.32559898,0.71938366,2.099283,-0.075130545,-2.6168432,-1.7464464
-0.62657374,0.07859238,1.1568829,0.47082248,-0.47705624,-0.5746575,0.55119854,0.42555168,-0.47966564,0.599602,0.99809235,0.60100967,-0.6224033,-0.3247285,-1.4933262
-0.6800452,0.55616796,0.45051414,-0.15825723,0.07799116,0.63725483,-0.42089877,-0.16869739,-0.3138964,-0.13458033,1.455006,0.8619694,-0.21734649,0.6406764,-0.21822587
-0.87083936,0.20085032,1.1627727,-0.13970058,-1.2120895,0.49973017,-2.096001,0.82866675,0.3680681,1.0562869,2.060833,-0.2913072,1.2369022,-0.9695775,-1.2675289
-0.7098766,0.5157775,2.6179328,-0.3168602,0.99856514,-0.64441717,-0.5605732,0.12523355,-0.99550736,-0.861289,0.664149,0.47583488,0.5659743,-1.0738704,1.1416372
0.5050247,0.619521,2.3789504,-0.37048417,1.1557662,0.01311611,-0.9106141,0.22224773,-0.6857118,0.50185,0.5345456,1.1703132,-0.63893515,0.08091281,-0.87446475
