p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18
0.09908016,0.22005226,1.1246951,0.5081149,-0.42527112,0.14204213,-0.28844565,1.1161041,0.76507944,-0.6667831,-0.02612288,-1.799067,-0.7250096,1.6072617,0.3830526,0.023952166,-0.045958105,-1.0822722,2.2116122
1.036314,-1.5271115,0.075195216,1.1716294,-0.3082213,-0.16875395,0.016113618,0.8618978,-0.022250136,0.59204555,0.42987764,0.19050637,-0.9033904,0.9643969,0.31566712,0.37978798,0.36023036,-0.14358188,0.09894613
1.0770605,-1.3978822,0.1574004,1.2079839,-0.3395569,-0.14970881,-0.04007118,0.9849565,0.015894337,0.542886,0.42827624,0.1894193,-0.89072704,0.9317701,0.3321865,0.4561065,0.28207856,-0.35689017,0.072466865
2.0278172,-1.2843232,0.8938568,1.2575701,-1.1558993,1.1902566,0.52301633,-1.1899537,-0.75623614,0.7397536,1.7328511,0.18021473,-0.56228614,0.9477761,1.7820644,-0.62309337,1.2263172,1.0419848,-1.3689984
0.40969563,-0.4758864,0.60936517,0.65506226,-0.9960545,0.5830933,-0.14751954,0.3766807,0.2796757,-0.21905822,0.3238087,-0.75164664,-0.88136107,-0.57006294,-0.4037407,-0.6334304,-0.42072988,0.20767048,0.184044
0.62011427,-0.3771729,0.32646203,0.50628775,0.42918888,-0.5241374,-0.4642689,-0.076070786,-0.06716522,0.28265718,0.49372992,-0.2939472,-0.50471735,0.4514549,-0.14485219,0.11389617,0.37975454,0.65339667,-0.12567055
0.47384772,-0.34925526,0.31241181,0.40054673,0.32038006,-0.3564215,-0.31834343,-0.021148983,-0.11207988,0.16919664,0.40952808,-0.23031586,-0.3383168,0.40429425,-0.15777403,0.08326517,0.23903105,0.46429247,-0.087129116
1.1892622,-0.10345492,0.3162445,1.4589208,-0.097657815,0.7396932,-2.074158,-0.22808476,0.44565842,0.02795667,1.0993007,-0.68536437,-0.36081257,0.80960053,0.34189335,1.5584291,-0.08442526,0.13880855,2.6852965
0.45148608,0.17542213,0.34111542,0.7986403,0.074849986,-0.27726677,-0.18991257,2.006567,-0.9670101,0.08882966,0.12033579,-0.9260549,-0.69680196,-0.11249821,-1.3708637,-0.38490462,0.12533346,0.60935265,1.030336
0.83682173,-0.59741074,0.20911752,1.0203518,-0.00957727,0.2360989,0.29330933,0.08511411,-0.6103449,-0.28806043,0.5551995,-0.62125134,-0.44659063,0.5777231,-0.47723672,-0.31860593,-0.62899077,0.4650143,0.75950444
