p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21
-0.7967065,-1.556188,0.8761652,-0.22042964,0.7919524,-1.0679721,0.39414224,0.6811029,-1.0535722,0.22147475,1.2265744,0.6551385,2.1220238,-0.14544448,0.5917792,0.4462192,-0.35643202,0.01301089,-0.039161645,0.6626528,0.21042821,0.6363072
-0.20913838,-0.4638623,-0.47195992,0.36994842,0.117811665,1.4010794,-0.037922718,0.7571637,-0.81696725,-0.55734545,0.154268,-0.12558605,0.6076438,0.19647758,0.92062235,0.9862316,-0.58272135,-0.38141996,-0.07835055,-0.172331,-0.28240034,-0.68193364
-0.168125,-0.46771047,-0.472471,0.39565608,0.25448313,1.3177956,-0.08400798,0.7936374,-0.9583189,-0.51330155,0.20843738,-0.12858407,0.60424906,0.3568118,0.97852165,0.8364656,-0.5616998,-0.3702523,-0.10462788,-0.20747851,-0.29218453,-0.7666453
-0.384807,0.45199925,0.5085425,-0.24626197,-0.4532026,0.6001239,0.20301425,1.3352668,-0.4980819,-0.35868648,-1.7739769,0.22463991,1.262534,-0.5392454,-1.1717613,2.1680827,0.8708114,0.14010437,-1.6956979,-1.9433801,-0.42574126,-0.22788408
0.8789827,0.88348746,-0.524523,-0.23327774,0.02571995,0.073265,0.14223327,0.9121011,-0.46938524,-0.010285038,-0.19770475,0.62059206,0.7817747,-0.02003442,-0.0320897,1.3796642,0.21041985,0.39004892,0.35496527,0.29920992,0.052796405,-0.015770502
-0.03899618,-0.23649253,-0.0044206874,0.6175027,-0.3203628,-0.05634463,0.39646423,0.12915881,-0.82157135,0.47409704,0.063810945,0.3594885,0.36925387,0.017812606,0.09407152,-0.13569815,-0.06316945,0.27831993,0.16473858,-0.008963206,-0.13836822,-0.7126016
-0.0041255085,-0.23270778,-0.024097808,0.43291476,-0.22309525,0.009680694,0.3219249,0.16178407,-0.6640998,0.2747589,0.06864732,0.18247454,0.3510873,-0.046779804,0.10935757,-0.05543834,-0.030663764,0.1586826,0.10495296,-0.048971433,-0.020468518,-0.5089823
0.7375415,-0.015053654,0.8849721,1.00373,1.3805859,0.42553374,0.039059464,-0.13309489,-1.5588148,0.91365707,0.03804455,2.0612702,1.0772494,0.619059,-0.5228726,1.8815176,-1.4598974,0.028543342,-0.30254814,-0.43317813,-0.23195443,-0.042486962
-0.2963986,-0.39294145,-0.72150224,0.7870288,-0.29188904,0.13457914,0.87326336,1.6839262,-0.55096,0.73351353,1.0644567,-0.043970685,0.7579151,-0.13490483,-0.29403222,0.085634805,-0.30770174,-0.6267415,-0.3428292,0.008320371,1.2642357,-0.45762318
0.18066077,-0.05106653,-0.39671507,0.8864104,-0.28713247,0.09549368,0.26448122,0.8487692,-1.2151418,-0.15801792,0.50822943,0.42864248,0.57902706,-0.039220378,0.16055058,1.0566498,-0.4322557,-0.03101022,-0.15055281,0.48267895,0.049976453,-0.41693398
-0.42774385,-0.07569167,-0.013534739,0.5275501,-0.55561376,0.3099133,1.0967201,-0.38272107,-0.5806621,-0.7026315,-0.15514338,-0.72022724,1.0671126,-0.08314116,0.52039343,1.4663776,-0.062125213,-0.033317264,-0.19744848,-0.9735821,-0.37843853,-1.0267694
-0.45011225,0.10878267,0.46270958,1.1362942,-0.13502796,0.2794677,1.4090004,-0.522658,-0.08188659,-1.0833118,0.006233247,-0.3612814,1.2375729,0.08023647,0.6677517,1.0872774,-0.54050714,-0.6190596,-0.46482533,-0.83072543,-0.5321551,-0.6378882
1.0648184,-0.9090287,0.2989652,0.55100435,0.053807274,1.5320644,0.80471486,0.6368553,-1.0587909,0.33214763,-0.327104,0.0053996444,1.6634952,1.6092284,-0.17032436,0.5136605,-0.57975334,-0.9716057,-1.8485503,-0.17006591,0.38020015,0.124548234
0.4405818,-0.22711349,0.29836738,1.7283268,-0.9948244,2.3531966,2.5320208,-0.068282016,-0.8944335,-1.0716602,-0.8045084,-0.06554612,0.91295964,0.48984304,0.35925844,1.0781904,0.51869446,0.03732212,0.70549214,-1.8869377,-1.0539944,1.1103874
-1.2863709,0.216658,1.2895849,2.3370411,-0.5623974,2.4753897,3.4464796,-0.92659116,-1.246336,-2.6294599,1.3237542,-1.5068957,0.05506452,-0.53970355,1.2955198,1.2657983,0.4225488,-2.621815,-0.2369782,-1.3954382,-0.29333428,0.4939078
0.35512453,-0.9386504,0.816858,0.98380375,-1.3834999,1.08075,0.5105993,0.10057524,-1.0831938,-0.45279458,1.5891235,-1.1375921,-0.023364019,-0.37992683,0.69420373,1.3874595,-0.021628719,0.07946638,0.04348989,-0.55133474,-0.11798027,-0.67672896
0.30582553,-0.90084785,0.88033575,1.0364813,-1.3577163,0.8051275,0.4679948,0.15899387,-0.8399024,-0.58168113,1.5347296,-1.0096784,0.0025805284,-0.47600803,0.8024696,1.3931035,0.05591483,0.0014046268,0.0039321585,-0.5930695,-0.23281775,-0.3404811
0.27335745,-0.9925464,1.0317948,0.9212177,-1.3324151,1.0556878,0.54675335,0.010828153,-1.0281926,-0.4451475,1.6317066,-1.1732217,0.021629095,-0.47175005,0.8608515,1.4327593,0.36203918,-0.05619662,0.0077233836,-0.54281104,-0.33090332,-0.40141174
1.29615,-0.31690666,0.81460553,0.67652494,-2.173037,0.93407375,1.0036812,0.5943564,-1.5788085,-0.7465146,1.6147937,-1.9047043,-0.058780327,-0.28541505,0.93856674,1.2001578,0.45551673,0.6758294,0.27206782,-1.5434759,0.54651743,-0.316289
