p_0,p_1,p_2,p_3
0.4881411,0.46251124,1.3637784,3.0973315
-0.7750965,1.19403,0.8214981,2.2346725
-0.13536526,-0.8755669,0.8461058,3.7478733
-0.5694869,-1.1820979,1.0972577,4.15358
0.9968066,-0.334939,1.2571813,2.1776938
1.2040627,-0.27448058,1.2293123,2.6892385
1.4245692,-0.23365076,1.560927,2.29263
1.2670591,-0.4668886,1.3424717,2.6824882
2.0677867,-0.26312238,2.0278695,2.9179685
1.347657,-0.2066888,1.4891112,2.6649814
1.1108335,-0.94990563,1.2175463,2.6984982
1.3022337,-0.54041487,1.1755627,2.8061564
0.61329615,0.34911862,1.6574951,3.6428933
1.457547,-0.3864614,1.5224696,3.7730534
2.7107568,-1.2243686,2.810608,2.1175816
-0.0488718,-0.34157157,0.7750607,2.562906
0.19107547,-0.29135713,1.1175293,3.077059
0.094930276,-0.46020326,1.0421901,2.4457085
0.23168956,-0.6227128,1.192957,3.0541568
0.21650523,-0.28316513,0.9241662,2.6667264
-0.12462097,-0.39939785,0.9075331,2.8781385
-0.09085931,-0.6991929,1.0071664,2.9062345
0.085138015,-0.23580594,0.9077698,2.6550846
-4.398026,-0.17198594,1.6405061,0.25843203
-3.4717577,1.0377026,1.9626024,-0.83145577
0.40108803,-0.823145,3.6702592,-1.4925355
1.0739429,0.46593592,1.4794468,0.48373693
2.0153196,0.6961257,3.2596757,0.41390136
1.314343,0.64024746,2.4901917,0.38222224
1.3061959,0.48486084,0.9319839,0.73467755
1.8393037,0.885518,2.788935,0.64222354
-1.197693,1.183382,2.5830636,-0.81626415
-0.34474987,1.6295817,2.0860415,0.07489773
-0.25821522,0.95333666,3.0177085,-1.1701926
0.073469214,1.7730523,2.4650338,-0.73614514
-2.2112625,1.4817921,1.8306657,-1.0082054
-0.54471195,2.4882536,1.8728325,2.186681
-0.18589124,1.9030843,1.6719176,2.4328403
-0.59944975,2.2268384,1.8445791,2.273864
-0.17135468,1.6257489,1.5431166,2.5365498
-0.35148787,2.3125696,1.9874104,2.5893667
-0.075215116,1.8429813,1.7024976,3.0102754
-0.11659899,0.25012353,0.90054387,2.627834
0.012741713,0.28329724,0.92657834,2.3272493
-0.17330728,0.27778903,0.8644145,2.3442469
-0.0011568537,0.15136799,0.97229093,2.7702208
-0.026745126,-0.1604672,0.94601625,2.6255522
0.03848194,0.033380557,0.9696342,2.5386589
0.28751284,-0.077386454,1.1209213,3.3141067
0.19102068,0.09042517,1.1339622,3.2335474
0.11661641,-0.18698445,1.0763221,2.894991
0.38424596,-0.089135066,1.0658805,2.975029
-2.028791,0.26185715,1.8970338,-0.9226842
-1.6341006,-0.8222586,2.1090493,-1.4026437
-0.70754707,-2.9567683,2.3929775,0.91788787
-1.7614799,-2.5115864,1.5745372,0.73155767
-0.42585903,-1.9966823,1.4189359,0.39646578
-1.582495,0.10022264,0.8244842,1.272871
-1.6009758,-0.27090344,0.8725922,1.4602795
-0.9154005,-0.02249651,0.7611551,1.632149
-0.33576575,-2.039229,2.413903,0.4637344
-1.9529452,-1.9247705,0.9013333,1.9933239
-1.2196484,-1.2400467,2.1893353,-0.9881558
-2.0502458,-1.2065173,2.9189005,-1.5446392
-1.7448956,-0.37549683,1.8042116,-0.9055203
-1.3158075,-0.22483438,1.0573379,-0.02331808
-0.111122474,0.8982845,0.964088,1.5731815
-0.05847356,0.64342433,0.9000108,1.8081143
1.412785,0.1719549,1.838106,1.7886075
-1.1718748,0.98446125,1.3399576,-0.05510936
-1.4876428,0.8828474,1.5548444,-0.15951665
-2.2507966,0.61838794,0.8542945,2.0766919
-2.251245,0.5611265,0.93770266,2.0428462
-1.9881194,0.6674336,0.85919,2.292633
-2.0682697,0.72113353,0.9094724,2.0167713
-1.9824711,0.5793356,0.9553512,2.190982
-2.2503777,0.529243,0.9232053,1.9169408
-3.1468322,1.0522496,1.2804613,2.7523904
-2.2679555,0.7146531,0.9181316,1.9819599
-3.0138023,1.1853567,1.3425946,1.9728023
-2.124437,0.6596139,0.9200857,2.0685716
-2.0338376,0.61699283,0.89174825,2.1242986
-2.3867986,0.5197351,1.3271652,2.8129864
-2.075893,0.57479864,0.8222646,1.9892912
-2.3093765,0.4064783,0.8687313,2.2877767
-2.3689988,0.42493165,0.8157451,2.3764932
-2.0777922,0.31203917,0.8961709,2.3770223
-1.9833194,0.3709087,0.72114474,2.3336225
-1.8995955,0.32352534,0.9107062,2.4516177
-2.2527127,0.37635854,0.8191193,2.177507
-3.1405244,0.9462901,1.2605989,2.868681
-2.1603405,0.591563,0.8624547,2.1412928
-3.212611,0.7407622,1.2515408,2.085261
-1.9960192,0.46996275,0.91102207,2.39617
-2.032112,0.4546017,0.75785494,2.2841775
-2.610857,0.2663013,1.3515255,2.9755845
-2.1365054,0.46265456,0.916592,2.2365208
-1.978421,0.44176683,0.9307222,1.9289684
-2.100717,0.41759253,0.83365536,1.8998798
-1.7582196,0.42769662,0.78283674,1.9741468
-1.9360946,0.5037273,0.7724973,1.8935852
-1.658406,0.40778106,0.8042234,1.9653051
-2.1194942,0.37189257,0.760015,1.805223
-2.9404163,0.998231,1.1314857,2.4651082
-2.125145,0.47351757,0.81164545,1.736483
-2.8992968,0.91020066,1.1993313,1.7063972
-1.8918557,0.4293313,0.8134539,2.0107985
-1.7443253,0.39288014,0.7486519,2.0180852
-2.4768667,0.41127264,1.1567461,2.530998
-1.7981993,0.62803876,0.94248754,1.8529087
-1.1575373,-0.84816,0.7731747,2.6513994
-1.1288593,-1.3000462,0.65342957,2.9892485
1.0428298,-0.46895117,1.2963024,2.258656
1.1637769,-1.6546974,2.0770836,0.27851048
1.2268314,-1.6143954,1.9748862,0.4123433
1.3238373,-1.4634728,1.855615,0.13604668
1.4291668,-1.6436104,2.0849893,0.46455747
1.4613336,-1.3168769,1.9239426,0.41423786
1.4157889,-1.5804021,2.089844,0.3685559
1.7194107,-1.3976364,2.2235084,0.72099835
1.6012105,-0.95496935,1.9571089,0.8211912
1.803306,-1.2312152,1.9937044,0.8099247
1.6850544,-1.1669877,2.0809147,0.9018563
1.896172,-1.0756433,2.1821077,0.93340516
1.6624389,-1.1087383,2.0678706,0.7728751
2.184638,-1.6495929,2.4993684,0.44065997
2.2208233,-1.047061,2.3963962,0.88816106
1.0931933,-0.58328,2.599946,-0.87087125
0.90809864,-0.7714801,2.8424025,-0.91125506
0.9175425,-0.48478246,2.9107678,-0.8276612
