algorithm,params,calinski,siluetas
k-means,2,50.16243287123908,0.08324399
k-means,3,45.69137363562841,0.084967464
k-means,4,41.131334118240524,0.08525177
k-means,5,38.348531410942954,0.088665694
k-means,6,36.31808152401216,0.091527894
k-means,7,34.543095510857185,0.09523107
k-means,8,33.683359886719686,0.09679622
k-means,9,32.59230139113624,0.10326847
k-means,10,32.108437753811074,0.110887416
k-means,11,31.129816731811196,0.10946086
k-means,12,29.940320335765215,0.09938424
k-means,13,28.785197948665076,0.1181192
k-means,14,28.033237492804297,0.11860552
k-means,15,27.803061472886963,0.106896326
k-means,16,26.76816817425314,0.11694509
k-means,17,26.760818377748045,0.11479896
k-means,18,25.909816085644415,0.12345035
k-means,19,25.17054463835087,0.114546895
k-means,20,24.92886071485927,0.12747836
k-means,21,24.83326631626292,0.13229555
k-means,22,24.328418858979337,0.12439598
k-means,23,23.763349529526877,0.13442609
k-means,24,23.454417288123977,0.13861421
k-means,25,22.964452711917254,0.136365
k-means,26,22.769544686029924,0.13697948
k-means,27,22.539282649721663,0.13831429
k-means,28,22.2185816440557,0.148628
k-means,29,21.633222357115496,0.1416049
Birch,2,27.855146124382305,0.061643932
Birch,3,28.461904709273576,0.050113484
Birch,4,29.190423713874953,0.059103813
Birch,5,28.87630226793402,0.054721884
Birch,6,28.53281164502168,0.058516406
Birch,7,28.170248178455992,0.06948265
Birch,8,27.575609137744813,0.077149406
Birch,9,27.224252936800696,0.08206323
Birch,10,26.585318252084715,0.08249476
Birch,11,26.059818385021437,0.08885118
Birch,12,25.76272302926127,0.096773855
Birch,13,25.42885670008432,0.090889774
Birch,14,24.870555637017507,0.09394927
Birch,15,24.39426675045092,0.10044068
Birch,16,24.02317114135235,0.10405245
Birch,17,23.684108688450333,0.10850835
Birch,18,23.34577499157942,0.114529826
Birch,19,22.949922967634595,0.11886562
Birch,20,22.616405942672973,0.12253339
Birch,21,22.361601384662336,0.12528095
Birch,22,22.262904878723404,0.11759423
Birch,23,22.006210769564593,0.12286127
Birch,24,21.74908149579511,0.12860154
Birch,25,21.469390725715435,0.13243143
Birch,26,21.241192651056316,0.13697432
Birch,27,21.041076013027144,0.14014581
Birch,28,20.833853652002713,0.13920388
Birch,29,20.645673079495644,0.14263849
DBScan,,ERROR,ERROR
Affinity,,17.51896291027309,0.22365817
Mean Shift,,7.075699095062891,0.17921421
Agglomerative,ward-euclidean-2,35.533858343180086,0.06076349
Agglomerative,ward-euclidean-3,33.093886234477864,0.06450367
Agglomerative,ward-euclidean-4,32.75777884354397,0.06726335
Agglomerative,ward-euclidean-5,32.00216597547052,0.059647854
Agglomerative,ward-euclidean-6,31.149630702361968,0.07018469
Agglomerative,ward-euclidean-7,30.23003040563323,0.06863353
Agglomerative,ward-euclidean-8,29.187868908004464,0.07661922
Agglomerative,ward-euclidean-9,28.196838959763422,0.07415302
Agglomerative,ward-euclidean-10,27.43197098055649,0.07601537
Agglomerative,ward-euclidean-11,26.788960702329053,0.08280466
Agglomerative,ward-euclidean-12,26.321530533886328,0.09091889
Agglomerative,ward-euclidean-13,25.871638588304517,0.097400986
Agglomerative,ward-euclidean-14,25.496283835998018,0.10463106
Agglomerative,ward-euclidean-15,25.170997238331417,0.1117276
Agglomerative,ward-euclidean-16,24.799791489326314,0.080995
Agglomerative,ward-euclidean-17,24.497469396840803,0.08771486
Agglomerative,ward-euclidean-18,24.21949158937737,0.09474221
Agglomerative,ward-euclidean-19,23.812859237103567,0.09411644
Agglomerative,ward-euclidean-20,23.479691924511858,0.09941152
Agglomerative,ward-euclidean-21,23.2053058449976,0.10399172
Agglomerative,ward-euclidean-22,22.90496588669328,0.10713037
Agglomerative,ward-euclidean-23,22.614622113087503,0.11237432
Agglomerative,ward-euclidean-24,22.371859930071476,0.11654956
Agglomerative,ward-euclidean-25,22.080329396074088,0.1225385
Agglomerative,ward-euclidean-26,21.807968027954537,0.12603274
Agglomerative,ward-euclidean-27,21.551714255977167,0.12999679
Agglomerative,ward-euclidean-28,21.328734991913368,0.13406539
Agglomerative,ward-euclidean-29,21.134302860939474,0.13923651
Agglomerative,complete-euclidean-2,16.016439559790605,0.20656909
Agglomerative,complete-euclidean-3,15.053482388842971,0.17893988
Agglomerative,complete-euclidean-4,15.682963625786385,0.16655451
Agglomerative,complete-euclidean-5,13.523214698988113,0.15605818
Agglomerative,complete-euclidean-6,12.120615671375393,0.14801176
Agglomerative,complete-euclidean-7,15.549696274708776,0.0719646
Agglomerative,complete-euclidean-8,14.293777768985303,0.0725525
Agglomerative,complete-euclidean-9,15.233584349247906,0.046019956
Agglomerative,complete-euclidean-10,15.411304753604126,0.05198855
Agglomerative,complete-euclidean-11,14.902509937402934,0.053790834
Agglomerative,complete-euclidean-12,14.630338335184243,0.057510868
Agglomerative,complete-euclidean-13,15.035868161393187,0.055718318
Agglomerative,complete-euclidean-14,15.123854728156333,0.059898484
Agglomerative,complete-euclidean-15,14.360290475682016,0.060183838
