algorithm,params,calinski,siluetas
k-means,2,75.33052216590261,0.11591835
k-means,3,68.80342386221996,0.11383508
k-means,4,64.14165317596563,0.1224579
k-means,5,59.657689639250606,0.13032238
k-means,6,57.381769005757086,0.13147813
k-means,7,55.73215883694408,0.14122233
k-means,8,52.86314828348112,0.13754667
k-means,9,52.06358444686658,0.1544888
k-means,10,50.58289251915278,0.1554325
k-means,11,47.70662981093786,0.15026486
k-means,12,47.02758308010762,0.1633743
k-means,13,46.19021463957265,0.16834939
k-means,14,45.309075523820674,0.1631567
k-means,15,44.418047344254354,0.17468458
k-means,16,44.11691621077456,0.18241183
k-means,17,42.912323556714334,0.17970686
k-means,18,41.70804412119945,0.17806567
k-means,19,40.508616317764975,0.18391435
k-means,20,40.03628851390627,0.18251115
k-means,21,38.71830206964199,0.17929684
k-means,22,39.11949021891359,0.18139872
k-means,23,38.922439144964294,0.19324772
k-means,24,37.26954939480886,0.17635678
k-means,25,37.497177204390866,0.1890268
k-means,26,35.896401856191936,0.18645473
k-means,27,36.0627507447631,0.18636782
k-means,28,36.60855903582649,0.1937644
k-means,29,34.82402898115343,0.1856883
Birch,2,52.70032939684735,0.092651956
Birch,3,49.227126427428615,0.0862821
Birch,4,48.11880152135053,0.08713216
Birch,5,45.25143326027837,0.09358981
Birch,6,44.39447112555521,0.095680505
Birch,7,42.95446901439544,0.09940376
Birch,8,41.924061703409336,0.1043313
Birch,9,40.761184222137864,0.09254391
Birch,10,40.42308362053018,0.10156494
Birch,11,40.00114765898041,0.110823266
Birch,12,38.97478876774092,0.115421645
Birch,13,38.42120734885819,0.11946986
Birch,14,37.851564141246115,0.12508896
Birch,15,37.20837704321254,0.13079491
Birch,16,37.12662040126357,0.13630813
Birch,17,36.60649219073535,0.14232628
Birch,18,36.27961488395491,0.1453474
Birch,19,35.88320490539455,0.15099826
Birch,20,35.41367131805562,0.14902833
Birch,21,34.97165995375758,0.15216754
Birch,22,34.472045964435296,0.15783785
Birch,23,34.19758953009421,0.16280141
Birch,24,33.83200719767735,0.16607194
Birch,25,33.53946451369047,0.16663997
Birch,26,33.21658558274302,0.17135724
Birch,27,32.9867479302065,0.17156096
Birch,28,32.699822243010566,0.17544833
Birch,29,32.54561009177738,0.17764078
DBScan,,ERROR,ERROR
Affinity,,30.523406435284013,0.23345451
Mean Shift,,7.398810522185804,0.24388386
Agglomerative,ward-euclidean-2,50.75675656469928,0.083144896
Agglomerative,ward-euclidean-3,47.9462549815969,0.077937424
Agglomerative,ward-euclidean-4,44.6750631640796,0.08663344
Agglomerative,ward-euclidean-5,43.69771456349475,0.084152654
Agglomerative,ward-euclidean-6,43.53839165615555,0.08011719
Agglomerative,ward-euclidean-7,42.60029444895331,0.084897235
Agglomerative,ward-euclidean-8,41.88135075287484,0.09297103
Agglomerative,ward-euclidean-9,41.647833649635004,0.10473637
Agglomerative,ward-euclidean-10,41.0512384901853,0.10634675
Agglomerative,ward-euclidean-11,40.16257648335579,0.10715265
Agglomerative,ward-euclidean-12,39.511336461363655,0.11593616
Agglomerative,ward-euclidean-13,39.0756668329682,0.12408895
Agglomerative,ward-euclidean-14,38.709739384352865,0.12790674
Agglomerative,ward-euclidean-15,37.91006966994277,0.13426839
Agglomerative,ward-euclidean-16,37.283601769350355,0.13556671
Agglomerative,ward-euclidean-17,36.810427657639124,0.13733183
Agglomerative,ward-euclidean-18,36.47896876615932,0.14307806
Agglomerative,ward-euclidean-19,36.21821539368101,0.1490382
Agglomerative,ward-euclidean-20,35.86356742708417,0.1516012
Agglomerative,ward-euclidean-21,35.46266183339913,0.15604563
Agglomerative,ward-euclidean-22,35.12751962264735,0.1560738
Agglomerative,ward-euclidean-23,34.69225608573837,0.1585273
Agglomerative,ward-euclidean-24,34.32441834027619,0.15339823
Agglomerative,ward-euclidean-25,34.00864473869145,0.1562078
Agglomerative,ward-euclidean-26,33.67726290348635,0.15843914
Agglomerative,ward-euclidean-27,33.38411139258042,0.16318671
Agglomerative,ward-euclidean-28,33.08170137276321,0.16734745
Agglomerative,ward-euclidean-29,32.833027606331875,0.17002961
Agglomerative,complete-euclidean-2,45.3035098191212,0.07551988
Agglomerative,complete-euclidean-3,34.44699541449925,0.057349753
Agglomerative,complete-euclidean-4,30.84104439841406,0.06418798
Agglomerative,complete-euclidean-5,26.90516305350157,0.065033846
Agglomerative,complete-euclidean-6,24.73861114393105,0.044630982
Agglomerative,complete-euclidean-7,28.9371745361702,0.06649413
Agglomerative,complete-euclidean-8,32.331231668672025,0.071049266
Agglomerative,complete-euclidean-9,29.18688503633551,0.07090646
Agglomerative,complete-euclidean-10,28.543546712470825,0.07502267
Agglomerative,complete-euclidean-11,28.865185281591376,0.07150329
Agglomerative,complete-euclidean-12,27.616328208557203,0.073328175
Agglomerative,complete-euclidean-13,25.871134058982694,0.07328929
Agglomerative,complete-euclidean-14,25.33579675019238,0.06153674
Agglomerative,complete-euclidean-15,24.61036721222427,0.05734013
Agglomerative,complete-euclidean-16,24.554301058389353,0.06761757
Agglomerative,complete-euclidean-17,23.693505373868515,0.062322717
Agglomerative,complete-euclidean-18,23.28990112447819,0.06368931
Agglomerative,complete-euclidean-19,22.401661813637794,0.06527482
Agglomerative,complete-euclidean-20,23.732237719018503,0.07912036
Agglomerative,complete-euclidean-21,24.63641911721258,0.08976859
Agglomerative,complete-euclidean-22,24.916388276272833,0.09878375
Agglomerative,complete-euclidean-23,24.193011550085664,0.099575855
Agglomerative,complete-euclidean-24,23.635675588096678,0.09611717
Agglomerative,complete-euclidean-25,25.781771559505202,0.11735726
Agglomerative,complete-euclidean-26,26.455569081859736,0.12626421
Agglomerative,complete-euclidean-27,25.956355349180132,0.12750922
Agglomerative,complete-euclidean-28,26.04421787647834,0.13164614
Agglomerative,complete-euclidean-29,25.47376272782,0.13349295
Agglomerative,complete-l1-2,8.81378223749784,0.33501092
Agglomerative,complete-l1-3,15.416547377843482,0.034946423
Agglomerative,complete-l1-4,20.487458016385414,0.03737611
Agglomerative,complete-l1-5,26.272559403949263,0.05027553
Agglomerative,complete-l1-6,25.750912479481947,0.052119542
Agglomerative,complete-l1-7,24.363162354128974,0.05469809
Agglomerative,complete-l1-8,23.65253701165623,0.05481039
Agglomerative,complete-l1-9,24.11429839899266,0.056967396
Agglomerative,complete-l1-10,23.119845548485372,0.058273967
Agglomerative,complete-l1-11,23.57958968521871,0.059444644
Agglomerative,complete-l1-12,25.11256741259902,0.06612755
