p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24
-0.6563048,-0.31343424,-0.0008597069,-0.65036035,-0.03425091,-0.37780058,0.59621465,-0.38034844,-1.0732539,-0.88170826,0.790995,0.3369224,-1.108459,0.11587734,-0.41186914,0.3877772,1.2179632,0.4031428,-1.3676622,-0.41243228,0.68902916,0.5299869,-0.18979593,-0.06569086,0.03411077
-0.35648996,0.46295786,-0.5571589,-0.6824787,-0.56348425,0.30446273,0.7720777,0.6240667,-1.7357225,-0.5294068,0.7854816,0.2199234,-0.0860384,0.6068617,-0.8021705,1.1725346,-0.099810384,0.29548982,-1.0316592,-0.6993816,1.2118787,-0.41208678,-0.2451167,-0.043230806,0.67613286
0.8537222,-1.0003803,0.091677524,0.24427283,-1.0422894,-0.6743373,0.75279045,1.0074143,-0.030570574,-0.72239983,0.99282414,1.022301,0.16875936,0.2564326,-1.1123624,1.2702559,0.9257372,0.26795578,-0.696137,-0.43425584,0.27860934,0.5247145,-0.19664702,-0.04610489,-0.3445683
0.96994656,-0.8289828,-0.100583114,0.36782566,-1.1127434,-0.49586773,0.94792473,0.9253229,-0.10797334,-1.0495062,1.025403,0.70087886,0.10645007,0.5388219,-0.8885289,1.346029,1.2048739,0.20968263,-0.37390506,-1.0164455,0.24802901,0.63683385,-0.28172898,0.07317845,-0.34326202
0.19599837,-0.16138783,-0.12508346,0.082654454,-0.5601125,-0.18929653,1.0426273,0.49913135,-0.13983008,-0.7844714,-0.1544563,0.21296865,0.11974796,-0.36386177,-0.41608796,0.79704624,0.738404,0.46684095,-0.87652683,0.016969278,-0.4022009,0.35721317,0.12531431,-0.33619323,0.28194952
0.23043059,0.10146492,-0.134388,0.10386166,-0.66819215,-0.20356973,1.0827568,0.44206646,-0.07294396,-0.98412323,0.029016204,0.11899636,-0.0016685755,-0.13463655,-0.33246487,0.7103735,0.808012,0.20282473,-0.4494091,-0.2630024,-0.3442237,0.2564561,0.086373046,-0.099251494,0.35376593
0.45625806,-1.2998374,0.32495114,-0.05093849,-0.6171072,-0.5820362,1.3362797,1.124649,0.15593597,-1.0017414,0.43868992,0.83206916,0.20559926,0.14886416,-0.69755083,0.32783008,1.8152057,0.5782245,-1.3699527,-0.46698827,1.1428779,0.4514337,-0.7633186,-0.17085704,-0.22540037
0.50473785,-0.827934,0.3179115,0.0076684863,-0.64986014,-0.29999778,1.5997105,0.90297514,-0.146354,-1.3449582,0.17859955,0.7431002,0.032895453,0.4015421,-0.5064331,0.248334,2.0089853,0.5775939,-1.0678499,-1.0702646,1.1150975,0.6010206,-0.769215,-0.24286614,-0.24467222
0.33789364,-0.10065022,0.07783584,0.043229952,-0.37245724,-0.1047312,0.8428813,0.3025823,0.19102418,-0.5633593,-0.35918802,-0.09476831,0.25453347,0.035303786,-0.7394221,0.615131,0.42401677,0.31791466,-0.65645033,-0.0581634,-0.0007534278,0.4788823,0.03004347,0.25263342,0.33494624
0.28500903,-0.01990401,-0.08001027,0.050723873,-0.43107215,-0.11669418,0.9374561,0.2909372,0.058412686,-0.6660658,-0.3926728,-0.22807905,0.20550862,0.0096062515,-0.7370227,0.500321,0.56566423,0.1956711,-0.55908144,-0.48808995,-0.10577415,0.50315183,0.040950794,0.40315625,0.40264463
-1.6074806,-0.13668542,0.46216708,-0.33650586,-0.11226956,-1.818663,0.5704972,0.58828753,0.23514247,-0.87773573,0.47694546,-0.20241538,0.04496553,0.7265865,0.40137857,1.2247673,0.8286161,-1.0386944,0.41453424,-1.8722214,0.15712278,-0.082027055,2.199473,-0.6932888,1.0646214
-1.1209435,0.04889055,0.4673665,-0.72406757,0.2788961,-1.8019289,1.3284938,0.7050985,0.49451563,-0.60378593,0.52287185,-0.14986503,0.52305657,0.45547312,0.08546842,0.7528937,0.22457978,-1.1369246,0.43488774,-1.9447817,0.31296104,-0.43816844,1.6858033,-0.674692,1.3177214
-1.4860389,0.29315004,0.017937407,-0.5635274,0.2743158,-1.7555782,1.1063215,0.51896197,-0.17688105,-0.8517025,0.3796752,0.22927745,0.15180606,0.18664937,0.51321363,1.0158055,0.3022844,-0.83565736,0.5755199,-1.806137,0.2358399,-0.15981393,1.8328341,-0.6510008,0.89956343
-1.734036,-0.07063868,0.4560676,-0.4309641,-0.20381354,-1.9570948,0.66699,0.5509258,0.12946351,-0.74005693,0.6250454,-0.08313435,-0.122652926,0.4466222,0.29525957,1.0812237,0.7691561,-1.191874,0.2938329,-1.6519065,0.1643328,0.051324975,2.123637,-0.69324255,1.1559838
-1.9828786,-0.89049375,0.867782,-1.8121232,-0.6051401,-1.0464945,0.664185,0.6900442,-0.06326353,-1.2344489,0.41426927,0.014624109,0.08367361,1.6575229,0.11661488,0.82213795,1.3779548,-0.02282495,0.51391107,-1.3789507,0.67371565,-0.10506997,0.031528197,-1.0298972,0.41244212
0.49167955,0.019859137,-0.08970819,-0.86735535,-0.623333,-0.14517389,0.3687832,0.42592728,-1.1061018,-0.90170205,0.011307904,-0.5475147,0.42326507,0.25288948,0.44753978,0.90902805,1.0941066,-0.10353952,-0.53297836,0.3235575,-0.2948711,-0.66073185,0.03433595,0.19703962,-0.09711141
0.5188581,-0.11886528,-0.12716302,-0.6593189,-0.8082982,-0.28146133,0.21575114,0.35053506,-1.0575851,-1.025442,0.12443856,-0.57089823,0.58454216,0.11530399,0.44825935,0.7759997,1.1447537,-0.14009419,-0.63970506,0.50417465,-0.21852024,-0.7668488,0.07130549,0.024288358,-0.18995488
0.49189007,-0.2638571,0.2575477,-1.2678545,-0.3546089,0.031546876,0.1943249,0.72724104,-1.2799973,-0.98781425,0.095749006,-0.39245453,0.20699482,0.2990172,-0.063540146,0.8546561,1.4490521,-0.28503588,-0.6692797,0.41736838,-0.27645916,-0.61022663,0.14522724,-0.23764563,0.03870559
0.41563913,0.15372136,0.030572819,-0.77312946,-0.70986414,-0.3550751,0.38495046,0.3630835,-0.929456,-0.75809234,0.06087667,-0.6086675,0.5550926,0.15381971,0.39186263,0.7812275,1.1805067,-0.058126405,-0.6468846,0.38233724,-0.25946012,-0.63784534,-0.03197643,0.12668188,-0.24803455
0.54758495,1.1910251,0.3923956,-0.3200987,0.6821001,-0.44464323,-0.11685503,1.3161217,-1.0752097,-2.532224,-0.118703395,-0.64813906,0.37384167,0.3854646,0.9603959,1.0593039,0.76646745,-0.110152096,-0.647201,-0.56453127,0.18669176,-0.21144658,-0.63407296,-0.5280279,-0.048911594
0.3651105,0.03952597,0.3682689,-0.32709983,-0.37106964,0.043973476,0.13625604,0.14989042,-0.30906758,-0.6678219,0.03243862,-0.27453136,-0.20111212,0.60918516,-0.32371673,0.45352846,0.19404617,-0.09201247,-0.250535,-0.40325987,-0.010844376,-0.1259168,0.46281505,0.70899355,0.90569973
0.6509043,-0.96680754,-0.290406,-0.254698,-0.8513547,-0.6402308,-0.008142441,0.61207384,-0.8714386,-0.8700421,0.499851,0.88238376,0.36004505,0.73558164,-0.8389688,1.4342583,0.8931651,-0.21481518,-0.1737479,-1.4589149,0.26243183,0.22631384,-0.29635584,0.3864323,0.5603598
-0.63286453,-0.2576524,-0.013209514,-0.6597664,-0.044650644,-0.46183443,0.6126518,-0.34148434,-0.94414485,-0.9988174,0.8451405,0.37670234,-1.0374371,0.057759993,-0.48303294,0.2732711,1.1506382,0.19523677,-1.4594842,-0.34139854,0.5228156,0.58765584,-0.05339749,-0.09188726,0.0023213795
-1.0029883,-0.878031,0.04861636,-0.6030559,-0.6487072,-0.86478853,-0.3007165,0.06007017,-0.87269247,-1.020962,0.9881431,0.28978452,-0.92908436,0.4264239,0.05344177,0.4983253,1.0348003,-0.016185451,-0.5018555,-1.1678035,0.08456859,0.902973,0.22360286,-0.31227928,0.84727323
-0.14522083,0.5119252,0.63954,-0.21586466,-0.41817015,0.09783641,0.18801282,0.6715301,0.09525162,0.7676954,0.11059951,0.7465007,-0.8190003,0.9610301,-0.47444335,1.366009,0.55512875,0.55486435,-1.2370275,0.12502435,-0.23554386,0.16897559,-0.0045724735,-0.31256834,1.0577992
0.26886132,-0.1681372,1.1572605,-0.026703913,0.20222439,0.11617364,0.64209634,0.93038,-0.910313,-0.8803716,-0.7258988,-0.62468374,0.8438562,1.2863812,0.1937814,-0.16499086,0.42802626,-0.72978866,-1.4455973,-0.5908752,1.0532705,0.5502544,-0.54916334,0.5333604,0.40356874
0.05770191,0.28070083,-0.49556133,-1.2708349,0.43983212,-0.36586535,-0.25931242,0.73760724,-0.039486837,-0.9891912,0.5013489,-0.9268528,0.019107014,0.0880379,0.23407221,0.6534291,1.3556347,-0.06755698,-0.3440453,0.1997076,1.0182189,0.7125163,0.31113085,1.0752435,0.760277
-0.1516826,0.123579375,0.38280666,-1.1366578,0.48763773,1.152857,-0.14816384,1.961149,-0.9493847,0.18352912,-1.0941575,-0.21730463,-1.2217077,0.17521688,-0.11674062,1.4982232,0.8909438,-1.2377785,-0.60372126,0.78006417,-0.25324813,1.1766869,0.6247105,0.8892146,0.74056005
-0.010597799,1.1621823,0.75886965,-0.39654976,1.4646772,0.3732239,0.1969492,2.1276596,-0.5236293,-0.7503085,-0.93012017,-0.26306337,-0.35325736,0.14503156,0.58162165,1.4043941,0.4808539,-0.84334975,-0.8827269,-0.4001576,0.012779573,1.1687628,-0.49945453,0.5146546,0.4946209
-0.5535741,-0.39499494,0.67803895,-0.57326347,-0.8129593,-0.7420141,0.70143235,0.7431187,-0.4808968,-1.4976928,-0.041243296,-0.51477015,0.13962857,0.071215436,0.5363829,1.214023,2.7123604,0.30483988,-0.06005618,0.6880286,-0.6407244,-1.0005716,0.6976137,-0.060427938,-0.57921016
1.7664795,0.12309392,0.29825655,0.96223694,-0.65682024,-0.3502255,1.2764953,-0.7159698,-0.4719384,-1.3070154,0.09639209,-0.34855062,-0.06709662,-0.5088803,1.1101593,0.9195841,0.77953684,-0.4366758,-1.5744119,0.71178985,0.13035306,1.1706022,0.4007424,0.13525116,0.06464577
0.5255076,-0.05277446,0.3767066,0.0023675608,-0.78614676,-0.1685668,0.93231696,0.65339166,-0.35777706,-0.22309606,0.22197215,0.35996073,-0.077342786,0.22390947,-0.13446915,0.9431178,0.13020808,-0.2900404,-0.9018814,0.4300072,0.09608161,-0.5707235,-0.20240101,1.031949,0.7682888
0.78713465,-0.34493414,0.17359528,0.05899703,-0.5588132,-0.57713413,1.0343496,0.31678185,-0.711301,0.3139096,0.58301187,0.5094927,-0.50609267,0.016438616,-0.47340697,0.85317934,-0.15410584,0.1395202,-1.2528441,-0.12298381,0.38824782,-0.36231056,-0.021952705,1.0217518,0.9105032
1.1409036,-0.7180271,0.3226154,0.7137396,0.34160614,0.88999534,1.2473462,1.913259,-0.3041001,-0.7968374,-0.05595178,-0.46995524,-0.39421642,0.035664614,-0.20199054,1.0486482,1.1939689,0.1454146,-1.317607,0.35041058,-0.64388156,0.23456962,-0.20422085,1.596089,1.2135155
0.6686369,-1.5477734,0.7371442,-0.12645338,0.025620677,0.39675376,0.43708068,0.84525675,-1.4567887,-0.36322618,-0.8848239,-0.6018352,-0.0011479484,-0.65122855,0.103507295,1.1477684,0.9649735,0.7935604,-0.7283218,-0.0026214353,-0.14595473,0.45911518,0.50151306,0.8582821,0.68995404
-0.3422565,-0.8201014,0.40795517,-0.11437759,-0.8820743,0.6265766,1.2345661,1.6594557,-0.14757967,-0.89563817,-0.5417541,0.16189143,0.34285697,-0.29962122,0.3413839,0.9584945,0.8644343,0.10003211,-1.0902797,0.9114102,-0.34417728,0.76939607,-0.36913162,1.8525363,1.5046325
0.04261688,0.50743884,-0.07071066,-0.5769803,-0.6550046,-0.7382235,0.59145415,0.52939713,-0.63019013,-0.0042139096,-0.09175995,-0.6136413,0.14701043,0.57891715,0.7817126,1.2832805,0.33697224,0.25004256,-0.9182041,0.6378304,-0.1452222,-0.38545695,-0.5946749,1.0302714,0.7498722
-0.32462114,0.18950702,0.940796,-0.7074269,0.5083208,0.35333103,0.57347506,0.7141835,-0.21900883,-0.90096307,-0.28342557,-0.45345196,0.21217696,-0.3384763,1.3956932,1.0032018,0.3304604,-0.7202843,-0.8691616,0.72700137,0.29363498,0.049071163,0.085690714,0.44896185,0.20774356
0.72013664,-0.77919406,0.49213094,-0.098564036,-0.70281494,0.14432155,1.2611749,0.85787314,-0.85027444,-0.53237987,0.5332965,-0.07916832,0.075198725,0.58638626,-0.17937686,0.77642095,-0.6124364,-0.6400561,-1.1412513,0.8534596,0.6913403,-0.44410917,-0.40528882,0.59390056,0.7099332
0.0081231035,0.3220511,1.1180032,0.40326986,0.22421889,0.636898,-0.30490458,-0.089746796,-0.3974159,-0.14187858,-0.08915777,0.038221914,0.16292058,1.2823828,0.1171498,1.3525385,2.5484567,0.552938,-1.4701842,-0.6226048,-0.63344014,-0.94796735,0.05309785,-0.14012429,1.0841755
-0.02969057,-1.4023811,1.7018366,0.12826057,0.2666714,0.19463167,1.0834268,0.44014877,-1.2745752,-0.9762274,-0.00036596434,-0.703531,0.15209223,0.2344186,-0.1582974,1.016449,-0.101433836,0.21942474,-1.219534,0.90302193,0.77493846,-0.42397115,-0.7805433,0.07854737,0.014572882
-0.18638575,-0.043826602,0.40892163,-0.3273859,-0.45593935,-0.15260662,0.110716835,-0.30913216,-0.51097244,-0.9194107,-0.3511225,0.23816793,-0.64839923,0.7834055,-0.313634,0.9325761,-0.103517726,0.5196128,-0.41441044,-1.1645852,-1.0168072,0.023398774,0.24805383,0.35955334,-0.1571612
0.42334998,-0.17259105,1.3930508,0.17598777,0.33474013,0.14162317,1.0614736,-0.271092,-0.3670949,0.9434751,0.58045524,0.67116076,0.06340376,-0.46419412,0.7452084,1.0619872,0.27041787,-1.4218374,-0.9728811,-1.489793,0.6024017,-0.05606158,0.8840892,0.53663754,1.1389419
0.7108679,-0.31825736,0.7700435,0.45712966,0.36859602,0.042540517,1.1380671,-0.027105667,-0.28343987,-0.112663895,0.15392184,0.68405294,0.31723732,-0.4378835,1.055903,1.1184207,0.7077591,-1.1558977,-1.2494096,-0.92538375,0.17839119,0.36482227,0.46903306,0.5943713,0.39583966
0.8106661,-0.14448516,0.8023966,0.48276725,0.2702067,-0.010879136,1.0986942,0.08103356,-0.3985331,0.1406853,0.12273974,0.7723937,0.1261596,-0.51767147,0.9560262,1.118253,0.58621746,-1.3684238,-1.3465115,-0.9220252,0.14905769,0.3139623,0.3510132,0.54158735,0.47155622
0.23233417,1.0269896,-0.07935409,-0.47838795,0.6673005,0.57826686,0.892412,0.16275704,-1.1463801,-1.0838178,0.8753176,0.20811239,-0.041895576,-0.18917504,0.08553416,-0.2877296,0.35863206,0.7928018,-1.0437794,-0.66613406,0.03911495,-0.18737294,0.33109766,0.49479756,1.7797658
1.1739404,-0.937843,0.7312828,-0.18660209,1.1462771,-0.9444181,1.7008649,0.7569376,-0.46565506,-0.27347144,-1.1348066,0.15597765,0.58832216,1.1960996,0.47459525,0.85748845,0.9032548,0.46465868,-1.2654272,0.8407142,-0.16977227,-0.1674642,-0.16317809,1.6804088,1.2282515
