algorithm,params,calinski,siluetas
k-means,2,40.306269736264454,0.06853194
k-means,3,36.84426293323355,0.07265824
k-means,4,35.47961715791834,0.07985935
k-means,5,33.42314728446973,0.082283966
k-means,6,30.484252835944453,0.07824927
k-means,7,30.141630776616566,0.092450075
k-means,8,27.89039677492929,0.0762629
k-means,9,27.99349312315505,0.09119132
k-means,10,27.11304343068569,0.100424886
k-means,11,26.1260201936634,0.1040323
k-means,12,24.142580849790463,0.09675175
k-means,13,24.491574262275208,0.09508942
k-means,14,23.68744456819251,0.098831534
k-means,15,22.90807900833081,0.10613155
k-means,16,22.40682960731023,0.09429355
k-means,17,22.075543819109356,0.10365201
k-means,18,22.219469419242554,0.11246991
k-means,19,21.69793573824268,0.11307597
k-means,20,20.57561830726226,0.104424454
k-means,21,20.553497279317998,0.115125135
k-means,22,20.29170258111277,0.116939396
k-means,23,20.43148490223471,0.12201327
k-means,24,19.31396911474359,0.120293565
k-means,25,19.48126438010371,0.12266329
k-means,26,19.504090939787147,0.1251648
k-means,27,19.004009380853816,0.11639016
k-means,28,18.94634106223631,0.13187
k-means,29,18.68466393693549,0.12817122
Birch,2,28.18355552815153,0.07665793
Birch,3,27.319847382905316,0.063687846
Birch,4,26.43124866136429,0.0648181
Birch,5,25.51655113301604,0.056662016
Birch,6,24.61081636766271,0.048544776
Birch,7,23.968786223735087,0.058787018
Birch,8,23.421860725086933,0.069475934
Birch,9,22.691326758628094,0.076960415
Birch,10,21.994560015586035,0.080426626
Birch,11,21.562063782205175,0.08506403
Birch,12,21.16115066197749,0.08138
Birch,13,20.87934297695357,0.083202526
Birch,14,20.65961400193418,0.08181226
Birch,15,20.44087029669837,0.08878217
Birch,16,20.15507521582213,0.09514338
Birch,17,19.938396857801372,0.098557904
Birch,18,19.75340699420249,0.101165146
Birch,19,19.753681325008188,0.096381634
Birch,20,19.602595254483912,0.09514166
Birch,21,19.45925299433438,0.09843808
Birch,22,19.33183618929627,0.10208265
Birch,23,19.20874746959285,0.10679217
Birch,24,19.058289417232906,0.112302914
Birch,25,18.89699875111874,0.11283209
Birch,26,18.734333017005884,0.116410606
Birch,27,18.60564479694532,0.12150309
Birch,28,18.45121293831935,0.125443
Birch,29,18.31245054626017,0.129969
DBScan,,ERROR,ERROR
Affinity,,15.365618103152055,0.20800355
Mean Shift,,5.154637941051207,0.19677055
Agglomerative,ward-euclidean-2,25.51819869249022,0.046594046
Agglomerative,ward-euclidean-3,25.932126893815205,0.04272112
Agglomerative,ward-euclidean-4,25.845940445504137,0.050602194
Agglomerative,ward-euclidean-5,25.790222121377667,0.038177297
Agglomerative,ward-euclidean-6,24.950325609570683,0.04822181
Agglomerative,ward-euclidean-7,24.217636870594106,0.056781895
Agglomerative,ward-euclidean-8,23.648424835291294,0.054512914
Agglomerative,ward-euclidean-9,23.029662313182627,0.06364879
Agglomerative,ward-euclidean-10,22.561648396457134,0.06956313
Agglomerative,ward-euclidean-11,22.160158061320786,0.07526951
Agglomerative,ward-euclidean-12,21.862228608636272,0.06384085
Agglomerative,ward-euclidean-13,21.684543338382117,0.07148718
Agglomerative,ward-euclidean-14,21.38098902973394,0.07787369
Agglomerative,ward-euclidean-15,21.0927028777825,0.08524179
Agglomerative,ward-euclidean-16,20.731096730348238,0.09270884
Agglomerative,ward-euclidean-17,20.408194321707914,0.09811624
Agglomerative,ward-euclidean-18,20.151018425608726,0.0958856
Agglomerative,ward-euclidean-19,19.94681313949821,0.10082436
Agglomerative,ward-euclidean-20,19.701080712343014,0.10403219
Agglomerative,ward-euclidean-21,19.488775516869403,0.10851076
Agglomerative,ward-euclidean-22,19.279825993916152,0.11227061
Agglomerative,ward-euclidean-23,19.089640715606222,0.115748644
Agglomerative,ward-euclidean-24,18.92595368662654,0.11941566
Agglomerative,ward-euclidean-25,18.76239878850437,0.11822673
Agglomerative,ward-euclidean-26,18.625032894318558,0.11996548
Agglomerative,ward-euclidean-27,18.501092811105224,0.12458626
Agglomerative,ward-euclidean-28,18.34858363441074,0.12547012
Agglomerative,ward-euclidean-29,18.20304458972944,0.12210196
Agglomerative,complete-euclidean-2,12.369928426727821,0.1511385
Agglomerative,complete-euclidean-3,14.444995034359405,0.04150051
Agglomerative,complete-euclidean-4,12.473141496781393,0.03947071
Agglomerative,complete-euclidean-5,10.723968303202966,0.03753318
Agglomerative,complete-euclidean-6,10.535089805764922,0.036566995
Agglomerative,complete-euclidean-7,10.026017324068482,0.03589706
Agglomerative,complete-euclidean-8,12.18906016029476,0.04397366
Agglomerative,complete-euclidean-9,12.347136813050012,0.04490771
Agglomerative,complete-euclidean-10,12.166894683306154,0.04758405
Agglomerative,complete-euclidean-11,11.51105294481389,0.04647194
Agglomerative,complete-euclidean-12,12.065265478245626,0.04890989
Agglomerative,complete-euclidean-13,11.40346299944266,0.047517486
Agglomerative,complete-euclidean-14,11.73181611643586,0.047564127
Agglomerative,complete-euclidean-15,11.25180570416702,0.045900047
Agglomerative,complete-euclidean-16,10.900184656574174,0.047660567
Agglomerative,complete-euclidean-17,10.438026718000373,0.04676125
Agglomerative,complete-euclidean-18,10.333625178896758,0.049576387
Agglomerative,complete-euclidean-19,10.71381701479184,0.055697758
Agglomerative,complete-euclidean-20,10.344861891792416,0.055586442
Agglomerative,complete-euclidean-21,10.066430312017907,0.057053514
Agglomerative,complete-euclidean-22,10.136619233611253,0.058459017
Agglomerative,complete-euclidean-23,9.91331789777701,0.05533505
Agglomerative,complete-euclidean-24,10.277846364577927,0.054258637
