p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15
0.3140208,0.49429575,-0.79639924,1.5767088,2.2531211,0.555846,0.712934,1.5574161,0.97750735,0.76094824,1.3988215,-1.7242124,-0.646501,-2.150025,-1.6045547,0.77910805
-0.07070573,-0.8286525,-0.8154566,-0.34960738,0.63018835,-0.47691014,1.6550729,0.5841092,-0.70942336,-1.5587972,1.4734825,-0.18582611,0.08780935,-1.410303,-1.2096975,-0.68275476
-0.16916853,-1.0667012,-1.1439373,-0.042753547,0.48986903,-0.31249177,1.8824935,0.5012775,-0.8086305,-1.417794,1.3280134,-0.25822377,-0.042818926,-1.6656841,-1.1857159,-0.6433654
2.2079103,-0.7824071,0.31888437,0.37955824,-0.60150254,2.33902,1.3413793,1.3698165,0.78740096,-0.45953977,-1.9880146,-2.1237094,1.0299337,0.4273846,-0.25033095,-1.0175546
0.111481115,-0.044450883,-0.6427186,-0.1882802,0.7536456,1.1156274,1.5651717,1.0803885,0.031810116,0.94534343,-0.89400816,1.2938628,0.07079062,0.111297086,-1.2828027,-0.09633928
1.3741472,-0.39734098,0.3191067,0.09592457,0.62867826,-0.7539697,2.2021422,1.341469,-0.25947943,0.010773014,-1.3250217,0.57170624,0.47717232,0.07581613,-0.90981895,-0.6673469
-0.37388456,-0.72816133,1.3185824,-0.48979405,-0.75827414,0.31425038,2.240243,1.705967,-0.43150735,-0.1054614,0.2676714,-1.7706634,0.11535468,0.10414545,-0.57208765,-0.749502
0.17344151,-0.78665507,1.6235278,-0.8393958,-0.53875446,0.48841184,1.7742332,1.915396,-0.5894875,-0.3128084,-0.3691053,-1.6114887,-0.009136806,0.060125925,-0.62152714,-0.4093058
-0.047060765,0.16082665,-0.53169996,1.3594135,0.29191938,0.7072892,3.0359943,0.7257819,-0.07309626,-0.31894538,1.0831295,-0.14241052,-0.43862092,-0.21923627,0.89598316,-0.36308703
0.32666725,0.5307452,0.16654031,0.90298456,-0.31887257,-0.34803784,2.1864796,-0.20076165,0.43472505,0.70690745,0.202828,-0.07112282,-0.7737067,-0.74736875,0.38391915,0.20461607
-0.20825012,0.68716633,-0.087101266,0.6398246,-0.20890898,-0.37267306,2.4839263,0.07555183,0.36512542,0.47017953,0.52846533,0.17478105,-0.65220135,-0.73044676,0.15474322,-0.16167706
-0.11049543,0.14006256,-0.46270216,1.381131,0.37901953,0.72553664,2.9030626,0.8409028,0.046405718,-0.20652628,1.1629022,0.028475732,-0.3393521,-0.2081204,0.79304075,-0.57588977
-0.48299628,-0.3478243,0.8352489,2.6397328,0.057812955,-0.33088306,1.3132155,0.49403524,-1.0368744,0.3104122,-0.75449044,1.4382472,-0.85405624,-0.4480906,-1.0352842,0.43432564
-0.35083076,-0.4751473,0.6099135,2.9632924,0.14884165,-0.17628963,1.476904,0.3700405,-1.3042903,0.49116,-0.15607189,1.3316102,-0.5770546,-0.36983606,-0.9651525,0.22827895
0.26395142,0.069164276,0.47837457,1.0145912,0.2674158,0.1171217,1.3565022,0.5043757,-0.31519383,0.38602078,0.1435023,0.8323789,0.1826853,-0.17329432,-0.6608893,0.63407165
0.48090047,-0.000571631,0.29861748,1.1088591,0.27637324,0.11445731,1.3185467,0.39364642,-0.3910479,0.31140903,0.39017776,0.720548,0.08356107,-0.1693711,-0.67198884,0.6508228
-1.471371,-0.3097833,1.0188655,1.549687,-0.77801734,-1.1271315,2.571728,-0.05572446,-0.8603404,0.6913418,-0.2049726,1.0326738,-1.462502,0.02221328,-0.77539265,0.5249438
-1.5298223,-0.327028,0.95451057,1.7346762,-0.7835975,-0.6945081,2.8012216,-0.10524258,-0.9487197,1.0094379,0.58702254,1.0275071,-1.2184727,0.18697925,-0.72714365,0.51044214
0.012027572,-0.32780945,0.4052786,0.6238225,0.18397312,-0.077062726,1.3882599,0.3536908,-0.3968601,-0.11249915,0.1769659,0.75668275,0.07387348,-0.124986775,-0.3666654,0.64924437
0.10401924,-0.46673256,0.3503034,0.6779641,0.31758383,0.026350213,1.4966291,0.40844876,-0.47558266,0.10199171,0.6258176,0.83485144,0.17202741,-0.08379177,-0.2327814,0.55449355
1.7146143,-1.1166577,0.06219619,1.4621487,0.5057654,-0.19639531,1.2820553,2.7193615,0.90477246,1.8239238,-1.579699,-1.1627408,-0.46535262,-1.2999175,-0.79308504,-0.9062807
1.9189004,-1.0771302,-0.1801458,1.0413213,0.32264942,0.11894231,1.3530933,3.2779307,1.4046905,1.1089892,-1.2381852,-0.9543174,-0.46425307,-1.1923218,-0.90149605,-0.4391112
1.8770503,-0.83893365,0.20318682,1.6306561,-0.28419557,0.502103,1.28513,2.6854744,1.1312393,1.392835,-1.1939,-0.8793587,-0.37256065,-0.9461762,-0.92827535,-1.0522897
1.7874699,-1.1986737,0.30507392,1.5079503,0.39813235,-0.15178221,1.2569759,2.6678634,1.0833031,1.7486396,-1.4980321,-1.0797544,-0.7184582,-1.5092809,-0.71461236,-0.9161898
1.1928705,0.8443068,0.113030486,0.49144998,-0.28600636,-0.9885847,2.491868,2.3440595,0.85866493,1.2240793,0.53358567,-1.8571401,-1.2963741,-0.3477008,-0.29233688,-0.99191713
