p_0,p_1,p_2,p_3,p_4,p_5,p_6
-0.8485864,-1.4990864,-0.5887524,0.18148938,-0.63335526,-3.9969928,3.9569728
-1.468187,0.26381263,-3.097599,0.2548156,-0.0665786,-4.5707636,1.5737467
-1.1625484,0.23957959,-1.5192902,0.98956364,-0.14859432,-3.3776896,1.2645162
-1.1794885,0.6411383,0.25246668,1.2233801,1.6763794,-2.1666071,0.73742515
0.28771794,1.1273279,-1.1634065,0.5992711,-2.5980752,-1.451572,0.5684617
0.54565847,1.0277411,-1.2184545,0.28951314,-1.996123,-1.3984584,0.73586434
0.38078928,1.0612041,-1.1171378,0.662191,-2.0002902,-1.163555,0.56522685
0.493545,1.1041484,-0.9717173,0.5218139,-1.8597926,-1.2201934,0.6066976
0.48337087,0.3805008,-0.543006,0.26781565,-1.9201978,-1.4855576,1.4210427
0.506443,0.61911,-0.036533937,0.07920257,-1.6177812,-1.2947766,1.9546924
0.6655049,0.7524273,-0.06837652,0.04208497,-1.640617,-1.3715849,1.9876515
0.6076976,0.3095552,-0.66032106,0.26167464,-1.163104,-0.94371784,0.9997191
1.0193928,0.44837335,-0.79933894,0.036875293,-0.8951035,-1.1692713,1.4280297
0.70136386,0.33292356,-0.5518094,0.3281377,-0.974874,-0.9641671,1.3446181
0.8065434,0.44242066,-0.5606011,0.21926367,-0.8312258,-1.0344076,1.5326844
0.5947969,1.9221729,-2.4053338,0.8551811,0.46880764,-1.276898,-0.39897034
0.89877874,-0.06169736,-2.0131357,0.9224098,0.06594825,0.72166634,3.0334504
0.7953245,0.58827406,-0.97563756,1.4713248,-0.5535658,0.7115587,0.02881318
0.88615876,0.16939408,0.6182917,1.6165804,1.8023968,-1.4068967,0.89203453
0.63208264,0.18362817,-1.5881536,0.64258236,0.3788007,0.33664808,2.4901664
-0.7035013,0.6118189,0.6407227,0.7562273,1.4712406,-1.7614958,1.8888975
3.2572854,0.11284301,0.8226974,1.1689336,0.9636071,-1.9517761,1.0873038
-1.5133855,-0.9638465,-0.018130602,1.2287194,-0.19306707,-3.5723886,0.5214867
0.74477756,0.17415164,-1.7858903,0.9170198,1.6970415,0.23471224,2.7048237
-0.03829295,-1.4214166,0.7190601,1.9544547,-0.92849153,-2.972353,0.9910999
1.619547,-0.18235496,0.41979364,2.390227,-1.7243328,-2.2213871,0.55428976
-1.7458535,-0.33275798,-1.4998648,2.0757535,-0.6007602,0.3882661,0.22684252
-1.6628093,-0.8484496,-0.34089562,1.7357152,0.97511786,-0.6690909,1.1682614
-0.9409225,-0.5095896,-1.8753741,2.2657287,0.73918617,1.1385509,1.6328875
-0.59746647,-0.77774626,-1.0655216,2.2551105,1.1131693,0.67267025,1.9527403
-0.12933637,-0.5930325,-2.6749148,2.4332228,1.9900045,1.6287271,2.083763
-2.309315,-0.2835011,-1.2214636,2.6982703,-0.15078162,0.2783456,2.2011285
-0.7412606,-0.3613807,-1.6680459,2.7799544,0.9218686,0.6854319,1.8529441
-2.221841,-1.3079478,-0.9772266,1.9120141,-0.64647347,-0.6852751,-0.0664874
1.7357197,-0.7365403,-1.0793443,1.3796556,0.6699225,-1.0333846,1.5257617
0.91787124,0.67261803,-1.4373828,1.5712649,2.9210706,-0.17131183,0.8282643
0.8111563,0.23680751,-1.2693849,2.0978339,2.5513783,0.19778468,0.52205247
1.9273726,3.4274354,-1.579966,1.3988572,0.68787444,-0.16618091,1.1056643
0.7830167,0.56344074,0.548518,0.7072524,0.029467199,-1.5119524,1.7665522
0.51735276,1.313396,-1.4529481,0.682308,0.23328283,-0.8755539,-0.42301217
1.2911547,0.48190635,1.4873197,3.0455766,-1.1108189,-1.5671241,0.98758996
-1.4807091,-0.98891246,-0.24771704,2.4478853,0.65989065,0.40908128,1.3702271
-1.0523684,-1.1542939,-0.6992934,1.8182596,1.2670008,-0.18291,2.1128979
0.32233053,-0.5309661,-1.0216801,1.1607164,0.044467665,-0.099831715,0.396228
-0.7682158,2.1931708,-0.976513,1.650764,-1.1782877,-0.0180932,0.9552628
-0.2837989,-1.3785625,-1.660397,1.6040709,0.08699412,0.757626,2.5852869
0.011671133,-1.9800138,-2.6178954,2.6774318,1.1827044,1.0387009,0.6515003
0.7334404,-1.5280561,-1.2666112,1.6531404,0.5394053,0.4534147,2.709003
1.0592616,-2.2958934,-2.5120523,2.909217,1.8880936,0.7426494,0.45088476
0.6697385,-1.2544292,0.09505219,0.63080215,-1.7876611,-2.973774,1.3571979
0.87776303,-0.9948013,-0.114322506,0.46597317,-1.8173356,-3.123666,0.77435064
0.83800596,-0.9202361,-0.072109975,0.4046394,-1.4725971,-2.7770467,0.91089106
2.3858945,0.42157108,-2.3596807,0.7064947,0.07335089,-2.6786284,-0.7276522
0.8045396,-0.32384297,-0.65190274,0.86905557,1.2499399,-0.77984923,2.1218545
2.5935254,-0.15617695,-0.93557507,-0.03951135,-0.29408067,-3.239756,0.940655
2.457938,-0.13300118,-0.8186341,-0.033966877,-0.5027821,-3.241886,0.923035
-0.9775392,0.9010887,1.6669745,2.3753865,-0.5769732,-3.9569306,0.6511118
2.764706,-0.060927637,-3.021764,-0.058915358,-0.38430214,0.84613645,3.0701993
1.1084528,1.9808235,-1.1127325,0.81195146,2.8794346,-2.2352834,-0.25957647
0.26723933,1.5593115,-0.75992966,-0.35388482,0.65286094,-2.7063005,2.469452
1.2473048,-0.4855672,-1.5259141,-0.32727033,-0.537124,-2.1341026,1.8205303
2.9066796,1.83206,-0.94118273,1.3942835,-2.0638878,-0.37877217,1.3748771
3.477477,0.6184142,0.2799769,2.337132,-2.49855,-0.85201764,0.8894663
2.6174138,1.475745,0.25461295,2.6492255,-1.9538263,-1.1039313,0.9394373
2.985676,1.1759951,-0.2508431,2.0991883,-1.0932808,-1.0448074,0.20203997
0.1621595,-0.8090848,-0.62343514,0.80261165,-0.57341,-1.7312213,2.050646
0.7296043,-1.7299119,0.8771166,0.6516066,-0.754566,-2.3323421,2.1318753
-1.3250786,1.7545131,-3.3453448,0.8956552,-0.3397203,-1.3635244,-0.6726558
-1.8136797,1.2104899,-3.3928745,0.97999054,0.44345236,-1.3736658,-0.6376638
-1.377427,0.97325116,-3.7462902,0.42834806,0.56144893,-1.8705258,-0.08964759
-0.9901024,1.8402684,-3.6380677,0.493618,-0.5882448,-1.0773804,0.7415174
-1.5902143,0.89888054,-3.7625136,0.6393703,0.67976797,-1.2492303,0.5567327
-1.1041265,1.717717,-3.7134717,0.51322305,0.43078095,-1.3463724,2.1520672
-0.8246956,-0.8292855,-0.40683174,2.6272793,0.7045292,0.68731743,1.5791801
3.155778,-2.311494,-1.4943397,0.09473591,1.1294963,-0.6246895,2.9356802
1.2705721,-1.9108933,-1.3549278,0.4517296,-0.21675077,-1.673734,1.2160808
1.4405086,-2.066905,-1.2745694,0.6611473,-0.42264643,-1.610502,1.1719438
1.8782558,-0.43591532,-2.7799199,0.47808537,0.9045261,-0.09477799,0.5422185
-0.72838145,0.7652117,-1.7800149,1.6235929,-1.4567485,-0.020196572,0.11889552
-1.2497728,0.18310307,-0.49129587,1.64586,-0.00015387477,-1.0302974,0.6102497
0.12322623,-0.0055798884,-1.9020586,1.6339875,1.0675172,0.5360727,1.3322265
-0.74302024,1.1402552,-2.4620855,2.2408464,-1.6413804,0.3342219,0.35779485
-0.31000713,0.26451534,-2.1826413,2.2260714,1.0862831,0.8856768,1.5093739
-0.6155611,0.91689664,-1.716114,0.7676508,-1.5817096,0.6614698,0.8067181
0.3326267,0.2633575,-0.78612244,0.21539077,1.1248014,-0.91184336,1.7097561
-1.495393,0.35556543,-1.8493774,1.0415524,1.4674388,-2.4077654,0.8397943
-1.6245235,0.3998297,-1.8167984,1.1251051,1.3819481,-2.1939356,0.7293131
-1.4496961,0.0019238589,-0.7934951,1.8793576,1.1116823,-0.8780144,0.56333053
-1.3594369,-0.1202369,-0.672954,2.0330265,1.2978616,-0.86464953,0.36599246
0.60782963,-0.2283487,-0.05860933,1.2050676,-1.2033541,-0.75265896,0.72716457
1.5362403,-0.12326148,-0.96325296,0.888556,-1.4920645,-0.73931086,0.80991
2.5472348,0.18894655,-0.01722287,1.7544715,-1.7278332,-0.6047086,1.7399888
-0.56440145,0.5171743,0.24435344,0.68008417,0.89750344,-1.6579056,2.284364
-0.74048764,0.696345,-1.7453939,1.6942424,-1.4675707,-0.05712655,0.037656788
-1.2398591,0.5214984,-2.1197388,2.3746345,-0.41804388,0.7884378,0.84896344
-1.1900417,-0.17162097,-1.3345034,1.5043538,-1.7263435,-1.0598657,-0.3660433
0.8768837,-1.0400106,-1.6431472,2.500164,-2.067368,0.44630474,-0.7897866
1.2962834,-1.3460355,-1.6626211,2.7699497,-2.0949044,0.10547256,-0.7299805
0.61076903,1.5762804,-1.7739043,1.2424233,-1.5912526,0.22835593,0.62237865
0.43014315,1.0969013,-2.0085688,1.6295998,-1.5850042,0.93801045,0.8630682
0.29589653,2.7223866,-1.1488167,1.5744199,-1.0112411,0.36737236,1.1215541
0.27174997,2.1837573,-1.5031935,2.19948,-0.95345896,1.1415443,1.0010918
0.7384718,2.1788757,-1.1214826,1.4735152,-1.5428615,-0.01511252,0.6626474
-0.03795299,1.17645,-1.3537389,1.6493789,-1.506875,0.59225655,0.6342069
0.12322511,-0.4223596,-1.7392744,2.7140653,-1.726539,0.40050924,-0.7031037
0.011140703,-1.1217066,-2.186843,3.1411471,-1.6144135,1.4021741,0.22133654
0.6889994,2.5630789,-2.68624,1.0996971,-0.065224044,0.0035787462,1.6885155
1.0625772,1.9765886,-2.4506261,0.91741824,-0.73284847,0.47520563,2.0078673
2.2546387,1.6411862,-0.9837855,1.6643441,-1.9413679,0.5507461,1.5580512
0.37314126,0.8750343,-1.0693116,1.6477976,-1.3484509,-0.64658546,-0.6887993
0.76538694,1.2651681,-1.3905083,1.8546926,-1.5894051,-0.52579856,-0.6085646
0.5908385,1.0416158,-1.1706225,1.5360938,-1.2948797,-0.6880484,-0.4355703
0.756821,1.1976337,-1.4092807,2.0937138,-1.5676595,-0.5723876,-0.7194074
0.6604602,0.84234107,-1.2516177,1.5226698,-1.4860486,-0.5806839,-0.48232254
0.8264188,0.7373026,-1.2151135,1.782395,-1.6115028,-0.8373546,-0.819996
0.7360701,0.78034467,-1.2642323,2.0123098,-1.407467,-0.628917,-0.74570274
0.85394716,0.8096674,-1.1474224,1.6901625,-1.4343843,-0.7241522,-0.6419773
2.2280796,-1.0343261,-0.7562288,1.0507632,2.091551,-1.754874,1.4258496
2.2337558,-0.9334417,-0.7990367,0.8127123,3.1781836,-1.4287981,3.1894507
0.99966997,1.556125,-0.97249156,-0.1544166,1.0490804,-2.8514094,2.843091
0.7360726,-0.15005395,-0.29057413,0.6613877,-0.25767925,-0.15038794,0.8062508
0.90977275,1.8095331,-1.0414394,0.77010167,-0.65194374,-0.61343914,1.6454971
0.84527963,1.1820554,-0.6823234,0.8113972,-0.005933122,0.047066834,1.1401635
0.8770363,-0.29233146,-0.797126,0.34081253,-1.0903662,0.49477836,1.2143021
0.37975445,0.41828522,-1.7159626,0.3946577,-1.8241539,-0.05519667,2.2409787
