algorithm,params,calinski,siluetas,file
k-means,2,1191.315493468736,0.5549867,2_exploratory_clustering.csv
k-means,3,1649.7352901557697,0.56305766,2_exploratory_clustering.csv
k-means,4,1552.367283358765,0.50113183,2_exploratory_clustering.csv
k-means,5,1484.2685176883006,0.49902517,2_exploratory_clustering.csv
k-means,6,1559.5105250461888,0.45024782,2_exploratory_clustering.csv
k-means,7,1538.1155463352093,0.45672008,2_exploratory_clustering.csv
k-means,8,1532.3563430330746,0.42196062,2_exploratory_clustering.csv
k-means,9,1479.15221600374,0.42866609,2_exploratory_clustering.csv
k-means,10,1455.1934240614107,0.41483366,2_exploratory_clustering.csv
k-means,11,1441.3495855026906,0.410377,2_exploratory_clustering.csv
k-means,12,1443.0354712637054,0.41488326,2_exploratory_clustering.csv
k-means,13,1446.7218617714836,0.39056984,2_exploratory_clustering.csv
k-means,14,1463.6594647655925,0.3969064,2_exploratory_clustering.csv
k-means,15,1441.6500516604865,0.38528544,2_exploratory_clustering.csv
k-means,16,1471.5446974390372,0.39092892,2_exploratory_clustering.csv
k-means,17,1488.7742714370506,0.39662123,2_exploratory_clustering.csv
k-means,18,1476.0799414295986,0.38385624,2_exploratory_clustering.csv
k-means,19,1521.318192097935,0.3954403,2_exploratory_clustering.csv
k-means,20,1527.7607504434825,0.40236208,2_exploratory_clustering.csv
k-means,21,1572.018474942717,0.40971896,2_exploratory_clustering.csv
k-means,22,1583.8256124149907,0.4052013,2_exploratory_clustering.csv
k-means,23,1567.264214425002,0.39753398,2_exploratory_clustering.csv
k-means,24,1598.9518801618956,0.39990637,2_exploratory_clustering.csv
k-means,25,1636.3375020339386,0.40994,2_exploratory_clustering.csv
k-means,26,1614.1605834370414,0.4055536,2_exploratory_clustering.csv
k-means,27,1659.1283016760813,0.41666317,2_exploratory_clustering.csv
k-means,28,1671.6874259102035,0.41308072,2_exploratory_clustering.csv
k-means,29,1651.9298036191003,0.4042024,2_exploratory_clustering.csv
Birch,2,1115.7410004028368,0.546378,2_exploratory_clustering.csv
Birch,3,668.7984939808758,0.49016622,2_exploratory_clustering.csv
Birch,4,1144.5160419165002,0.47147447,2_exploratory_clustering.csv
Birch,5,1307.8596888922905,0.48701885,2_exploratory_clustering.csv
Birch,6,1291.7314084804398,0.422496,2_exploratory_clustering.csv
Birch,7,1114.484499468877,0.42115858,2_exploratory_clustering.csv
Birch,8,1000.0037201406076,0.4246536,2_exploratory_clustering.csv
Birch,9,1129.679886592967,0.4251679,2_exploratory_clustering.csv
