algorithm,params,calinski,siluetas
k-means,2,51.17482546053602,0.09715221
k-means,3,47.060661647386596,0.089021675
k-means,4,44.54016163530011,0.08996575
k-means,5,41.91614424978304,0.09574934
k-means,6,38.62408032465123,0.093972005
k-means,7,37.64256369922023,0.108466044
k-means,8,36.269747361854705,0.10710584
k-means,9,35.6501322903181,0.111128986
k-means,10,34.20467086298818,0.114460506
k-means,11,33.16846828533464,0.11793455
k-means,12,31.953291645884892,0.12359163
k-means,13,31.862407967046483,0.12533252
k-means,14,30.475215362088814,0.12098281
k-means,15,30.436881796297556,0.12923281
k-means,16,28.898138601871004,0.11744507
k-means,17,28.507956472424567,0.13151325
k-means,18,28.55968475948136,0.13573645
k-means,19,28.151562866672517,0.13811252
k-means,20,27.098152622550813,0.1379486
k-means,21,27.07749602330214,0.13907202
k-means,22,26.65576581220313,0.14410308
k-means,23,26.77315546761817,0.1441225
k-means,24,26.129506412909315,0.14752586
k-means,25,25.784955324685132,0.15285824
k-means,26,25.34586649124005,0.15472339
k-means,27,24.78601223268642,0.1558243
k-means,28,24.615687877588357,0.16057287
k-means,29,24.429796740642626,0.1517534
Birch,2,34.375637136238836,0.06187811
Birch,3,34.76376866455153,0.06531928
Birch,4,34.553617057214204,0.062003717
Birch,5,33.37018774796146,0.07119872
Birch,6,32.327523952548994,0.07681795
Birch,7,31.125859977638452,0.08652105
Birch,8,29.971402532111245,0.08665801
Birch,9,29.23958320914241,0.08931104
Birch,10,28.811597653553434,0.097094074
Birch,11,27.999814738947205,0.09054719
Birch,12,27.406748084918295,0.088831626
Birch,13,26.952614745590093,0.088259585
Birch,14,26.821191792179636,0.098695606
Birch,15,26.30711484084324,0.10509351
Birch,16,25.88568222565829,0.111055985
Birch,17,25.66867309908283,0.10365965
Birch,18,25.475588251307787,0.10990319
Birch,19,25.137093474608175,0.11603536
Birch,20,24.85924511567579,0.12105337
Birch,21,24.5756145713275,0.12541571
Birch,22,24.33954269160295,0.13094743
Birch,23,24.1534501248918,0.13556974
Birch,24,23.92249368475588,0.13949846
Birch,25,23.684328192488422,0.14069974
Birch,26,23.419885437027457,0.14201412
Birch,27,23.177692162053102,0.14636017
Birch,28,22.9366306839253,0.15016921
Birch,29,22.729594873629694,0.1537109
DBScan,,ERROR,ERROR
Affinity,,19.28785194527253,0.22129518
Mean Shift,,7.548362291517985,0.1857821
Agglomerative,ward-euclidean-2,32.3995880621746,0.04416959
Agglomerative,ward-euclidean-3,31.029646711456166,0.047895465
Agglomerative,ward-euclidean-4,30.965676904420473,0.05853478
Agglomerative,ward-euclidean-5,30.91972609587333,0.06609088
Agglomerative,ward-euclidean-6,30.25157968724322,0.05832362
Agglomerative,ward-euclidean-7,30.15066301400938,0.06178731
Agglomerative,ward-euclidean-8,29.831611851008272,0.07416171
Agglomerative,ward-euclidean-9,29.363286966250918,0.08503946
Agglomerative,ward-euclidean-10,28.751025789802593,0.08613018
Agglomerative,ward-euclidean-11,28.191072731575776,0.0908048
Agglomerative,ward-euclidean-12,27.81604884487224,0.09040346
Agglomerative,ward-euclidean-13,27.50584044530945,0.09812202
Agglomerative,ward-euclidean-14,26.81638098980392,0.099658616
Agglomerative,ward-euclidean-15,26.278029376810963,0.10444984
Agglomerative,ward-euclidean-16,25.829176057043878,0.11057097
Agglomerative,ward-euclidean-17,25.430564790496504,0.1096245
Agglomerative,ward-euclidean-18,25.068657826877725,0.10603133
Agglomerative,ward-euclidean-19,24.786034667493823,0.11088425
Agglomerative,ward-euclidean-20,24.56718175945262,0.11697582
Agglomerative,ward-euclidean-21,24.375675381208296,0.1240109
Agglomerative,ward-euclidean-22,24.181289464496547,0.12855825
Agglomerative,ward-euclidean-23,23.98239345821329,0.12648627
Agglomerative,ward-euclidean-24,23.753717417084392,0.13162352
Agglomerative,ward-euclidean-25,23.507703763237863,0.13419619
Agglomerative,ward-euclidean-26,23.303234231875468,0.1381114
Agglomerative,ward-euclidean-27,23.08955119232872,0.14224212
Agglomerative,ward-euclidean-28,22.90404391437694,0.14649203
Agglomerative,ward-euclidean-29,22.734378126689393,0.1501132
Agglomerative,complete-euclidean-2,20.148060547993307,0.059513558
Agglomerative,complete-euclidean-3,16.538637186729428,0.049812727
Agglomerative,complete-euclidean-4,15.769200341935473,0.055541057
Agglomerative,complete-euclidean-5,13.73273614877377,0.057074174
Agglomerative,complete-euclidean-6,16.057760327118324,0.04184919
Agglomerative,complete-euclidean-7,14.193383378604867,0.04203647
Agglomerative,complete-euclidean-8,15.068085791666903,0.04184807
Agglomerative,complete-euclidean-9,14.1923691930896,0.041649517
Agglomerative,complete-euclidean-10,13.579868563264922,0.04428522
Agglomerative,complete-euclidean-11,14.123291285107937,0.038955152
Agglomerative,complete-euclidean-12,15.164481854420064,0.045836832
Agglomerative,complete-euclidean-13,14.40052046417548,0.046717774
Agglomerative,complete-euclidean-14,13.743056092546874,0.04740142
Agglomerative,complete-euclidean-15,13.472228423461596,0.045111936
Agglomerative,complete-euclidean-16,13.311394287033284,0.042389568
Agglomerative,complete-euclidean-17,13.21116205245027,0.04520252
