p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
-0.7169982,0.6403184,0.7270649,0.6189967,0.5596029,2.3223255,-0.05596604,2.0052383,-0.52110463
-0.7536433,0.8347388,1.0292284,0.65100276,0.43545574,2.7728493,-0.612464,2.1600583,-0.6542937
-3.1663795,2.6396334,-0.11700546,0.8581461,0.6432413,0.9824617,0.49024564,-0.25724462,1.223781
-2.0567396,-0.08622446,1.2141575,-0.9082312,0.14522728,0.57146984,1.5968512,-0.61806846,-0.014523009
-2.5708852,0.88149875,1.7267083,-1.1556941,0.11131716,0.21798429,1.9422022,0.6183933,0.42656276
-0.3726819,1.0363135,1.8568559,0.09200333,1.3859341,1.209933,2.6347418,-0.369941,-0.713012
-0.33022782,1.1133512,1.7836578,0.23706712,2.1605475,0.67638767,2.9957855,-0.5586282,-0.5565416
-0.7428232,0.8933632,2.4761255,0.87554616,-0.6525761,2.2096791,-0.86120707,-0.28873587,0.69669145
0.026757028,-0.30421114,2.5614173,0.13650979,-0.96063554,1.0090872,-0.05280273,-0.25671697,-0.9213232
0.05311003,-0.59202844,2.4882822,0.2564494,-0.7318361,1.518751,0.13169996,-0.24553949,-0.7550422
-0.8040184,0.72491896,2.456536,0.9774108,-0.7314166,2.2197776,-0.74378866,-0.41451177,0.5778569
-1.2831374,-0.1349429,2.783242,-1.2122555,-0.919384,0.34450564,-1.5517974,0.023174541,0.6960829
-1.6272959,-0.32383618,2.699084,-1.229834,-0.984665,0.41013443,-1.5804908,0.0155831445,0.6896657
-0.3828084,-0.02154643,2.4424343,-0.4830825,-0.4328551,0.15447976,-0.14619647,0.15589024,0.748655
-0.4981737,-0.32881632,2.2252157,-0.58653176,-0.41411763,0.1827092,-0.22068048,0.16393428,0.7044675
-0.4153869,-1.1846281,3.5335267,-0.7606313,-1.3652421,1.086401,-0.49111125,0.63053507,-0.19281822
-0.6841406,-1.5049555,3.5059211,-0.6998737,-1.331527,0.9983723,-0.40471542,0.5081886,-0.15505917
-0.594915,-0.03500561,1.6057155,0.26039252,-0.27442628,0.65092015,-0.050830796,0.59928626,0.50641996
-0.92647064,-0.27613422,1.5595435,0.14264753,-0.37340477,0.65498203,-0.04618646,0.45644832,0.63330245
-1.1914017,2.1692603,2.6477175,-0.8717628,-0.5735726,-0.13759242,0.4360487,-1.4983697,-2.42262
-1.4135462,2.4582963,2.5891924,-0.328808,-0.6037619,-0.22806525,0.80959535,-1.2075963,-2.0019834
-1.0385064,2.2750869,2.7842734,-0.35418203,-0.84653556,0.20886649,0.36215368,-1.6234633,-1.6354413
-0.97681516,2.2196143,2.7800407,-0.80387074,-0.5782802,0.11682967,0.5430852,-1.705121,-2.3572094
-1.315626,2.1729589,3.2850723,0.20578739,-1.6420571,-0.48814866,0.5055769,-1.5475978,-2.4536433
-0.86763114,-0.23271856,1.2229296,-1.4068229,-0.08314622,1.0919939,-0.93960243,1.0170337,-1.4506208
-0.80819714,-0.41366732,1.1617231,-1.5709878,-0.2770323,1.1300715,-0.7215195,0.943326,-1.5982301
-0.9871168,-0.08722356,1.7787935,-1.6682361,-0.12901862,1.1279048,-1.0701786,0.61030483,-1.4546261
-0.8659044,-0.6291618,1.2421699,-1.5343814,-0.3704655,1.1541382,-0.7218716,1.0576961,-1.4866614
-1.937638,-1.121544,1.5413047,-1.3416134,-0.17941086,0.23804529,-1.1147176,0.92123187,-1.3662412
-1.1510372,0.7122848,0.53918606,0.2299884,0.71798056,1.4779528,0.016659742,0.18454054,0.03433991
-1.9437324,-0.68906504,2.094368,-0.59626335,-0.3815611,0.38819736,-1.4396825,-1.6108836,-0.86317044
-0.01710725,-0.5672303,2.5042765,0.19319455,-0.7753016,1.6019002,0.18725754,-0.36321944,-0.664307
-0.2723487,0.90901595,2.697648,-0.40809044,-0.97683036,0.3877889,-0.10484808,-0.8949274,-0.9820855
0.561339,-0.31189063,1.573509,1.426581,1.9138248,0.084548354,0.2750856,1.0035851,-0.74790907
-0.3247799,0.07686593,2.4698849,1.5033504,-0.761095,0.5547694,-0.381121,0.8355031,-1.3440533
-0.967286,-1.0969554,1.668143,-1.2345161,1.3896326,1.1209242,0.3759757,0.15890895,1.6254044
0.9525643,1.0450159,2.3459282,1.5362774,2.8748503,1.4781331,-0.6742643,-1.1419307,1.6070445
