p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16
1.1594489,-1.0950836,-0.17868254,0.17450088,0.8834479,0.87576824,1.8283689,-0.8212572,0.18364622,1.1504856,-1.3314365,-1.6631366,-0.056206476,1.1188076,1.0881666,-1.1153821,0.4708189
0.47672626,0.39270172,1.1859887,1.452303,-0.6136503,0.21699187,0.48951927,0.18427736,-1.0985945,0.19700892,0.8103247,-1.1356884,-1.2518251,-0.6501858,0.9133336,0.5271528,0.45628977
1.0170119,-0.23131588,0.550734,1.161939,0.3792447,0.38676,0.31351003,0.35955104,0.28609243,0.6362018,0.16528715,-0.5205291,-0.46926916,0.62384045,1.0376697,0.12744303,0.91987973
-0.14012888,-0.1584436,-0.033620298,1.2326667,1.1287616,1.2776178,-0.12774031,0.2812797,0.12491099,0.90748096,-0.5950434,0.21979205,-0.27625313,-0.08111966,0.057091672,-1.6925504,1.3362659
-0.07399992,-0.0939969,0.3350365,1.5246314,1.430211,1.3280482,-0.18566038,-0.09974331,0.21538594,0.7771038,0.026098303,0.14642566,-0.21558274,-0.4325184,-0.3789769,-1.7457196,1.0508348
1.0666442,-1.3345271,2.2828934,0.7480922,0.26378143,2.2479336,-1.4586608,-1.5318037,-0.31545082,-0.16492869,-0.1757153,0.19175683,0.832142,0.21732907,0.38499528,-0.08712439,0.8760541
-0.27117962,-2.6471665,-1.4287521,0.6925713,2.5869617,1.5107486,-1.3544378,-1.7096643,-0.031886593,0.9063989,1.4878765,-1.1248157,-0.84135187,0.0981967,-0.09064562,-1.8481122,0.7024784
-2.0234578,-0.8381458,-0.52043706,4.468602,4.324651,3.2586224,-2.648,-1.5457458,-0.5616885,-0.32580113,0.629406,-1.0326761,-0.41199553,-0.07454091,-0.10859406,-0.2662268,0.48743573
-0.14127398,-1.3954394,-0.4986135,0.40019616,0.2106754,0.82052934,-0.861771,0.30556208,-0.6770635,-0.7900946,1.7023705,-0.49546605,-1.6856854,1.0882376,0.7844536,-1.4016689,0.84903276
-0.21212718,-1.2154521,-0.56278574,0.39683828,0.20695959,0.61484677,-0.76909006,0.35969096,-0.5341987,-0.64848423,1.7782962,-0.6018087,-1.42618,1.1136698,0.77444476,-1.4713465,0.7182784
