p_0,p_1,p_2,p_3,p_4
-1.5887314,1.0180744,2.2687473,-0.117915936,-0.08122699
-0.3102504,1.0042926,0.95500785,-0.58002335,-2.5702078
1.9590032,0.47946817,0.9589105,0.47207877,-1.639298
0.46779323,1.9860861,1.4153178,-1.3890779,1.953644
1.9478463,1.7824327,-0.0062132035,-5.071856,-1.478038
0.9942785,2.407176,-0.21315564,-3.53131,-1.0743927
0.06635432,-1.8322006,3.1146522,-1.7559426,-0.4942977
1.7202277,0.82698745,2.2633557,0.22418949,2.5052583
0.50829256,-0.89974755,1.6069024,-2.5334146,-0.39641014
0.5353729,-0.8766933,1.4027611,-2.4766057,-0.53250366
1.1668271,-1.471169,2.452272,-2.6570032,0.084792174
1.668405,0.6641389,0.62390524,-3.3131826,0.10609525
1.8375249,-0.4130097,1.6197019,-2.6598594,0.7304848
0.86585885,-0.21000248,1.3679235,-1.3370687,0.74363524
1.0194302,1.7420709,0.3019813,-0.99951166,0.36318082
0.89783347,-0.82327205,1.8235081,-3.0915208,-0.1199892
1.948907,1.5419683,-0.24968037,-2.2561712,-2.1335914
1.1912807,-0.7200185,1.5902356,-4.0075884,-0.028751984
-0.035177995,-0.58265805,2.238929,-0.46875164,0.6761749
4.2987466,0.10868176,1.1381892,-0.17559128,-1.6870273
3.1369183,-0.6509299,1.6533283,-1.3017782,-1.5556582
3.375046,-0.5787126,1.5637437,-1.207094,-1.8004336
1.7486724,-0.39748666,1.0574372,-3.6150274,-0.3605579
1.0238069,-0.33534998,1.1925592,-4.4855165,-0.7400766
1.8134782,-0.95999664,1.5859004,-2.8655632,-2.283184
1.7427288,-0.48755997,1.1892008,-2.7043214,-2.5031574
1.4841195,1.3346071,1.2064849,-1.6968886,1.2626015
1.3539503,1.7046908,0.9326723,-1.6178306,1.1848056
-0.5604617,3.6515682,1.4599456,0.10189376,-1.7840759
1.0207996,0.112401456,0.77622247,-0.8840593,0.47656062
-0.19270858,2.6841078,1.464856,-1.5997316,3.2061286
-0.3041299,1.6627401,4.1742644,-1.2083578,4.1475773
0.61527896,-0.5739571,4.4079366,-2.4540472,2.638722
0.99542916,-0.12728666,2.8364508,-2.1001484,1.3665454
3.2487435,0.12808259,1.764697,-0.7297198,1.0341762
-0.51992303,2.8120208,-0.020325353,-1.6540807,-0.56921667
