p_0,p_1,p_2
-0.5506068,1.3508569,1.9487379
-1.903058,-0.21223007,0.8651966
-1.85473,1.7155194,0.74714065
-2.2468522,1.6316684,0.92324024
-2.5046692,0.5174892,1.0574985
-2.7183309,1.82707,1.3090706
-3.609987,1.3433236,1.3769892
-0.6352067,0.25662026,0.83070415
-1.1742401,2.8117745,1.5773505
-1.1112901,2.739517,1.5179039
-0.7523335,1.4385009,1.5326304
-0.64180267,1.3298254,1.5168762
0.10219791,-1.4088901,2.3485103
0.40684363,-1.0092746,1.8816683
1.5837375,0.6262095,2.53857
-1.1629179,-0.22865245,0.8395432
-1.8612843,-0.32987547,0.89775455
-2.2843087,0.51689595,1.1159916
-1.8801674,-0.9293944,0.9053345
1.2431409,1.0694311,2.0324047
1.276785,1.1695558,2.3762882
0.47389808,2.1381485,1.5614557
0.77929354,2.3236299,1.738418
0.62548065,2.6089427,2.0973217
0.43177053,1.6369517,1.281032
0.51062834,3.6311777,2.4769902
0.75537837,3.056534,2.3886266
1.0492395,2.6213403,2.6615546
0.60170275,1.9116727,1.9015917
-0.005129623,0.7606185,1.6805681
-0.07036283,2.219705,1.7346637
-0.046184544,3.5963411,2.5329306
0.7445377,1.5335413,1.6650563
0.66873765,1.8324401,1.8412528
0.48161194,1.7849238,1.6815345
0.6495043,1.9464488,1.7762893
0.7491299,1.6479343,1.5773392
0.80900776,1.6399744,1.7296867
0.73856217,1.7336463,1.8834492
0.73254806,1.5268174,1.5956662
1.1199087,-1.8739649,3.1782396
0.6181439,-2.7728987,3.6227815
-1.8094763,3.1808538,1.6022207
-0.22582813,1.4390277,0.9974068
-2.4020326,4.177299,2.3268301
-0.58948916,2.0997255,1.2265303
-0.6742482,1.0644418,0.43581703
-2.952901,3.5214803,1.815592
-2.4815197,1.8151006,0.93960613
-1.5961764,0.98389405,1.5729412
-2.4006946,2.154978,1.3781695
-1.4856962,1.1777533,1.0900629
-0.5838017,-0.5438708,2.3163862
-2.6501837,0.2370548,1.1514046
-2.5451562,0.7984384,1.0277685
-2.4589863,0.24900065,1.2873347
-2.365274,0.8647345,1.0701671
-2.8417108,0.80444264,1.3017085
-2.8766816,1.141559,1.2032443
-2.3963268,1.0312166,0.66489947
-2.501712,0.7638779,0.8507673
-2.3515565,0.919066,0.6786856
-2.316492,1.4060092,0.6720913
-2.223112,0.86202925,0.84695196
-2.3240988,1.1733633,0.7211139
-2.8758528,1.6509615,0.96735054
-2.857025,2.0144641,0.9482996
-2.6022964,1.3161602,1.0695115
-2.7486904,1.6420907,0.9799402
-0.89246005,1.5529495,0.9464044
-0.852854,-0.724261,1.4388145
-0.40735975,3.081135,2.1543763
-0.34422934,1.9412766,2.1571295
