residue,ARGP820101,BUNA790103,BURA740101,CHOP780201,CHOP780202,CHOP780208,CHOP780209,CHOP780212,CIDH920103,CIDH920105,CRAJ730102,EISD860101,FASG760101,FASG760103,FASG760104,FASG760105,FAUJ830101,FAUJ880111,FAUJ880112,GRAR740102,HUTJ700102,HUTJ700103,ISOY800108,JANJ780103,JOND750101,JUNJ780101,KARP850101,KARP850102,KARP850103,KRIW710101,KRIW790101,LEVM760101,MANP780101,MAXF760101,MCMT640101,MEEJ800102,MEIH800101,MEIH800102,NAGK730101,NAGK730103,OOBM850101,PARJ860101,PONP800102,PONP800104,PONP800105,PRAM820101,PRAM900101,RACS770101,RACS770102,RADA880107,ROBB760102,ROBB760103,ROBB760104,ROBB760105,ROBB760108,ROBB790101,ROSM880103,TANS770101,TANS770109,VENT840101,ZIMJ680101,ZIMJ680102,ZIMJ680103,ONEK900102,KIMC930101,TAKK010101,BAEK050101,DIGM050101,WOLR790101,KIDA850101,CORJ870101,CORJ870102,CORJ870103,CORJ870105,ENGD860101,FASG890101,KARS160111
L,0.0,6.0,0.418,1.11,1.1,1.65,0.65,0.074,-1.05,-1.1,0.87,-0.22,146.15,6.3,9.13,2.17,-0.22,0.0,0.0,10.5,46.62,235.51,0.95,56.0,0.0,313.0,1.165,1.025,0.885,6.1,6.13,0.2,11.76,1.22,17.56,-2.5,1.02,1.11,1.1,0.81,1.02,6.0,6.67,11.3,12.02,0.306,17.2,1.047,1.15,-1.53,-0.7,0.6,2.7,1.2,0.4,-0.1,0.7,1.02,0.704,0.0,0.0,14.45,3.53,-0.33,-0.4,2.4,-0.1051,0.729,-0.78,1.1,46.09,-0.905,-5.3,-0.96,4.1,1.52,3.333
K,0.05,6.5,0.2,0.77,0.75,0.63,0.79,0.12,-0.6,-0.97,0.65,0.01,105.09,-7.5,9.21,2.19,-0.04,0.0,0.0,9.2,35.65,174.06,1.03,32.0,0.07,593.0,1.169,1.048,0.923,5.25,5.37,0.3,11.23,0.7,6.35,-3.7,1.02,1.04,0.78,1.34,1.47,6.5,6.93,11.26,13.36,0.326,-2.5,1.056,1.082,-0.75,-3.5,-3.0,-1.9,-1.7,2.6,-1.2,0.4,0.71,1.14,0.0,0.14,9.47,1.67,-0.35,-0.39,2.6,-0.1629,1.342,-0.05,0.42,47.24,-0.563,-1.92,-3.0,-0.6,1.74,2.0
M,0.47,7.0,0.538,1.51,0.37,0.35,0.55,0.056,-0.83,-1.14,0.37,-0.76,147.13,12.0,9.67,2.1,-0.64,0.0,1.0,12.3,44.98,223.16,0.64,55.0,0.67,427.0,1.094,1.036,0.933,5.6,6.17,2.5,11.89,1.67,17.26,-7.5,1.02,1.12,1.54,0.75,0.93,7.8,6.38,12.55,13.59,0.282,34.3,0.986,1.1,-0.9,10.3,2.2,2.5,-5.0,-4.7,-0.7,1.3,1.63,1.014,0.0,0.65,13.57,49.9,-0.27,-0.41,4.4,-0.1794,1.118,-0.92,1.17,43.48,-1.218,-3.86,-2.9,8.2,2.3,3.333
F,0.05,6.9,0.272,0.83,1.19,1.17,0.75,0.086,-1.2,-0.77,1.15,0.52,119.12,-28.0,9.1,2.09,0.26,0.0,0.0,8.6,36.5,205.8,0.39,32.0,0.07,490.0,1.073,1.051,0.934,4.8,5.16,-0.4,11.69,0.78,11.01,1.5,0.99,1.02,0.87,1.03,2.39,5.2,7.08,13.0,14.5,0.251,-5.0,1.008,1.043,-0.71,2.3,-4.0,-3.7,1.3,0.3,-0.5,0.4,0.78,0.863,0.0,0.54,15.77,1.66,-0.11,-0.48,6.9,-0.0701,0.871,-0.02,0.63,49.26,-0.289,-3.99,-1.91,-1.2,0.78,3.0
P,0.07,5.6,0.12,0.57,0.75,0.63,0.74,0.102,-0.82,-0.8,0.56,0.0,75.07,0.0,9.78,2.35,0.0,0.0,0.0,9.0,24.74,127.9,3.03,10.0,0.1,707.0,1.142,1.042,0.923,7.6,6.09,0.0,12.43,0.46,0.0,-0.5,1.01,1.01,0.72,1.35,0.12,5.7,7.31,15.36,14.18,0.352,-4.2,1.015,1.055,-0.34,-5.2,-6.8,-8.3,-4.2,5.7,0.3,0.0,0.5,2.355,0.0,0.1,3.4,0.0,0.0,0.0,0.0,-0.0442,1.346,1.2,-0.16,50.27,-0.684,-1.28,-2.67,-1.0,0.0,0.0
S,2.65,0.0,0.462,1.08,1.37,1.49,1.19,0.077,1.31,1.71,0.84,2.6,204.24,-33.7,9.44,2.43,2.25,0.0,0.0,5.4,60.0,237.01,0.63,17.0,3.77,99.0,0.925,0.917,0.803,4.0,2.78,-3.4,13.93,1.01,42.53,18.1,0.83,0.87,1.06,0.87,2.49,-10.0,8.41,12.06,13.9,0.291,-7.9,0.848,0.867,-0.59,-0.9,4.0,-0.9,-1.0,3.4,3.0,0.6,1.05,0.777,1.0,0.31,21.67,2.1,-0.45,-0.48,24.2,0.3836,0.666,-0.19,-1.57,53.59,0.514,0.21,0.51,-1.9,-3.32,4.0
T,0.61,8.0,0.4,1.0,0.87,0.54,0.9,0.14,0.16,0.26,0.36,0.64,155.16,-38.5,9.17,1.82,0.13,1.0,0.0,10.4,65.99,242.54,0.89,34.0,0.87,155.0,0.982,0.952,0.894,4.5,5.66,-0.5,12.16,0.98,21.81,0.8,0.89,0.92,1.29,0.76,-0.14,2.1,7.85,11.59,15.35,0.215,12.6,0.882,0.911,-0.94,-2.8,-1.0,5.9,-2.5,-0.3,1.1,1.0,1.2,0.525,0.0,1.1,13.69,51.6,-0.06,-0.46,11.9,0.1643,0.985,-0.93,0.28,49.33,-0.63,-0.62,3.03,3.0,-1.23,4.286
W,1.88,6.8,0.161,0.69,1.47,1.07,1.96,0.082,1.05,1.11,1.41,1.6,181.19,-10.0,9.11,2.2,0.96,0.0,0.0,6.2,51.15,229.15,0.83,41.0,2.67,292.0,0.961,0.93,0.837,4.35,3.58,-2.3,13.42,0.69,31.53,8.2,0.93,1.03,0.63,1.35,2.23,-1.9,8.53,12.64,14.76,0.293,2.9,0.931,1.05,-1.02,-3.7,-4.6,-0.6,4.0,2.9,2.1,1.2,0.67,0.907,1.0,2.97,18.03,1.61,-0.17,-0.5,17.2,0.25,0.531,-0.23,-0.56,51.79,1.699,3.34,2.87,0.7,-1.01,4.333
Y,2.22,7.0,0.37,1.08,1.6,1.94,1.35,0.043,2.17,1.81,1.75,1.9,131.17,12.4,9.68,2.36,1.8,0.0,0.0,5.2,49.71,233.21,0.62,13.0,3.15,394.0,1.002,0.892,0.872,2.6,2.31,-1.8,15.67,1.04,19.06,11.8,0.79,0.76,0.94,0.8,3.7,-8.0,9.99,14.63,14.1,0.278,-13.0,0.766,0.742,0.24,-4.0,3.2,-0.5,6.7,-4.6,4.0,0.4,1.12,0.673,1.0,3.07,21.4,0.13,-0.23,-0.56,17.2,0.2758,0.926,1.16,-0.77,57.3,1.237,5.54,5.04,-3.1,-4.81,1.8
V,1.32,7.0,0.379,1.06,1.7,1.69,1.79,0.062,1.21,1.13,1.61,1.5,117.15,5.63,9.62,2.32,1.22,0.0,0.0,5.9,42.75,207.6,0.76,14.0,1.87,553.0,0.982,0.927,0.913,3.4,3.31,-1.5,15.71,0.98,13.92,3.3,0.81,0.81,0.97,0.83,3.5,-3.7,10.38,12.88,16.3,0.291,-10.9,0.825,0.817,0.09,-4.4,2.5,2.3,6.8,-6.0,1.4,0.4,0.99,0.561,1.0,1.79,21.57,0.13,-0.14,-0.53,15.3,0.1782,1.131,1.13,-0.4,56.12,0.899,5.39,3.98,-2.6,-3.5,3.0
